provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2017 UU156,nan,MBO,MBO,21164736976926293,745200689776428180,15.135054,3.0012536,2.263325,273.0428804083414,-22.792235000306835,2025050100648,16,60797.28124434253,g,273.04285149882577,-22.792247775020417,9.962295532226562,1926.59,191.373,False,2112.76,1.97597,1390.19,180.184,False,-301.196,6.02737,23.18802676490536,0.10784889342945016,23.08787458007847,0.001015440556896208,23.54231464528377,0.14072343118052333,nan,nan
2017 UU156,nan,MBO,MBO,21164736976926293,745200689936859472,15.134949,3.0012538,2.26332,273.0428610744208,-22.792230842417343,2025050100649,66,60797.281717596794,g,273.0427962347973,-22.792234387468206,10.084305763244629,1678.22,164.35,False,2044.3,13.3029,1074.77,157.762,False,-287.555,5.90138,23.337877787848452,0.10632739151831509,23.12363840247479,0.00706522533609344,23.821711141542792,0.15937168404902566,nan,nan
2017 UU156,nan,MBO,MBO,21164736976926293,745200690178556219,15.134729,3.0012543,2.2633097,273.04282100143075,-22.79222221834483,2025050100651,15,60797.28269772871,g,273.04277246650315,-22.79223531797579,11.569803237915039,2049.96,176.224,False,1921.75,0.99175,1561.51,166.002,False,-296.294,5.86075,23.120636553352952,0.09333488435525632,23.190757775646738,0.0005603116342603108,23.41613806865483,0.11542313474922,nan,nan
2017 UU156,nan,MBO,MBO,21164736976926293,745200690447515710,15.134505,3.0012546,2.2632992,273.042779925695,-22.79221336986431,2025050100653,16,60797.283701374006,g,273.04275855882287,-22.7922406114708,11.410177230834961,2187.39,190.64,False,2097.25,1.60492,1483.13,186.382,False,-350.616,4.88008,23.05018449747756,0.09462636273245754,23.095874492328498,0.0008308593548322101,23.472051947229087,0.1364423137267996,nan,nan
2017 UU156,nan,MBO,MBO,21164736976926293,745200690607948021,15.134398,3.0012548,2.263294,273.04276036219755,-22.792209152437355,2025050100654,66,60797.28417959226,g,273.0427162546854,-22.79218168286531,12.519977569580078,1949.35,152.132,False,1961.15,3.93162,1482.09,150.619,False,-284.827,6.85678,23.17527545759203,0.08473348884478073,23.16872295580631,0.0021766320764487718,23.47281358253573,0.11033912162844203,nan,nan
2017 UU156,nan,MBO,MBO,21164736976926293,745200690848596626,15.1341715,3.0012553,2.2632833,273.04271872258767,-22.79220016925346,2025050100656,13,60797.28519669482,g,273.042699424958,-22.792191952812097,12.661463737487793,2009.34,156.546,False,1912.81,1.7283,1432.95,151.343,False,-265.372,8.87132,23.142366443857554,0.08458880453300079,23.195820382825282,0.0009810058492418716,23.50942244499314,0.11467153951923852,nan,nan
2017 UU156,nan,MBO,MBO,21164736976926293,745200691118604318,15.133945,3.0012558,2.2632728,273.04267730725707,-22.792191225392354,2025050100658,16,60797.28620794672,g,273.04264635078783,-22.792180289871773,11.033039093017578,1889.55,171.237,False,1959.83,9.95802,1424.23,167.963,False,-329.517,6.56893,23.20910400091013,0.0983928475878833,23.169454021035833,0.005516694464536179,23.516049691101863,0.1280435813579138,nan,nan
2017 UU156,nan,MBO,MBO,21164736976926293,745200691279036901,15.133833,3.001256,2.2632673,273.0426565711757,-22.79218674390705,2025050100659,66,60797.28671342708,g,273.0426287450273,-22.79217774459999,13.882522583007812,2098.57,148.605,False,2052.76,2.17664,1789.83,143.986,False,-279.072,8.18004,23.095191314292038,0.0768836964283273,23.119154553664202,0.0011512582465047507,23.267970568716553,0.08734394260875004,nan,nan
2017 UU156,nan,MBO,MBO,21164736976926293,745200691519685165,15.133613,3.0012565,2.263257,273.0426161904749,-22.79217801023567,2025050100661,13,60797.28769880625,g,273.0425728982389,-22.792164732389715,11.81440258026123,1760.27,148.736,False,1732.01,2.04253,1317.74,142.598,False,-254.507,8.40006,23.286051769388333,0.09174050011751418,23.303624006008263,0.0012803903111087856,23.600425685178614,0.11749193338072397,nan,nan
2017 UU156,nan,MBO,MBO,21164736976926293,745200691792314593,15.133387,3.001257,2.2632463,273.04257460036365,-22.792169005830036,2025050100663,21,60797.28871230986,g,273.0425185063705,-22.792153707261726,11.61142349243164,1981.51,169.745,False,2009.21,6.35675,1523.83,159.342,False,-319.434,7.55853,23.157509323622236,0.09300901124240162,23.14243669357981,0.003435058438990187,23.44265873286405,0.11353194133128784,nan,nan
