provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2017 UV156,nan,MBO,MBO,21164736976926294,745200690394038693,17.826778,2.4752645,1.6919223,270.55558790126395,-25.329291058896985,2025050100652,170,60797.28320126145,g,270.5554638961505,-25.329319417631005,14.134308815002441,2519.35,177.452,False,2612.05,3.57021,3518.0,177.668,False,590.508,7.84469,22.89677869308941,0.07647450692928598,22.85754626477721,0.0014840091734175608,22.534260412196392,0.05483245572249869,24.47193554392453,0.014423621431594282
2017 UV156,nan,MBO,MBO,21164736976926294,745200691064602910,17.826124,2.4752593,1.6918927,270.5555619778541,-25.32913161501981,2025050100657,169,60797.28570343807,g,270.55547480588416,-25.32916750643492,14.037619590759277,2476.75,176.288,False,2304.27,3.63201,3639.09,173.855,False,915.641,7.3167,22.915294570838526,0.07727960349964182,22.99366657666232,0.0017113466309197458,22.49751798264096,0.05187029138618356,23.995686932910328,0.008675896061585682
2017 UV156,nan,MBO,MBO,21164736976926294,745200691734643014,17.825472,2.4752538,1.6918633,270.5555359282794,-25.328972229764965,2025050100662,167,60797.28820217203,g,270.555426740787,-25.329003492992097,18.592405319213867,2899.51,154.239,False,2837.54,0.809714,3604.85,148.911,False,886.536,9.29739,22.74418846907552,0.05775557394135554,22.76764500412593,0.000309823232148337,22.507781975152138,0.04485014763526991,24.03075904708663,0.011386466870167622
2017 UV156,nan,MBO,MBO,21164736976926294,745205073411835103,17.591911,2.4732673,1.6812325,270.55101902133487,-25.26934987644323,2025050200540,177,60798.198914899374,r,270.5509199102676,-25.269384423268804,16.146841049194336,4620.17,282.874,False,4499.32,4.60004,2893.97,251.738,False,-1199.5,20.8943,22.238355128871802,0.06647516015450207,22.2671328371813,0.0011100410999650425,22.746264949132286,0.09444502556602129,nan,nan
2017 UV156,nan,MBO,MBO,21164736976926294,745205073810817691,17.59152,2.4732642,1.6812152,270.550997049343,-25.26925681379788,2025050200543,170,60798.200385421536,r,270.5509041105177,-25.26930941133995,14.281888961791992,3997.63,276.052,False,3868.8,4.8133,2505.35,245.149,False,-1102.55,17.4813,22.3954935428615,0.07497433772073075,22.431059288345228,0.0013507997706106172,22.9028289430983,0.10623950216074159,nan,nan
2017 UV156,nan,MBO,MBO,21164736976926294,745205074079253488,17.591244,2.4732618,1.6812029,270.55098140607765,-25.269190808445416,2025050200545,170,60798.201428851826,r,270.55091665524037,-25.26923226380082,14.981088638305664,4580.19,305.811,False,4383.78,0.318488,1840.06,268.743,False,-1391.48,15.9094,22.247791278355965,0.07249264414735593,22.295378175824258,7.888032047860747e-05,23.237920004038408,0.1585730943786184,nan,nan
2017 UV156,nan,MBO,MBO,21164736976926294,745205074481381612,17.590843,2.4732585,1.6811851,270.5509587100845,-25.26909540963026,2025050200548,169,60798.202935686815,r,270.55083969761756,-25.26915012043324,16.058879852294922,4543.66,281.116,False,4153.22,2.53357,2989.14,247.622,False,-1096.3,18.2903,22.25648539800975,0.06717443768349413,22.354037602061602,0.0006623267222961095,22.711134398456455,0.08994298482579935,nan,nan
2017 UV156,nan,MBO,MBO,21164736976926294,745205075151421501,17.590174,2.473253,1.6811556,270.55092057389345,-25.268936058396783,2025050200553,167,60798.20545123017,r,270.55084426923236,-25.268973461066903,13.342754364013672,4422.43,328.174,False,3635.45,1.01484,2790.39,232.72,False,-1039.04,23.3123,22.285847538223265,0.080568916023796,22.49860457465488,0.0003030845018497103,22.785837774643234,0.09055097696874959,nan,nan
2017 UV156,nan,MBO,MBO,21164736976926294,745205075425100891,17.589897,2.4732509,1.6811433,270.5509047216069,-25.268870160690053,2025050200555,177,60798.206491122866,r,270.5508286096922,-25.268887467018452,14.674176216125488,4420.11,299.528,False,4041.61,7.05554,2482.04,266.505,False,-1193.38,17.3716,22.2864173399622,0.07357473466323741,22.383613962555536,0.00189539691128652,22.912978042383664,0.1165791558543127,nan,nan
2017 UV156,nan,MBO,MBO,21164736976926294,745205075827753769,17.58948,2.4732475,1.6811248,270.55088070885387,-25.26877071126153,2025050200558,177,60798.20806020977,r,270.55078539220057,-25.26882206693589,14.321819305419922,4231.55,293.275,False,4006.85,0.136421,2993.67,245.917,False,-943.054,25.2344,22.333751357949772,0.07524885527068675,22.392992262197808,3.6965998165001536e-05,22.70949021523529,0.08918852288931775,nan,nan
2017 UV156,nan,MBO,MBO,21164736976926294,745205076090422256,17.589205,2.4732451,1.6811126,270.55086478975005,-25.2687050238402,2025050200560,166,60798.20909645736,r,270.55074142566116,-25.26872300940788,14.39550495147705,4160.29,287.697,False,4197.75,2.69308,2422.06,248.886,False,-665.757,22.41,22.35219097753562,0.07508203422351131,22.342458574253925,0.0006965575373267814,22.939537730199106,0.11156806034665154,nan,nan
2017 UV156,nan,MBO,MBO,21164736976926294,745205077438366653,17.587847,2.473234,1.6810527,270.5507857109569,-25.26838146780577,2025050200570,177,60798.2141952809,r,270.5506974080201,-25.268419331991293,15.591261863708496,4575.12,293.04,False,4265.92,4.88274,2510.93,261.079,False,-636.182,18.2548,22.24899374823049,0.06954224994543769,22.324968253026498,0.001242725535415523,22.900413515635467,0.11289161433700375,nan,nan
