provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2017 VT60,nan,MBO,MBO,21164736992653396,745319434249831107,16.63443,2.345524,1.4880749,290.62806057829584,-20.240786428611013,2025052800627,85,60824.32689917704,g,290.62803604003193,-20.24080395108014,34.168678283691406,4157.19,120.193,False,4197.24,0.69215,4139.99,113.427,False,-25.1081,43.737,22.353000330471232,0.03139089008664238,22.34259043170229,0.00017904438836933772,22.357501708285945,0.029746882394825425,nan,nan
2017 VT60,nan,MBO,MBO,21164736992653396,745319434522984720,16.634085,2.3455224,1.4880648,290.6279881250412,-20.240684098544083,2025052800629,94,60824.3279452393,g,290.6279592524592,-20.240695979731132,31.580114364624023,4061.52,127.568,False,4022.83,0.23531,4128.37,122.257,False,-18.5536,12.2091,22.378278504387197,0.03410181320392834,22.38867077843463,6.350867046643778e-05,22.360553435521734,0.032152847619235606,nan,nan
2017 VT60,nan,MBO,MBO,21164736992653396,745319434927210840,16.633558,2.3455198,1.4880495,290.62787770426587,-20.240528116653973,2025052800632,97,60824.32953995619,g,290.62784702861694,-20.240531540950446,30.229677200317383,4247.86,139.746,False,4304.6,0.578953,4279.11,133.839,False,-124.095,13.4093,22.32957454761752,0.03571852625537863,22.31516797199403,0.00014602756325677273,22.32161640788207,0.03395889740045924,nan,nan
2017 VT60,nan,MBO,MBO,21164736992653396,745319435051991526,16.633383,2.3455188,1.4880444,290.6278411952931,-20.240476535829483,2025052800633,79,60824.330066121125,g,290.62780609074366,-20.24047005349404,26.683238983154297,4199.74,155.854,False,4394.75,1.44455,3979.53,150.888,False,-176.69,15.9589,22.34194392773525,0.04029209552354924,22.292664562970735,0.0003568804312355775,22.40042053447325,0.0411668121078696,nan,nan
2017 VT60,nan,MBO,MBO,21164736992653396,745319436373197217,16.631645,2.34551,1.487994,290.6274769597551,-20.23996170392226,2025052800643,39,60824.33532379405,g,290.6274592881236,-20.239979718760427,31.726530075073242,4157.82,129.82,False,4134.79,0.999043,3955.33,123.487,False,-246.736,9.52193,22.352835835998015,0.03390004570011742,22.35886634659157,0.00026233427374600923,22.407043170348324,0.03389712199452633,nan,nan
2017 VT60,nan,MBO,MBO,21164736992653396,745319436572950658,16.63148,2.3455093,1.4879891,290.62744203644274,-20.239912317667788,2025052800644,164,60824.3358271339,g,290.6274279967107,-20.23993761849743,32.9703483581543,4453.36,135.154,False,4423.95,0.122254,4276.97,128.673,False,-233.008,10.8888,22.27828052338765,0.03295076146492269,22.285474427372492,3.0003862420336666e-05,22.322159435483783,0.03266446389928296,nan,nan
2017 VT60,nan,MBO,MBO,21164736992653396,745319436915310795,16.630941,2.3455064,1.4879735,290.6273294340885,-20.239753052485234,2025052800647,49,60824.33745201901,g,290.62731888832707,-20.23976695214119,33.63512420654297,4333.36,127.489,False,4271.15,0.672841,4131.89,120.802,False,-145.88,13.5512,22.307938108854344,0.031942747810616165,22.323637965241016,0.0001710377448687706,22.359628086256603,0.03174312549169741,nan,nan
2017 VT60,nan,MBO,MBO,21164736992653396,745319439041298461,16.626755,2.3454854,1.487852,290.62645159832607,-20.238509621252565,2025052800663,8,60824.35012142518,u,290.6264965102798,-20.238410994388904,6.070464611053467,2026.69,334.787,False,nan,nan,2050.13,325.05,False,-121.106,24.9867,23.1330317198267,0.1793517328784817,nan,nan,23.12054656004119,0.17214447877753863,nan,nan
2017 VT60,nan,MBO,MBO,21164736992653396,745323772445721143,16.351658,2.3440714,1.479746,290.5740293606016,-20.15538433516473,2025052900181,105,60825.19995744039,g,290.57401028484117,-20.15539798512198,27.798133850097656,4476.49,159.154,False,4693.56,0.486635,4446.27,155.305,False,-51.0335,39.5511,22.272655896497806,0.038601506635647174,22.221244051372388,0.00011257067788170608,22.28001041592818,0.0379239795574918,nan,nan
2017 VT60,nan,MBO,MBO,21164736992653396,745323772574171235,16.351482,2.3440707,1.479741,290.5739906805264,-20.155334108742085,2025052900182,94,60825.200482774606,g,290.57398656646467,-20.155361327637628,28.00724983215332,4446.95,157.451,False,4520.11,2.50518,4373.61,153.524,False,-23.3359,32.5049,22.279844336273143,0.038442134056114,22.262127523349328,0.0006017474308463876,22.29789989925698,0.038111896708442825,nan,nan
