provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2018 GN13,nan,MBO,MBO,21164741035635534,745284182917775400,25.89305,2.3175342,2.0844972,149.09167107634684,3.801327303098976,2025052000128,113,60816.00799732409,g,149.09168059040724,3.8013317405960247,10.83067512512207,1927.64,178.769,False,2030.23,1.15576,1917.61,165.177,False,-102.243,36.466,23.18743516758841,0.10069098538373804,23.13113690818341,0.0006180829473382363,23.193099293791093,0.09352196358167861,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745284192336609352,25.895432,2.3173964,2.0852163,149.10992013016218,3.800983037092104,2025052000198,158,60816.07815667415,r,149.1099124160131,3.8009848892969993,10.383394241333008,4463.84,439.517,False,4471.68,1.14467,4677.31,440.344,False,-71.8438,24.6285,22.275728489154332,0.10690336892783431,22.273823164224254,0.00027792901618250873,22.225009599457387,0.10221631899468726,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297377840070727,25.962585,2.3115973,2.1150331,149.91155478087177,3.7759576573248816,2025052300134,70,60819.02753780842,g,149.911574068983,3.7759720307286235,14.13730239868164,1882.2,131.856,False,1920.82,2.20308,1811.27,130.127,False,-63.0474,10.9147,23.21333560546275,0.07606037603698071,23.19128335775463,0.0012452825972828904,23.255042003354852,0.07800250233275509,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297377974812760,25.962597,2.3115964,2.1150386,149.91169807599783,3.775951129260901,2025052300135,71,60819.02806302253,g,149.9117056107029,3.7759551565259297,15.15372085571289,2026.16,133.547,False,2147.85,1.88811,1991.46,132.168,False,-62.2352,11.746,23.133315638287925,0.07156236788308265,23.06999008028089,0.0009544378506625679,23.15207105205793,0.07205747779518581,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297378129477653,25.962608,2.3115954,2.1150439,149.91184056062303,3.77594463715362,2025052300136,110,60819.028586217355,g,149.91183882618452,3.7759491587906124,16.3031005859375,2151.78,130.16,False,2179.09,0.611982,2150.8,127.497,False,-34.3326,39.4237,23.068005318742483,0.06567559251564437,23.054312036976114,0.00030492130851910804,23.06849990583858,0.06436121793967256,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297378401058824,25.962631,2.3115933,2.1150546,149.91212527754686,3.775931661558375,2025052300138,116,60819.029631473495,g,149.91213112477232,3.775953416046388,17.213411331176758,2093.31,120.635,False,2019.33,0.743804,2062.85,118.682,False,-69.1471,41.5012,23.097916099287968,0.06256970334741924,23.136981780172082,0.0003999222146433945,23.11383082503325,0.06246568451000062,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297378533703702,25.962643,2.3115923,2.11506,149.9122683273975,3.775925140809393,2025052300139,113,60819.03015675932,g,149.91226565919177,3.775911691658444,17.798521041870117,2060.47,115.993,False,1927.38,0.625356,2006.84,113.67,False,-57.3797,42.5674,23.11508427625659,0.06112090798727495,23.187581627018,0.000352277012564047,23.143718146674004,0.061497495818689775,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297379092594734,25.962688,2.311588,2.1150813,149.9128395056544,3.7758990948116575,2025052300143,155,60819.0322521672,g,149.912836496393,3.775879293227609,18.788990020751953,2345.71,124.342,False,2308.14,0.600493,2342.99,121.959,False,-8.70734,15.042,22.97431421984307,0.05755298674379978,22.991844682103604,0.0002824685834455986,22.97557391700019,0.05651552159864003,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297379362603128,25.962711,2.3115861,2.115092,149.91312486382574,3.775886076661763,2025052300145,158,60819.03329943505,g,149.91313230017266,3.775873470507554,13.555865287780762,1632.33,117.832,False,1522.71,1.73249,1656.56,115.727,False,29.7268,28.9016,23.36798012313149,0.07837537306703124,23.44345702819961,0.0012353153944589111,23.351982035369588,0.0758493422962158,27.717129563361976,1.0555967140721207
2018 GN13,nan,MBO,MBO,21164741035635534,745297379630514183,25.962734,2.311584,2.1151028,149.91340943233766,3.775873090795396,2025052300147,157,60819.034343319145,g,149.91340214576618,3.7758732882235413,16.12969207763672,1996.12,124.952,False,1837.17,0.218141,1993.71,123.059,False,-20.6257,26.3888,23.149533387517852,0.06796430794044207,23.239626611509053,0.00012891761818499493,23.15084505328339,0.06701557006024743,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297379764731934,25.962746,2.311583,2.1151083,149.9135519997306,3.775866583543815,2025052300148,157,60819.03486655337,g,149.91353247718655,3.775875145995249,17.040624618530273,2147.05,124.214,False,2095.25,1.07167,2127.36,121.587,False,-36.9241,30.7571,23.070394579551504,0.06281345590046387,23.096910376681144,0.0005553279936482168,23.080397472435422,0.062054094781848326,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297379898425384,25.962757,2.3115819,2.1151135,149.9136948468933,3.775860062590732,2025052300149,156,60819.03539085956,g,149.9136703213342,3.7758573780791056,12.023384094238281,1547.45,128.275,False,1512.52,1.65613,1549.16,125.848,False,-19.6883,30.6543,23.42595847092531,0.09000149241212657,23.450747170921108,0.0011888241015397688,23.424759289089522,0.08820117122688169,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297380034215953,25.962769,2.311581,2.115119,149.91383797376994,3.7758535279356535,2025052300150,159,60819.03591508551,g,149.9138716851728,3.7758410793907284,15.76012897491455,2148.2,135.049,False,2089.66,2.49431,2183.09,133.743,False,19.6712,11.4485,23.069813244059333,0.06825602256563681,23.09981097169893,0.0012959824471925389,23.052320855566236,0.06651563026638631,28.165422876254848,0.631890821075428
2018 GN13,nan,MBO,MBO,21164741035635534,745297380314710033,25.96279,2.3115788,2.1151297,149.9141247943537,3.7758404299467534,2025052300152,182,60819.03696702246,g,149.91414293318746,3.775821981279436,12.945298194885254,1799.36,136.883,False,1753.8,1.4376,1843.02,136.625,False,18.4069,28.2118,23.26220485426561,0.08259538133252858,23.29004980541896,0.0008899842299695858,23.23617486823998,0.080486759450832,28.23754834377995,1.6640809465531852
2018 GN13,nan,MBO,MBO,21164741035635534,745297380448927793,25.962801,2.3115778,2.115135,149.91426739761133,3.775833916421969,2025052300153,182,60819.03749054286,g,149.91426385386174,3.77584527495868,9.388347625732422,1413.21,149.448,False,1344.19,0.966501,1452.33,150.06,False,21.3006,30.2557,23.524483275310384,0.11481740625467504,23.578848396888212,0.0007806672945862347,23.494836761750655,0.11218220181719284,28.079020405071038,1.5421963651630508
2018 GN13,nan,MBO,MBO,21164741035635534,745297380571086915,25.962812,2.3115768,2.1151404,149.91441000810636,3.7758274016507807,2025052300154,159,60819.03801396572,g,149.91441790386344,3.775798200446187,12.598974227905273,1640.46,128.491,False,1700.5,1.27568,1658.7,125.665,False,-7.60141,27.5278,23.362585912670767,0.08504159265798529,23.323558409328147,0.0008144968556290403,23.350580420315456,0.08225661372242583,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297380985798710,25.962847,2.3115737,2.1151564,149.914839247017,3.775807787544579,2025052300157,182,60819.039587964784,g,149.91485100263608,3.7758115385711513,11.530280113220215,1763.67,153.088,False,1793.44,12.3985,1840.2,151.874,False,59.818,11.9434,23.283956653874217,0.0942427875902093,23.26578290592081,0.007505966887623777,23.23783746289375,0.08960716066171538,26.957920264573964,0.21678060168735738
2018 GN13,nan,MBO,MBO,21164741035635534,745297381121589297,25.962858,2.3115728,2.115162,149.91498215950523,3.775801255324853,2025052300158,185,60819.040111307746,g,149.9149760096973,3.775798256096014,14.6550874710083,2081.28,139.548,False,2018.72,5.05783,2194.82,138.75,False,103.28,33.069,23.104173707451977,0.07279766214784787,23.13730980146831,0.0027202727831540066,23.046502693704596,0.06863701520771953,26.364959439686793,0.3476395356756735
2018 GN13,nan,MBO,MBO,21164741035635534,745297381255282701,25.96287,2.3115716,2.1151671,149.91512617043503,3.775794671981822,2025052300159,184,60819.04063972704,g,149.91513281613544,3.775811635045988,13.420450210571289,1845.65,137.331,False,1733.37,1.57678,2011.41,134.984,False,136.493,41.9487,23.23462661807403,0.08078738106976419,23.3027718135169,0.0009876524319986921,23.14124846916991,0.0728628207815545,26.062224081866834,0.33368175321983246
2018 GN13,nan,MBO,MBO,21164741035635534,745297381391073297,25.962881,2.3115706,2.1151726,149.915268825127,3.775788149734313,2025052300160,187,60819.04116299786,g,149.91523967374297,3.7757768113004064,11.647619247436523,1774.96,152.483,False,1795.06,0.62999,1915.02,151.005,False,128.517,9.89293,23.277028597987044,0.09327326768441378,23.26480254086247,0.0003810473796902264,23.194566703942694,0.085613517993968,26.1275985665173,0.08357736679533162
2018 GN13,nan,MBO,MBO,21164741035635534,745297381523193897,25.962893,2.3115697,2.1151779,149.91541257840447,3.775781576352032,2025052300161,183,60819.04168941305,g,149.91541195142185,3.775790146948796,13.11998176574707,1648.09,125.654,False,1614.23,1.45085,1739.89,123.072,False,77.1576,42.1664,23.35754771188718,0.08277891327117239,23.380086477422026,0.0009758463183693732,23.2986955108179,0.07680009859406355,26.681553218382128,0.5933516316304099
2018 GN13,nan,MBO,MBO,21164741035635534,745297381658984494,25.962902,2.3115685,2.1151834,149.91555579366863,3.775775026668871,2025052300162,186,60819.04221461984,g,149.91556170559036,3.7757723644669787,15.16286563873291,1963.19,126.938,False,1970.54,5.917,2000.99,124.72,False,30.0372,30.0071,23.167594199403,0.07020267539900571,23.163536840885513,0.0032601727432069977,23.146887709689892,0.06767301258060497,27.705851350797303,1.0846481343935521
2018 GN13,nan,MBO,MBO,21164741035635534,745297381791629358,25.962914,2.3115675,2.1151888,149.91569901649083,3.775768475742115,2025052300163,183,60819.04273919154,g,149.91572356743362,3.775759259236743,14.258042335510254,1964.37,135.149,False,1907.89,1.37048,1985.11,133.307,False,22.2762,44.6425,23.166941770364723,0.07469884235389034,23.19861666240272,0.0007799085265993882,23.155538565189183,0.07291094434955656,28.030397261092105,2.175864013756499
2018 GN13,nan,MBO,MBO,21164741035635534,745297381887574073,25.96293,2.311566,2.1151965,149.91590718050904,3.77575895284846,2025052300164,110,60819.04350260107,g,149.91592171108135,3.775753330684925,15.263407707214355,1945.16,127.101,False,1777.5,2.46657,2020.18,124.7,False,65.6393,13.9553,23.177611655380375,0.07094437099415568,23.27547597649549,0.00150663529820157,23.13652480305636,0.06701942293273805,26.85709018924343,0.23083389673917226
2018 GN13,nan,MBO,MBO,21164741035635534,745297382021791841,25.963001,2.3115594,2.115231,149.91682405904237,3.775716986061837,2025052300165,110,60819.04686286381,r,149.91682620913747,3.7757252034547206,20.188291549682617,3263.76,159.427,False,3119.29,1.26454,3292.87,158.337,False,-6.67776,58.1652,22.615704458026435,0.05303566056285586,22.66486060405932,0.00044015041773458346,22.606063497773224,0.05220740977669794,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297382156009548,25.963013,2.3115585,2.1152363,149.91696653127627,3.775710461683668,2025052300166,110,60819.04738498699,r,149.91697561101233,3.7757222999162354,17.71999168395996,3200.1,178.283,False,3021.14,0.222135,3353.77,177.075,False,118.367,48.402,22.637091092340967,0.06048820569818206,22.699572911106678,7.98308017615262e-05,22.58616680473702,0.05732555721605895,26.21692342817105,0.44397345275940886
2018 GN13,nan,MBO,MBO,21164741035635534,745297382290227313,25.963024,2.3115573,2.1152418,149.9171095570556,3.775703911091015,2025052300167,110,60819.04790885035,r,149.91710799611593,3.775699669941642,18.761964797973633,3361.47,179.116,False,3108.12,0.4018,3521.47,174.846,False,127.155,46.906,22.583676910276587,0.05785347625609858,22.668755514234043,0.00014035777184276643,22.533190026743327,0.053908346935207456,26.13916640489072,0.4005154416855096
2018 GN13,nan,MBO,MBO,21164741035635534,745297382561808514,25.963047,2.3115554,2.1152525,149.91739590521914,3.775690793726527,2025052300169,116,60819.0489575571,r,149.91739536540567,3.775688605519119,18.112817764282227,3188.92,174.065,False,3116.63,0.963649,3178.0,171.952,False,-36.0462,47.941,22.640890965865992,0.059264164595524436,22.665786923884568,0.00033570511098928016,22.644615267821596,0.05874591169740104,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297382696026120,25.963058,2.3115542,2.1152577,149.91753950075824,3.775684214440847,2025052300170,116,60819.04948372305,r,149.91754125253487,3.7756857806249413,17.22053337097168,3124.47,176.603,False,2857.01,1.0657,3096.32,172.417,False,-9.61809,47.1111,22.663059112457503,0.0613685742928776,22.76022059507188,0.00040499302706978573,22.67288538100516,0.060458668085847475,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297382850166791,25.963068,2.3115532,2.1152632,149.91768228515986,3.775677671464899,2025052300171,154,60819.05000675553,r,149.91768945016193,3.7756726426160725,16.60740089416504,3091.11,185.816,False,2969.22,1.63939,3075.31,183.958,False,-37.7547,38.189,22.674713811998764,0.0652668929229452,22.71839406771098,0.0005994655449359449,22.68027772821903,0.06494624895205559,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297382984384592,25.96308,2.3115523,2.1152685,149.9178264425976,3.775671064708576,2025052300172,154,60819.05053419755,r,149.91782932524134,3.775666862789259,17.64729881286621,3137.61,175.371,False,3020.04,1.41595,3155.95,173.981,False,-35.5715,41.7385,22.65850256162055,0.06068524763478114,22.699968248046993,0.0005090489181726934,22.652174731734988,0.05985439459146489,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297383119126599,25.96309,2.311551,2.115274,149.91796978905137,3.7756644942636313,2025052300173,155,60819.05105965396,r,149.9179639921507,3.7756841623719297,16.791810989379883,3256.95,189.394,False,3106.66,1.69779,3280.81,188.561,False,-4.89951,23.2471,22.617972287727273,0.06313634621300877,22.66926571653932,0.0005933549703467745,22.61004728055153,0.06240151239646094,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297383388610635,25.963114,2.3115492,2.1152847,149.91825595994487,3.775651374759685,2025052300175,157,60819.05210794845,r,149.91825180456644,3.7756343517490474,15.810256004333496,3062.13,192.712,False,2895.5,3.6286,2980.25,191.018,False,-75.4746,25.2049,22.684940980704074,0.06832969521065338,22.745691076826517,0.0013606293436729826,22.71436825837776,0.06958985460685489,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297383524401207,25.963125,2.311548,2.1152902,149.91839933057247,3.775644800666023,2025052300176,160,60819.05263225407,r,149.91839397263232,3.775647138923096,18.861793518066406,3515.07,183.818,False,3339.29,0.60737,3343.94,182.07,False,-102.763,29.7781,22.535165033652685,0.056777772955563306,22.59086464501614,0.00019748018637327016,22.58935382819476,0.059115893890531526,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297383658618954,25.963135,2.311547,2.1152954,149.91854243614787,3.775638237886211,2025052300177,160,60819.053156911876,r,149.91855007303343,3.7756306592335287,17.4643497467041,3313.78,189.161,False,3146.39,0.966551,3374.89,187.912,False,-85.896,28.8399,22.599190809219294,0.06197724034446319,22.655468654295,0.00033353127127112533,22.579350979175565,0.06045319135905588,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297383791263826,25.963146,2.311546,2.115301,149.91868554997097,3.7756316738920326,2025052300178,157,60819.05368098723,r,149.91868227080872,3.775637106237004,14.079259872436523,2738.26,192.078,False,2592.3,1.77176,2662.04,190.27,False,-65.9019,28.8493,22.806313290208212,0.0761600582759304,22.865786829911933,0.0007420684055320824,22.83696354175034,0.07760327766927498,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297384060747792,25.96317,2.311544,2.1153116,149.91897207505662,3.7756185297596896,2025052300180,159,60819.05472985945,r,149.91896528622124,3.775625348401128,16.582502365112305,3083.58,183.376,False,2863.1,0.714747,3032.44,181.157,False,-47.1041,29.6825,22.677361922021355,0.06456714757733398,22.757908670550407,0.00027104421128652237,22.69551947934733,0.06486153557124363,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297384194965576,25.96318,2.311543,2.1153169,149.91911548653252,3.7756119496143263,2025052300181,159,60819.05525411703,r,149.91912832939553,3.7756051512839064,15.73581314086914,3196.79,197.432,False,3029.39,2.33886,3165.31,195.374,False,-67.4876,20.8289,22.63821471669563,0.06705447501415995,22.696612069805695,0.0008382496502085974,22.648959355395434,0.06701543092292135,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297384475459649,25.963202,2.3115408,2.1153276,149.91940096820136,3.7755988484038014,2025052300183,182,60819.05629904333,r,149.91939769934288,3.7755947534183973,15.899081230163574,3189.13,199.494,False,2932.3,3.90322,3147.82,196.988,False,-25.2121,32.9713,22.640819482513404,0.06791754176517778,22.73197898098183,0.0014452365486322138,22.65497525046474,0.06794448412399834,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297384743895081,25.963224,2.3115387,2.1153383,149.91968675611858,3.775585729875769,2025052300185,182,60819.05734536407,r,149.9196879219299,3.7755725820805237,16.595067977905273,3093.21,185.957,False,2824.81,0.581311,3067.16,184.705,False,-30.7715,39.8368,22.673976499877455,0.06527208006346644,22.772526872512156,0.0002234310881903436,22.68315895168363,0.06538325794365735,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297384840364184,25.963285,2.311533,2.115369,149.9205038672421,3.775548204204172,2025052300186,110,60819.060335375776,i,149.92049511323378,3.775542363237385,13.533143997192383,3875.04,286.483,False,3510.67,0.725758,3926.71,282.259,False,-38.9239,18.9742,22.42930951440768,0.08026883951332833,22.536525003983378,0.00022445338682328513,22.414927939729637,0.0780446789763544,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297384976154632,25.963297,2.311532,2.1153743,149.92064682164354,3.7755416363676617,2025052300187,113,60819.06085855108,i,149.9206678245932,3.7755374643430413,15.499159812927246,4191.87,268.575,False,4169.91,1.28872,4149.49,265.474,False,-49.655,25.6701,22.343980455484626,0.06956360915165426,22.349683255290543,0.00033554918981021733,22.3550131329163,0.06946268478327544,nan,nan
2018 GN13,nan,MBO,MBO,21164741035635534,745297385110372419,25.963308,2.3115308,2.1153798,149.920790604678,3.7755350296624073,2025052300188,113,60819.06138473396,i,149.92078981283754,3.7755233500348484,16.724119186401367,4505.72,264.908,False,4281.53,16.5733,4342.06,264.963,False,-179.133,67.8236,22.265589448819632,0.06383445518530295,22.32100257597925,0.004202757449428992,22.305760434392234,0.06625425072960844,nan,nan
