provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2018 VX188,nan,MBO,MBO,21164741288867928,745284181462876226,21.140564,2.8058121,2.601976,150.00358821751266,3.8952353855213375,2025052000117,154,60816.00153897185,g,150.00359669682751,3.8952726915956064,5.256588459014893,867.394,161.715,False,859.435,24.9813,996.028,159.755,False,115.147,14.4043,24.054458988388646,0.20242223261103773,24.06446741282675,0.031559224738727194,23.904321115165203,0.17414348799092022,26.24686840134894,0.13582003262367792
2018 VX188,nan,MBO,MBO,21164741288867928,745284181866053748,21.140572,2.8058143,2.6020005,150.00393452602296,3.8951363487122745,2025052000120,155,60816.003256159864,g,150.00396649757414,3.8950828351642555,6.70658016204834,896.342,130.085,False,1043.09,7.49305,932.91,128.978,False,60.8818,23.6269,24.018815657534063,0.1575715571065047,23.85419558086483,0.00779939990077676,23.975400660336323,0.15010674641984859,26.938781261173915,0.4213505473721936
2018 VX188,nan,MBO,MBO,21164741288867928,745284182268706840,21.140575,2.805816,2.6020217,150.0042351098429,3.895050389304281,2025052000123,155,60816.00474765939,g,150.00428689432687,3.895055073227005,7.617196559906006,1156.3,148.709,False,1107.26,31.1734,1185.01,146.128,False,27.117,13.4642,23.742323640044233,0.13963395144660048,23.789375962375843,0.03056742739840451,23.715694952894996,0.13388618266148422,27.81689587400235,0.5390924186693744
2018 VX188,nan,MBO,MBO,21164741288867928,745284183209279491,21.140593,2.8058212,2.6020834,150.00510579367705,3.894801403384221,2025052000130,157,60816.00906569423,g,150.00511928835223,3.8947821559414098,6.29805850982666,1388.34,216.175,False,nan,nan,1299.84,215.819,False,-54.2363,8.35453,23.54376043556528,0.1690573153228451,nan,nan,23.615275285078027,0.1802702704958676,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745284183477715031,21.140594,2.8058226,2.6020987,150.0053207848834,3.89473992538483,2025052000132,157,60816.01013182878,g,150.00533080165036,3.8946831913972226,5.265381813049316,965.623,177.68,False,1000.06,36.8609,875.701,176.663,False,-12.7556,12.138,23.937981011935552,0.19978149209183305,23.899934860432523,0.04001881359311586,24.044110399806094,0.21903527745702125,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745284183611932704,21.140598,2.8058233,2.6021073,150.0054399854193,3.89470583971766,2025052000133,157,60816.010722717605,g,150.00554218704863,3.894718862827344,5.64117431640625,975.531,172.186,False,1079.77,14.3031,942.463,171.898,False,2.00346,11.2864,23.926897306551062,0.1916377624760051,23.81667183786693,0.014382130296368525,23.964339212082685,0.19802992178735793,30.64554834779188,6.116445227091074
2018 VX188,nan,MBO,MBO,21164741288867928,745284183880368233,21.1406,2.8058245,2.6021216,150.00564310253984,3.894647758653877,2025052000135,157,60816.011729216334,g,150.0055996402072,3.8946385905256045,5.897226810455322,857.795,143.094,False,876.205,2.93724,888.187,142.791,False,48.1349,16.0876,24.066541245501185,0.18111825461468867,24.043485661025752,0.003639636413124551,24.028738954904615,0.17455035568603744,27.193849834642606,0.36287373296016345
2018 VX188,nan,MBO,MBO,21164741288867928,745284184664178800,21.140612,2.8058283,2.6021678,150.00629431380486,3.894461552648557,2025052000141,116,60816.01495770269,g,150.0063315297984,3.8944506679712294,5.615197658538818,848.281,154.748,False,1166.84,60.2235,1046.32,152.665,False,183.694,14.094,24.0786506433022,0.1980658605417241,23.73247176033022,0.05603753340690556,23.850838738812147,0.15841608582325448,25.739762570631974,0.08330356952551587
2018 VX188,nan,MBO,MBO,21164741288867928,745284189517512779,21.140757,2.805887,2.6028626,150.01609736833134,3.891661042784255,2025052000177,157,60816.06343342403,r,150.0161650591371,3.8916708348090756,9.15642261505127,2520.6,273.753,False,2724.55,29.1238,2495.27,273.137,False,-61.3869,10.7115,22.896240128130955,0.11791776627509216,22.811763024703183,0.011605866588963999,22.90720612846093,0.11884674615606453,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745284189652254811,21.140759,2.8058875,2.6028695,150.01619408430489,3.891633448459048,2025052000178,158,60816.0639107544,r,150.016304627246,3.89163878033626,10.884330749511719,3148.55,301.406,False,3458.83,6.4435,2735.99,301.289,False,-79.8031,8.3201,22.654723497085417,0.10393590948788133,22.552676932594427,0.0020226322550978702,22.807213739596477,0.1195619787182714,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745284189786472525,21.140759,2.8058882,2.6028762,150.016290400393,3.89160596911065,2025052000179,158,60816.06438575081,r,150.01633935342807,3.891573624048343,9.076661109924316,3169.46,347.201,False,4081.93,22.9024,2623.92,345.613,False,-96.1013,7.5777,22.64753682550043,0.11893782804670502,22.372836136092378,0.00609171746087355,22.85262355778599,0.14300914862671638,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745284189921738815,21.14077,2.8058937,2.602942,150.01721734802783,3.891341553603696,2025052000180,160,60816.06895572477,r,150.01722336400655,3.891295899791448,6.708996772766113,3253.61,474.556,False,3223.8,33.5114,3170.78,482.182,False,-98.8482,7.57007,22.619086228636522,0.15836028691477083,22.62907975617444,0.011286226773387711,22.64708471452878,0.16510841410238128,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745284190727045203,21.140776,2.8058972,2.6029854,150.01783161375627,3.89116637953696,2025052000186,160,60816.07198260975,r,150.01780916507178,3.891192101563326,7.045506954193115,3126.86,449.753,False,3475.35,5.43036,3175.11,453.694,False,-18.012,12.6588,22.66222887055254,0.15616723756422018,22.54750359795686,0.001696501968983069,22.64560302379097,0.15514170698999216,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745284190860738619,21.140778,2.805898,2.6029928,150.01793513060397,3.8911368628434215,2025052000187,159,60816.072492731924,r,150.01790358106027,3.8911161535010845,6.193505764007568,3796.94,622.96,False,4140.97,107.619,3850.48,629.414,False,23.478,8.35994,22.451415680788998,0.1781356198439445,22.35724473319559,0.028217022131551434,22.436212825659823,0.17747854102305297,27.9733472246523,0.38660400454115645
2018 VX188,nan,MBO,MBO,21164741288867928,745284192349192263,21.140789,2.8059049,2.603074,150.01908523149535,3.890809001831767,2025052000198,182,60816.07815667415,r,150.0191229427671,3.890855412841459,8.420098304748535,2890.29,343.967,False,3230.86,50.0703,2774.37,345.628,False,-68.5254,10.7351,22.747646434593022,0.12921105892240642,22.62670461508435,0.016826212473470048,22.792089004939555,0.1352598272957946,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745284192619200531,21.140793,2.805906,2.6030884,150.01928471716082,3.8907521490277657,2025052000200,185,60816.07913864023,r,150.0192629616853,3.890804000312236,5.597026824951172,2311.14,409.705,False,2575.2,29.5923,2113.19,410.23,False,-73.2553,13.0061,22.99043441503873,0.19247278739809778,22.872972611392647,0.012476480487686422,23.087653662956967,0.21077214427292953,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745297377863663663,21.12084,2.8094769,2.6450064,150.64352456474649,3.714235325411906,2025052300134,115,60819.02753780842,g,150.64355007013398,3.7142539188268087,8.772082328796387,1071.89,123.893,False,1179.94,5.00841,1155.55,124.204,False,81.6048,27.7704,23.824624436985445,0.1254933914169345,23.72035024397972,0.00460854985023703,23.743028099371386,0.11670007915017759,26.62071077323917,0.3694798429840967
2018 VX188,nan,MBO,MBO,21164741288867928,745297378152546328,21.120832,2.8094783,2.6450214,150.64374714164265,3.714170025252307,2025052300136,154,60819.028586217355,g,150.64376462957034,3.714141333673383,6.38869047164917,819.463,123.668,False,851.792,0.264823,1056.74,121.47,False,236.474,43.7597,24.116176609946454,0.163852208207883,24.074166117761592,0.0003375564814052664,23.84007964312532,0.12480305404935119,25.46554151048054,0.2009163444487186
2018 VX188,nan,MBO,MBO,21164741288867928,745297378424127495,21.120823,2.8094795,2.6450362,150.64396889094036,3.714104970613593,2025052300138,160,60819.029631473495,g,150.64396448522032,3.7140858763416125,10.325592994689941,1272.28,121.129,False,1275.41,4.03473,1345.91,118.605,False,85.8118,40.2284,23.638543224483065,0.10336886167519099,23.6358754264013,0.003434701212920111,23.57745992265221,0.09567782611009953,26.56613249437559,0.5089909848571247
2018 VX188,nan,MBO,MBO,21164741288867928,745297378556772396,21.12082,2.8094802,2.6450438,150.64408030413935,3.714072286343864,2025052300139,157,60819.03015675932,g,150.6440827257045,3.7140529723132087,8.502055168151855,964.011,111.989,False,994.907,27.4155,990.418,109.301,False,40.4043,21.7842,23.939795041605752,0.12612979710409833,23.905543802932858,0.029918376434450944,23.91045365565205,0.11982016892301743,27.383931013807857,0.5853806390307983
2018 VX188,nan,MBO,MBO,21164741288867928,745297378826256446,21.12081,2.8094814,2.6450589,150.64430293455897,3.7140069774297855,2025052300141,159,60819.03120546072,g,150.6443254692186,3.7140022236728094,9.136475563049316,1092.93,118.505,False,1050.66,0.684973,1214.79,115.818,False,149.697,42.3562,23.80351907879318,0.11772497748225381,23.84634446864556,0.0007078407503807278,23.688746944580195,0.10351401689234005,25.961967212447462,0.30720494863485964
2018 VX188,nan,MBO,MBO,21164741288867928,745297378960998446,21.120806,2.809482,2.6450665,150.64441372720307,3.713974477343532,2025052300142,160,60819.03172731136,g,150.64439261633638,3.713961177404272,7.2518086433410645,905.015,119.575,False,1044.85,5.1742,1014.71,117.301,False,135.973,23.5166,24.00836053893486,0.1434527618538815,23.85236515774013,0.0053766726945309005,23.884145125534676,0.1255116659079933,26.066368243535194,0.18777862006421042
2018 VX188,nan,MBO,MBO,21164741288867928,745297379643621423,21.120785,2.8094852,2.645104,150.6449690460669,3.713811590336369,2025052300147,182,60819.034343319145,g,150.64495305381834,3.7137979000434376,9.066821098327637,1170.02,127.759,False,1221.87,3.97606,1147.59,125.946,False,-39.0417,30.9403,23.729516768075683,0.11855572758068048,23.682437499568284,0.003533069981072123,23.750533144372696,0.11915765664521802,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745297379777839163,21.120779,2.809486,2.6451113,150.64508008395362,3.713779022802115,2025052300148,182,60819.03486655337,g,150.64508652231635,3.7137545365646076,7.7951483726501465,1103.46,137.583,False,1189.61,3.60723,1091.29,135.635,False,-16.2187,30.6464,23.79310855149681,0.13537313673585383,23.71148849772147,0.0032922556146177027,23.805149522190945,0.134944715792286,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745297379911532586,21.120775,2.8094864,2.645119,150.6451913397914,3.7137463921215934,2025052300149,181,60819.03539085956,g,150.64521654020456,3.7137407884037383,10.583888053894043,1370.61,130.395,False,1332.2,2.12518,1313.22,127.764,False,0.460712,25.6009,23.55771527131683,0.10329311662054455,23.588576466492572,0.0017320109283461196,23.60415630347192,0.10563196074773146,32.24142622262099,60.33232380590931
2018 VX188,nan,MBO,MBO,21164741288867928,745297380047323170,21.120771,2.809487,2.6451266,150.64530281353788,3.713713698319482,2025052300150,184,60819.03591508551,g,150.64531428384672,3.71374381787675,7.447719573974609,1060.8,142.977,False,1007.64,8.65655,1063.02,139.718,False,-1.47495,8.99772,23.83591617237233,0.14633795591655122,23.891736486132622,0.009327468192018556,23.83364639116099,0.14270370339918498,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745297380447354917,21.120758,2.809489,2.645149,150.64563726876924,3.7136156117690415,2025052300153,179,60819.03749054286,g,150.64563508896444,3.7136194369997013,8.58344841003418,1169.83,133.295,False,1162.13,5.83918,1182.99,131.481,False,30.3741,29.0802,23.729693154425505,0.12371302741577847,23.736863214190684,0.005455335545515582,23.71754732525259,0.12067192974122523,27.693741463521913,1.0394851690362454
2018 VX188,nan,MBO,MBO,21164741288867928,745297380583669787,21.120754,2.8094897,2.6451566,150.64574834056086,3.7135830390848974,2025052300154,183,60819.03801396572,g,150.6457631230414,3.7135684575943864,7.139672756195068,988.027,139.663,False,967.62,1.39215,1062.21,137.263,False,72.0471,24.3827,23.913077992689843,0.15347472580775384,23.935737914646474,0.0015620881268812738,23.834474075688203,0.14030315538777807,26.755958795173353,0.36744270762212045
2018 VX188,nan,MBO,MBO,21164741288867928,745297380719460400,21.120749,2.8094902,2.645164,150.64586005529702,3.713550278684048,2025052300155,186,60819.03853933948,g,150.6459108691685,3.7135618874184204,7.4227495193481445,1088.44,145.817,False,1405.29,9.60429,1177.49,144.159,False,115.03,8.95474,23.80798882430976,0.14545478496734335,23.530585080207317,0.007420336794125825,23.72260694023111,0.13292566656941202,26.24797221204351,0.08452129930605312
2018 VX188,nan,MBO,MBO,21164741288867928,745297380982652983,21.12074,2.8094916,2.6451793,150.64608265246164,3.7134850044757495,2025052300157,176,60819.039587964784,g,150.64609664036877,3.7134733529627937,7.633273124694824,971.011,127.865,False,939.122,7.79582,1145.68,126.94,False,140.448,13.2548,23.93193964079464,0.14297228296766426,23.968194953004353,0.009012890969032029,23.752341619769687,0.12029829448134377,26.031211117186473,0.10246650914443531
2018 VX188,nan,MBO,MBO,21164741288867928,745297381118443566,21.120737,2.809492,2.6451867,150.64619395970013,3.713452366106973,2025052300158,179,60819.040111307746,g,150.64620828019906,3.713424052853309,7.523766040802002,1037.53,138.658,False,1001.8,8.63482,1191.23,136.636,False,168.728,35.3109,23.85999831155366,0.14510039381731107,23.898047444846064,0.009358291867546609,23.710010962358353,0.12453569522983775,25.832032123724154,0.22721969712413717
2018 VX188,nan,MBO,MBO,21164741288867928,745297381250564144,21.120731,2.8094928,2.6451943,150.6463061225212,3.713419477727465,2025052300159,175,60819.04063972704,g,150.64632112751042,3.7134104695889465,6.783979415893555,882.743,131.925,False,969.683,7.1925,1065.19,129.758,False,155.177,30.0705,24.03541431750123,0.16226212523472033,23.933425563983285,0.008053310113380377,23.831432358146547,0.13226087499447453,25.922931607580967,0.21039606065784733
2018 VX188,nan,MBO,MBO,21164741288867928,745297381386354728,21.120728,2.8094935,2.6452017,150.64641722910002,3.7133868999278143,2025052300160,178,60819.04116299786,g,150.64643462697572,3.7133547865771455,8.552631378173828,1302.44,148.761,False,1425.19,6.54256,1417.26,147.329,False,116.06,9.62338,23.613105734787453,0.12400971449371052,23.51531812859931,0.004984243970996535,23.52137616752245,0.11286596849522948,26.23829360726797,0.09002629657229547
2018 VX188,nan,MBO,MBO,21164741288867928,745297381520048137,21.120724,2.809494,2.6452093,150.64652919137671,3.713354072109562,2025052300161,177,60819.04168941305,g,150.6465425295461,3.71332691050373,9.336767196655273,1151.99,119.138,False,1124.68,13.2054,1234.23,118.18,False,80.8578,40.7488,23.746378236320346,0.11228608025170567,23.772427517593062,0.012748142316524816,23.67150977105184,0.10396142294398342,26.630695153184263,0.5471635867037907
2018 VX188,nan,MBO,MBO,21164741288867928,745297381654265912,21.120718,2.8094947,2.645217,150.64664073468606,3.713321368023108,2025052300162,177,60819.04221461984,g,150.6466453498382,3.713284087743926,7.963345527648926,1028.71,125.76,False,1068.51,3.16491,1095.37,122.018,False,73.6384,34.9399,23.869267637243347,0.132731472051976,23.8280535125621,0.003215933800465839,23.80109789910031,0.1209448481981518,26.732239181852567,0.5151594175237695
2018 VX188,nan,MBO,MBO,21164741288867928,745297381910642730,21.120708,2.8094964,2.6452353,150.6469144128543,3.713241130402359,2025052300164,154,60819.04350260107,g,150.64690697934043,3.713233608847255,10.215831756591797,1283.62,124.416,False,1294.96,9.95247,1214.07,122.98,False,-81.482,10.901,23.6289088161542,0.10523593942338329,23.619359148479454,0.008344471753976727,23.689390728760863,0.10998035369710725,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745297382044860481,21.12068,2.8095005,2.6452837,150.64762852702253,3.713031790906197,2025052300165,154,60819.04686286381,r,150.64764560425573,3.7130171281049607,13.87193775177002,2205.39,154.187,False,2075.78,4.40149,2174.98,152.421,False,-41.4835,46.6527,23.041286550380946,0.07590784963823026,23.10704667658224,0.0023021983110216577,23.05636184035033,0.07608759862186297,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745297382179078204,21.120674,2.809501,2.645291,150.64773949230047,3.7129992654076136,2025052300166,154,60819.04738498699,r,150.64774079896623,3.7129697531482235,13.512232780456543,2424.4,180.147,False,2292.53,2.61058,2443.44,176.486,False,8.99115,49.2767,22.93848935538916,0.08067651023060067,22.999212417255524,0.0012363638207169064,22.92999582814202,0.07842109329907318,29.015461904063287,5.950462044143754
2018 VX188,nan,MBO,MBO,21164741288867928,745297382449610843,21.120665,2.8095024,2.645306,150.64796250410575,3.712933900396731,2025052300168,158,60819.04843320498,r,150.6479662282198,3.712915368741079,11.893202781677246,2065.91,172.683,False,2125.79,1.08201,2041.26,168.721,False,19.774,36.1232,23.112221551579747,0.09075332011787365,23.08119908069304,0.0005526309949269401,23.125254181479807,0.08974187010574346,28.15976366623369,1.9834259712576263
2018 VX188,nan,MBO,MBO,21164741288867928,745297382584877160,21.12066,2.8095028,2.6453137,150.64807391298643,3.712901247802369,2025052300169,160,60819.0489575571,r,150.6480732381021,3.7128893942272225,13.546304702758789,2444.63,174.303,False,2203.22,2.23475,2502.5,171.727,False,21.1409,42.9398,22.929467209469088,0.07741338362471747,23.042355351206826,0.0011012740675248208,22.90406478462161,0.0745055850823104,28.087191337713442,2.2052654581299143
2018 VX188,nan,MBO,MBO,21164741288867928,745297382852788303,21.120651,2.8095043,2.6453288,150.64829696224308,3.712835877754951,2025052300171,159,60819.05000675553,r,150.648274587067,3.7128254821715068,13.211774826049805,2454.32,180.929,False,2481.71,3.95335,2413.41,179.104,False,7.23721,41.5989,22.925172003718796,0.08003893593623695,22.913122440377613,0.0017295716927186624,22.943422269774295,0.08057466760306577,29.25107209395727,6.240724381809099
2018 VX188,nan,MBO,MBO,21164741288867928,745297382999064615,21.120647,2.8095047,2.6453364,150.64840924050787,3.712802973383836,2025052300172,182,60819.05053419755,r,150.64841653460604,3.7127964610238426,13.159439086914062,2459.18,183.943,False,2370.54,2.59763,2525.17,182.133,False,56.1519,47.0388,22.923024234822783,0.08121144968703539,22.962881762329495,0.0011897461831910114,22.8942734808438,0.07831092303803369,27.02658883598252,0.9095280174058439
2018 VX188,nan,MBO,MBO,21164741288867928,745297383403290637,21.120634,2.8095067,2.645359,150.64874377427552,3.712704940754337,2025052300175,185,60819.05210794845,r,150.6487457649297,3.7126899770636745,12.436849594116211,2410.95,188.722,False,2197.27,0.329318,2358.16,183.726,False,13.4193,29.5091,22.944529512583415,0.08498820478098448,23.045291424850884,0.00016272577250311672,22.968566869400146,0.08459051766504005,28.580675338510904,2.3875386948136583
2018 VX188,nan,MBO,MBO,21164741288867928,745297383537508429,21.12063,2.8095074,2.6453664,150.64885544004542,3.712672220004903,2025052300176,185,60819.05263225407,r,150.64887027619835,3.7126572790370904,12.505393028259277,2398.63,190.821,False,2275.15,0.707007,2293.66,190.047,False,-19.0866,22.7587,22.950091900143907,0.0863748379376766,23.007474959477616,0.00033739451025045005,22.998677439543236,0.08996142114854248,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745297383804371042,21.12062,2.8095086,2.6453817,150.64907836537688,3.7126069006836526,2025052300178,182,60819.05368098723,r,150.64907127485134,3.7125724356481986,11.073226928710938,2246.05,197.763,False,2207.64,3.46841,2344.07,196.789,False,75.1839,42.6765,23.021451426411126,0.09559824800153308,23.040179416828117,0.001705793747887362,22.97507352659325,0.09114955498669186,26.70968789042204,0.6162944471013782
2018 VX188,nan,MBO,MBO,21164741288867928,745297383939637258,21.120615,2.8095093,2.645389,150.64919026310824,3.712574115141133,2025052300179,184,60819.05420634805,r,150.64917452939673,3.7125477598031464,11.470283508300781,2106.44,180.939,False,2133.26,8.66689,2291.31,179.122,False,177.222,34.7163,23.091127297297845,0.09326257742017875,23.07739051969269,0.0044110686785967705,22.99979034596464,0.08487687349208951,25.77870591579302,0.21268660113483412
2018 VX188,nan,MBO,MBO,21164741288867928,745297384073854991,21.120611,2.80951,2.6453967,150.64930152912927,3.712541515755046,2025052300180,184,60819.05472985945,r,150.64930392687646,3.712549666790206,11.265331268310547,2060.89,182.092,False,1979.46,2.13137,2383.46,180.328,False,287.198,33.0273,23.114863026766344,0.09593131226461798,23.158633196031985,0.001169059083686259,22.956980348161267,0.08214471596807571,25.25454647932143,0.12485789434789224
2018 VX188,nan,MBO,MBO,21164741288867928,745297384207548464,21.120607,2.8095105,2.645404,150.649413227131,3.712508790883607,2025052300181,183,60819.05525411703,r,150.64942026901235,3.712500973823417,11.707488059997559,2309.13,199.079,False,2232.76,8.45366,2666.73,198.299,False,365.833,33.9387,22.991379096028467,0.09360550647966297,23.02789488739052,0.004110806668352446,22.83505239134262,0.08073573285278557,24.991792780609188,0.10072485619085618
2018 VX188,nan,MBO,MBO,21164741288867928,745297384343863349,21.120602,2.8095112,2.6454117,150.64952386771205,3.7124763768843625,2025052300182,187,60819.05577405935,r,150.64953015989144,3.7124609357671883,10.723017692565918,2175.97,202.993,False,2146.59,9.1316,2848.1,201.268,False,475.012,22.7701,23.055867755945577,0.1012867127171929,23.070627200930396,0.004618724923690832,22.763611878269277,0.07672622197186019,24.708238562226015,0.05204567865244659
2018 VX188,nan,MBO,MBO,21164741288867928,745297384473886740,21.120598,2.809512,2.6454191,150.64963557871417,3.712443650378385,2025052300183,179,60819.05629904333,r,150.6496310590982,3.7124291046272337,11.661055564880371,2248.44,190.775,False,2161.29,2.10774,2927.4,190.224,False,650.997,34.3135,23.020296771200968,0.09212223729951059,23.06321737026054,0.0010588350040223343,22.73379486497971,0.07055171471047245,24.366052516510894,0.057228233209414746
2018 VX188,nan,MBO,MBO,21164741288867928,745297384608104511,21.120592,2.8095124,2.6454268,150.6497472962806,3.712410923053029,2025052300184,179,60819.056824495594,r,150.64975525500424,3.7123653226858937,12.353120803833008,2398.74,191.32,False,2178.86,3.83186,3417.39,189.863,False,1013.63,33.4495,22.950042061329086,0.08659673807589237,23.05442663127405,0.001909433832151693,22.56576367347759,0.0603212237060342,23.88530135550746,0.03582898506621565
2018 VX188,nan,MBO,MBO,21164741288867928,745297384740749397,21.120588,2.809513,2.6454341,150.64985816917002,3.712378444271815,2025052300185,176,60819.05734536407,r,150.6498644229656,3.712358942186016,14.286506652832031,2686.08,185.125,False,2579.9,7.81194,4465.0,183.686,False,1668.69,39.7001,22.82720261043277,0.0748290851574884,22.87099285980421,0.0032876106121138087,22.275446341938586,0.04466619161110319,23.344060879760562,0.025830943648256294
2018 VX188,nan,MBO,MBO,21164741288867928,745297384863432812,21.120562,2.8095167,2.6454773,150.65049459110992,3.712192034215551,2025052300186,154,60819.060335375776,i,150.65049823924141,3.7121353925153286,9.050455093383789,2729.94,309.289,False,2938.79,45.3889,32423.4,308.423,False,29656.2,17.0339,22.80961726829808,0.12300866459754056,22.729578602132037,0.016768932857003732,20.122853601614796,0.010327911876977902,20.219711273870463,0.0006236241215426504
2018 VX188,nan,MBO,MBO,21164741288867928,745297384999223302,21.120558,2.8095174,2.6454847,150.65060593406724,3.712159425333751,2025052300187,157,60819.06085855108,i,150.65059387070224,3.712140011069617,11.480667114257812,3372.83,287.376,False,3278.27,1.98142,16656.4,282.441,False,13214.7,18.4471,22.580013844619305,0.0925082284130727,22.610888194971437,0.0006562301035564857,20.846047120077806,0.018410726360691455,21.097356713377287,0.0015156366550500805
2018 VX188,nan,MBO,MBO,21164741288867928,745297385133441083,21.120552,2.809518,2.6454923,150.65071792251652,3.712126628577698,2025052300188,157,60819.06138473396,i,150.65072366381696,3.7121112418569777,10.375650405883789,2591.9,249.531,False,2472.68,8.21234,5154.44,246.434,False,2611.79,59.0258,22.865954436690316,0.10452751166287323,22.917080239746156,0.003605980351535507,22.11954629082531,0.05190909684740009,22.85765434695875,0.02453736548912447
2018 VX188,nan,MBO,MBO,21164741288867928,745297385537667146,21.120539,2.80952,2.645515,150.65105350264926,3.712028358223162,2025052300191,160,60819.06296078522,i,150.6510581980639,3.7120239181992156,11.451906204223633,2906.72,248.901,False,2719.53,3.87306,3101.36,246.287,False,212.113,64.8368,22.74149201382843,0.09297105702804324,22.813765353258333,0.0015462677032040825,22.6711195092807,0.08622111144223543,25.58358175023316,0.33187809593059736
2018 VX188,nan,MBO,MBO,21164741288867928,745297385817636934,21.12053,2.8095212,2.6455302,150.65127817982895,3.7119625704056274,2025052300193,182,60819.064015990574,i,150.65129588344377,3.7119406743552075,12.413745880126953,3139.93,253.981,False,3319.19,1.96011,3126.33,250.775,False,49.0269,27.1792,22.657700108034604,0.08782245975945151,22.59741973569715,0.0006411691932748512,22.662412927643878,0.08709108869422637,27.17391388888513,0.6019030340219538
2018 VX188,nan,MBO,MBO,21164741288867928,745297386221862968,21.120516,2.809523,2.6455529,150.6516147152284,3.711864038521495,2025052300196,185,60819.06559514809,i,150.65162187819593,3.7118503637975904,14.568318367004395,3647.95,247.707,False,3366.21,2.31507,3519.6,244.212,False,-133.043,39.2072,22.494877821746513,0.0737248214660518,22.58214699805975,0.0007467018549634804,22.53376669730428,0.07533521103991969,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745297386623991824,21.1205,2.809525,2.6455755,150.65194918303487,3.711766123079912,2025052300199,184,60819.067165975925,i,150.65195758025644,3.7117416146903706,13.51241683959961,3191.59,223.959,False,2980.47,4.70311,3101.49,218.249,False,-103.215,65.9646,22.639982230959006,0.07618785232051092,22.714288123710254,0.0017132657228209139,22.6710740403528,0.07640225633849396,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745297386758209599,21.120497,2.8095257,2.645583,150.65206082818105,3.711733441459793,2025052300200,184,60819.06768914743,i,150.6520618881537,3.711728084464532,17.230798721313477,3963.46,227.818,False,3646.12,0.716675,3857.28,224.181,False,-142.063,53.0891,22.404813811780237,0.06240765535954992,22.49542257029666,0.0002134104065754584,22.4342970781241,0.06310182978812102,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745297386891903018,21.120491,2.8095262,2.6455905,150.65217226729172,3.711700821408386,2025052300201,183,60819.06821238123,i,150.65218142050787,3.711678803350354,14.746312141418457,3686.15,243.507,False,3495.2,4.82208,3505.84,239.364,False,-133.925,48.3885,22.483567518942003,0.0717237163775017,22.54131993591401,0.001497913440813072,22.53801974323145,0.07412949612003601,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745297387026120777,21.120487,2.809527,2.6455982,150.65228413959235,3.7116680758247313,2025052300202,183,60819.068737992246,i,150.65228721691534,3.7116501642395545,12.669974327087402,3126.54,239.907,False,3025.4,0.568286,3103.51,236.596,False,-61.026,44.7352,22.662340013226263,0.08331117142348377,22.69804302864255,0.00020394285271368626,22.670367123860657,0.08277106719104568,nan,nan
2018 VX188,nan,MBO,MBO,21164741288867928,745301777385521244,21.1074,2.810634,2.6585526,150.8515052636934,3.654412171306732,2025052400145,113,60819.98026129721,i,150.85152939708667,3.65437393115634,6.3561482429504395,1827.38,277.035,False,2099.05,7.13501,1828.71,272.599,False,-7.75179,24.3735,23.245427828576723,0.1646001010504338,23.09494301541781,0.0036905925269227337,23.244637923778697,0.16184666182320176,nan,nan
