provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2019 GW120,nan,MBO,MBO,21164745331781719,745416141743063259,11.7146225,3.07678,2.2112167,227.59649347941377,-38.62991124854951,2025061900258,78,60846.188051312194,g,227.59647245040154,-38.629936883277594,25.500228881835938,4554.73,175.908,False,4674.6,1.86323,4937.27,177.272,False,119.077,4.72673,22.253843410870363,0.04193216508870796,22.225638840486553,0.000432759212698081,22.16628280136292,0.03898320958230609,26.21043025679883,0.04309800885025297
2019 GW120,nan,MBO,MBO,21164745331781719,745416141858406515,11.714732,3.07678,2.21122,227.59643248766503,-38.629873451090646,2025061900259,42,60846.188516572714,g,227.5964195279748,-38.62988917546556,24.167091369628906,4430.75,181.283,False,4901.19,0.651154,4366.84,183.145,False,149.739,3.55194,22.28380688461601,0.04442261955110943,22.174246166129066,0.0001442468994755307,22.29958183943817,0.04553571208795105,25.961662690360082,0.02575461207322154
2019 GW120,nan,MBO,MBO,21164745331781719,745416142121074874,11.714954,3.0767806,2.211227,227.5963089543441,-38.62979686804338,2025061900261,31,60846.189458533816,g,227.59629325558072,-38.62980706306327,27.51099967956543,4792.65,171.074,False,4499.57,2.3784,4615.52,171.064,False,16.9902,5.27486,22.198560736425954,0.03875543693865012,22.267072511060668,0.000573902658503868,22.239448402418624,0.040240400281750556,28.32450376928707,0.3370829277905815
2019 GW120,nan,MBO,MBO,21164745331781719,745416143082095026,11.715731,3.0767815,2.2112513,227.59587749938436,-38.629529100774064,2025061900268,72,60846.192750367045,g,227.59585295325405,-38.629551746488865,26.5826358795166,4711.63,176.17,False,4345.16,0.063702,5208.04,176.12,False,246.297,4.77875,22.217072081081568,0.040596173715160444,22.304985528651777,1.5917381081931118e-05,22.10831421400046,0.03671627976097068,25.421352207955458,0.02106587529721441
2019 GW120,nan,MBO,MBO,21164745331781719,745424936864580141,12.137878,3.077348,2.224864,227.37845916856364,-38.48375889758355,2025062100251,17,60848.03025114289,r,227.3784540542803,-38.48378169508237,38.05970764160156,6069.89,159.096,False,5682.68,0.989613,7266.74,155.975,False,1161.78,30.1531,21.94204792364983,0.028457892282547276,22.013616963971373,0.00018907603909566086,21.74665091085368,0.023304494959495745,23.737190233018193,0.02817944060802767
2019 GW120,nan,MBO,MBO,21164745331781719,745424937002467981,12.13798,3.077348,2.2248673,227.3784069197324,-38.48372468526276,2025062100252,24,60848.0306865646,r,227.3783954525003,-38.48373611490037,38.69046401977539,6022.0,151.372,False,6063.5,1.71408,7379.59,152.363,False,1174.01,34.8427,21.950648122058148,0.027291606491593463,21.943191545234924,0.000306924826895854,21.729919438784595,0.022416697408002933,23.72582050055013,0.032222878499551424
2019 GW120,nan,MBO,MBO,21164745331781719,745424937400926701,12.138296,3.0773485,2.2248774,227.37824511989777,-38.48361871770455,2025062100255,16,60848.03203380895,r,227.37821875337497,-38.483623985252876,37.9793586730957,6805.37,177.327,False,6534.37,1.47484,7552.34,174.035,False,727.737,21.776,21.81787062564423,0.028290943205082242,21.861990675072395,0.00024505609635500574,21.704796189205922,0.025019544708059973,24.245063860431408,0.03248837231044771
2019 GW120,nan,MBO,MBO,21164745331781719,745424938926080303,12.139484,3.07735,2.2249157,227.3776364909171,-38.48321980621301,2025062100266,109,60848.03709997113,r,227.37763356612416,-38.48321332992192,15.80941390991211,7333.57,461.975,False,7238.74,3.06004,6928.93,463.885,False,-151.522,7.53156,21.736711421665056,0.06839547476094,21.75084251988823,0.0004589743664350723,21.79833453779279,0.0726889631111529,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745424939704123529,12.140131,3.0773509,2.2249365,227.3773050830115,-38.483002384465216,2025062100272,57,60848.03985719467,r,227.37729120931817,-38.483010650885866,36.296085357666016,7306.0,198.582,False,7008.71,0.549776,7252.11,198.213,False,-133.395,33.5227,21.740800830310253,0.0295110413096764,21.78590477976388,8.516713207058268e-05,21.748839063338934,0.029675092025300952,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745424939843059728,12.140238,3.077351,2.22494,227.377250405521,-38.48296649846474,2025062100273,66,60848.040312246674,r,227.3772297750395,-38.48297834993671,46.271690368652344,7663.96,161.881,False,7157.38,0.483146,7473.28,160.3,False,-121.17,38.6801,21.68886693205412,0.022933321661361406,21.7631148292472,7.32906630382071e-05,21.716221895732883,0.02328877306076842,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745424940648366162,12.140894,3.0773518,2.224961,227.376913908892,-38.482745555653786,2025062100279,66,60848.043112665444,r,227.37693749929423,-38.48277018576481,13.211127281188965,6797.98,508.295,False,6357.73,12.3475,7377.24,500.984,False,-84.6033,25.8894,21.819050296787793,0.0811821012068436,21.89174480244138,0.0021086343181866904,21.730265184581427,0.07373170170230092,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745424941589463506,12.141963,3.0773532,2.2249956,227.37636559985336,-38.48238518508384,2025062100286,69,60848.04767462213,g,227.37634916162364,-38.48239091293306,37.45244216918945,4559.42,121.174,False,4166.66,0.0320771,4531.62,117.705,False,-39.1392,26.7537,22.25272601875218,0.0288552063726288,22.35052980074316,8.358557608858527e-06,22.25936625977765,0.02820108011357614,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745424941828014620,12.142189,3.0773535,2.225003,227.37624972894383,-38.48230897256457,2025062100288,12,60848.04863855502,g,227.37624057620664,-38.48232157087535,20.435544967651367,4345.93,211.87,False,4170.68,0.146718,4122.76,211.664,False,-62.8416,25.8649,22.304793138962175,0.05293111373086111,22.34948278073118,3.8194498927532834e-05,22.362029927308456,0.055742095755977134,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745424941984776234,12.142297,3.0773537,2.2250063,227.3761947977395,-38.482272835151285,2025062100289,55,60848.04909597774,g,227.37619724762217,-38.48228444253502,20.14882469177246,4735.63,231.803,False,4712.19,0.583923,4359.84,234.147,False,-69.1393,35.5299,22.21155561903495,0.05314539120247573,22.216943030249933,0.0001345417588139328,22.301323660001202,0.05830991221979834,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745424942368030889,12.142628,3.0773542,2.225017,227.3760248330715,-38.4821609916048,2025062100292,18,60848.050509545894,g,227.37600212337708,-38.48217590769669,14.87224006652832,4279.46,286.323,False,4123.71,3.8909,4546.58,289.219,False,75.5228,35.6882,22.321527581428906,0.07264263436788433,22.361779720494837,0.0010244393827085344,22.255787888390195,0.06906631526254899,26.704804840906917,0.5130632685598976
2019 GW120,nan,MBO,MBO,21164745331781719,745424943054324011,12.14318,3.077355,2.225035,227.3757421131732,-38.48197485065452,2025062100297,47,60848.05286191149,g,227.37571955171452,-38.48195939940986,15.755134582519531,4221.17,264.149,False,4450.76,6.16408,5584.91,262.912,False,1434.14,26.5829,22.33641791276292,0.06794232967275532,22.278914616450006,0.0015036904557167573,22.032459522332747,0.05111148707775757,23.50852111640417,0.02012496386586012
2019 GW120,nan,MBO,MBO,21164745331781719,745433741691716063,12.600764,3.0779812,2.240803,227.1617269806901,-38.320319296857015,2025062300316,36,60850.073352106876,r,227.1617049544636,-38.320337195461235,35.24919891357422,6338.11,178.511,False,6481.11,1.60442,6100.94,174.61,False,-197.1,7.68275,21.895100592809356,0.030579441119092513,21.870876541563693,0.00026877754898207783,21.936508125621078,0.0310739658472691,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433741825409388,12.600866,3.0779815,2.2408066,227.1616797916942,-38.3202837450008,2025062300317,35,60850.07379568908,r,227.16167264881256,-38.32028402528992,32.0111083984375,6316.21,195.828,False,6237.47,0.609417,6121.13,193.625,False,-229.049,6.28083,21.898858604448705,0.033662204708388835,21.912478788014525,0.0001060792438285378,21.93292101302694,0.03434425942121973,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433741963296996,12.600969,3.0779815,2.2408102,227.16163196505693,-38.32024770693969,2025062300318,42,60850.074244236894,r,227.1616226466172,-38.32025459166728,32.04515075683594,5709.0,175.068,False,5955.58,0.31576,5561.53,171.997,False,-211.146,7.15746,22.00859989248329,0.03329438754117558,21.962689828752954,5.756484591100727e-05,22.03701433135518,0.033577697275654475,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433742382727651,12.6013155,3.077982,2.240822,227.1614716665604,-38.32012687678281,2025062300321,74,60850.07574989271,r,227.1614458052954,-38.32012360311049,33.867431640625,6233.14,180.911,False,6446.48,0.408493,6014.07,178.617,False,-225.347,8.37877,21.91323277240601,0.03151246616100635,21.876693404246417,6.879966339288788e-05,21.95207883496152,0.032246208328945834,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433742762311777,12.601667,3.0779824,2.2408345,227.1613087239753,-38.32000398516906,2025062300324,30,60850.077279511446,r,227.16125964070247,-38.32001629043369,22.508148193359375,5755.84,252.865,False,5462.69,1.36589,5247.11,250.901,False,-243.64,7.03744,21.999728247029378,0.04769845910122167,22.0564836226188,0.0002714772884702514,22.100199606267395,0.05191663747630342,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433743420818007,12.602179,3.0779831,2.2408524,227.1610719072394,-38.31982525292999,2025062300329,6,60850.07950386724,r,227.16106733254472,-38.31983383177705,31.903051376342773,5933.53,185.055,False,5846.08,0.485432,5643.09,180.376,False,-235.107,6.6486,21.96671718305069,0.03386195278263952,21.982838100204912,9.015461457668631e-05,22.021207588158738,0.03470452655887675,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433743577579819,12.602283,3.0779834,2.240856,227.1610239955788,-38.31978907450826,2025062300330,49,60850.07995350675,r,227.1610003587958,-38.319811855699754,28.779754638671875,5783.16,199.111,False,5859.75,2.76796,5436.07,195.513,False,-278.066,5.26434,21.99458695093196,0.03738129455306906,21.98030228074681,0.0005128673515118621,22.0617874338968,0.03904945116512152,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433743687680393,12.602389,3.0779834,2.2408595,227.16097459534555,-38.31975176561001,2025062300331,3,60850.08041742332,r,227.16095784559514,-38.31975910257204,29.753536224365234,5878.61,197.708,False,5792.6,1.11579,5636.61,194.023,False,-216.679,6.43333,21.976813402532187,0.036515218814980016,21.99281613187511,0.00020913814000559275,22.02245505934286,0.03737313657170047,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433743828713769,12.602495,3.0779836,2.2408633,227.16092530358023,-38.31971453208661,2025062300332,16,60850.080880723086,r,227.16091391703338,-38.31972842220168,29.50348663330078,5802.81,195.823,False,5972.85,0.538847,5523.11,192.229,False,-211.126,5.40258,21.990904112040624,0.03663951026432476,21.959545961825455,9.795084739667141e-05,22.044540794737173,0.03778849132318617,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433744358769095,12.60294,3.077984,2.2408788,227.1607196421292,-38.319559110547885,2025062300336,3,60850.08281278591,r,227.1606987780164,-38.31956130246347,33.3597297668457,6059.56,180.707,False,5968.33,1.67403,5938.11,177.495,False,-75.6371,8.76538,21.943897264279343,0.03237861020457922,21.960367915604472,0.00030453324410431386,21.965879429036093,0.032453549496238125,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433744763519375,12.60325,3.0779846,2.2408895,227.16057616981288,-38.31945061781601,2025062300339,7,60850.08416063573,r,227.16056394667623,-38.31946364560207,30.801851272583008,5709.47,183.475,False,5285.23,0.947628,5581.76,179.329,False,-119.832,8.13844,22.008510470823374,0.03489035747605827,22.092340275349557,0.0001946696842154401,22.033072147811133,0.03488218596634899,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433745054498943,12.603462,3.0779848,2.240897,227.16047794272305,-38.31937630640922,2025062300341,50,60850.08508339952,r,227.16048480460753,-38.31937733582979,28.924907684326172,5636.59,192.19,False,5714.53,1.66198,5422.26,188.295,False,-188.081,6.91495,22.0224589155559,0.03702019299391888,22.007548748304472,0.0003157690940756768,22.06454920099287,0.03770359693627199,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433745297244271,12.6036825,3.0779853,2.2409046,227.1603760006982,-38.31929915615638,2025062300343,1,60850.08604196491,r,227.1603611247644,-38.31932381491584,21.639387130737305,5586.13,252.132,False,5780.12,1.6475,5164.08,249.704,False,-162.591,7.17408,22.03222242689858,0.04900509845447251,21.995157840934112,0.00030946596307533837,22.11751757963809,0.052499702458585054,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433745569349893,12.603892,3.0779855,2.240912,227.1602786439054,-38.319225448848165,2025062300345,8,60850.08695661336,r,227.16026310714685,-38.319238727029884,31.669414520263672,5735.86,179.912,False,5425.58,1.05441,5735.03,178.812,False,-120.242,7.60661,22.00350366939105,0.03405539526936065,22.063884555559888,0.00021100252402508158,22.00366080556833,0.03385207499778882,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433746240962595,12.60475,3.0779867,2.240942,227.1598818697424,-38.3189247790656,2025062300350,9,60850.09068660913,g,227.159867275256,-38.3189469405588,24.856279373168945,3433.46,136.998,False,3253.33,0.211666,3471.03,137.048,False,24.098,5.80417,22.560670031840374,0.04332180700067503,22.619179678994918,7.063944853834762e-05,22.548854072633976,0.042868537189251404,27.945047519140925,0.2615070861595258
2019 GW120,nan,MBO,MBO,21164745331781719,745433746528272501,12.604969,3.077987,2.2409496,227.1597805229178,-38.31884790732295,2025062300352,45,60850.09163979355,g,227.15976793622698,-38.3188559769053,31.275075912475586,3580.92,114.144,False,3327.1,0.0221465,3604.04,112.425,False,-14.0405,6.11845,22.515013476914994,0.03460850089121494,22.59483533235919,7.227091718148062e-06,22.50802598218519,0.033868629318859755,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433746811388204,12.605187,3.0779872,2.2409573,227.15967950663247,-38.318771256535335,2025062300354,73,60850.092589598906,g,227.15967111239564,-38.31878837745922,28.736875534057617,3643.42,126.005,False,3444.97,1.00961,3644.22,126.085,False,-48.4337,6.45127,22.49622692830254,0.03754938778181775,22.557036398552547,0.00031819441120286185,22.495988540568085,0.03756497946980261,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433746926207477,12.605293,3.0779874,2.2409608,227.15963059774768,-38.31873413392224,2025062300355,36,60850.09304924487,g,227.1596222672085,-38.318736909104544,32.71889877319336,3715.11,113.611,False,3592.84,0.605799,3641.27,111.387,False,-65.8011,7.18871,22.47507077552762,0.03320267030003171,22.511405280459154,0.00018306907961689636,22.49686778656771,0.033212834839839646,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433747068289168,12.605398,3.0779874,2.2409647,227.15958179795305,-38.3186970871034,2025062300356,51,60850.0935088047,g,227.1595723365279,-38.31871328648771,29.59187126159668,3678.41,123.041,False,3401.1,0.0670828,3699.31,122.462,False,-64.1368,8.53581,22.48584968947975,0.03631734144894324,22.57095146543426,2.1414901812318322e-05,22.479698166647285,0.035942222418303374,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745433747324666225,12.6056185,3.077988,2.2409723,227.15947984845084,-38.31861966851247,2025062300358,28,60850.09446741521,g,227.1594672622684,-38.31863530983305,29.125680923461914,3659.49,124.932,False,3515.68,0.518105,3627.55,124.536,False,-72.1758,5.74592,22.491448591063595,0.03706614720448251,22.534976675185646,0.000160004703279633,22.500966467363448,0.0372739853497296,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745468900546707712,14.282133,3.0804694,2.3099313,226.59596585115716,-37.68873700476378,2025070100126,6,60857.98743670322,i,226.59598146971823,-37.68874012146818,18.24448585510254,7410.85,408.223,False,7365.22,0.2919,9793.39,405.596,False,2394.85,6.69771,21.72532992824825,0.059807238862888974,21.732035658828085,4.303013333009671e-05,21.422667414817237,0.0449660726802386,22.95180416365919,0.003036493300148882
2019 GW120,nan,MBO,MBO,21164745331781719,745468900946739657,14.282411,3.0804698,2.309944,226.5958970721832,-37.688632353870695,2025070100129,1,60857.98879158037,i,226.59587166974373,-37.6886146546211,22.121227264404297,7694.89,344.668,False,7061.3,1.07634,9303.08,343.7,False,1531.11,8.90728,21.68449394099692,0.048632081651256945,21.77778837270855,0.0001654966218161199,21.478433101875467,0.0401122578431245,23.437484027964295,0.006316304145347217
2019 GW120,nan,MBO,MBO,21164745331781719,745468902166757791,14.283237,3.080471,2.3099816,226.5956919501411,-37.68832018852262,2025070100138,24,60857.992830541276,i,226.5956546947663,-37.688336165355516,24.01852798461914,8083.04,334.238,False,8226.52,2.62746,10979.0,332.213,False,2930.92,9.06612,21.63106317483313,0.04489576978576862,21.61195966715759,0.00034677222133429537,21.29859303729672,0.0328532375967823,22.732490117809483,0.0033584728151676646
2019 GW120,nan,MBO,MBO,21164745331781719,745468902317228092,14.283327,3.0804713,2.3099856,226.59566969725736,-37.68828631655031,2025070100139,55,60857.99326855542,i,226.59565058021823,-37.688299760402266,22.080345153808594,7437.38,333.545,False,7720.65,7.20722,10639.7,329.087,False,3452.66,8.93856,21.721450088167884,0.048692133883321415,21.680865351128965,0.001013533818110555,21.332676523466112,0.03358193087708591,22.554615494155456,0.002810852487504006
2019 GW120,nan,MBO,MBO,21164745331781719,745468902454067676,14.283416,3.0804715,2.30999,226.59564764593716,-37.68825275001144,2025070100140,60,60857.99370280851,i,226.5956299466607,-37.68826934480318,23.516542434692383,7626.28,321.666,False,7602.74,1.25857,10355.2,318.771,False,2865.1,9.46453,21.694218164545276,0.04579485879210524,21.69757461989807,0.00017973453322560494,21.362103751371254,0.03342293774701397,22.757150501344125,0.003586605187308008
2019 GW120,nan,MBO,MBO,21164745331781719,745468902983598555,14.283795,3.080472,2.310007,226.595553325656,-37.68810915927587,2025070100144,46,60857.99555819202,i,226.5955392251394,-37.68812288756708,21.039857864379883,7232.51,341.551,False,6670.25,0.494217,10446.7,339.046,False,3194.87,8.86836,21.75177742819435,0.051273249939784826,21.839644721210952,8.044515557517646e-05,21.35255217179578,0.035237395496008884,22.638866981898012,0.003013799842920605
2019 GW120,nan,MBO,MBO,21164745331781719,745468903234732269,14.28398,3.0804722,2.3100157,226.5955075783953,-37.688039504709614,2025070100146,13,60857.99645835719,i,226.5954683633158,-37.68804349736333,16.32904052734375,7307.27,447.276,False,7022.71,1.96425,10263.7,447.827,False,3046.56,8.01456,21.74061211057984,0.06645761638500917,21.78373816911501,0.0003036801060971023,21.37174010568625,0.0473729720870111,22.690475639894437,0.0028562370391005346
2019 GW120,nan,MBO,MBO,21164745331781719,745468903387824276,14.284069,3.0804725,2.3100197,226.5954855157796,-37.68800590976655,2025070100147,49,60857.99689267989,i,226.5954949043657,-37.68802166578747,17.774765014648438,7670.03,427.749,False,7439.34,2.84106,10741.6,427.33,False,3179.62,7.81632,21.688007373861613,0.06055029526231846,21.721164003520034,0.00041463915928866745,21.322327599711343,0.04319353305585648,22.644061909837923,0.0026690174413111995
2019 GW120,nan,MBO,MBO,21164745331781719,745468903643676708,14.284265,3.0804727,2.3100286,226.595436810262,-37.687931739431214,2025070100149,25,60857.997850779706,i,226.5954328890051,-37.68792617235954,17.149765014648438,8180.81,477.798,False,8189.43,3.41247,10281.8,475.667,False,2389.97,8.47518,21.618009226592164,0.06341213008879311,21.616865788982118,0.0004524175990522307,21.369827141166127,0.05022942331467304,22.954018889512355,0.0038501778368684953
2019 GW120,nan,MBO,MBO,21164745331781719,745468904178974989,14.284636,3.0804734,2.3100457,226.59534487176788,-37.687791708764365,2025070100153,22,60857.99965874292,i,226.5953674237432,-37.68782806036349,16.24391746520996,7012.67,424.892,False,6744.93,6.04863,8495.13,423.345,False,1494.05,7.24739,21.785291505876497,0.06578387843659411,21.82755635457614,0.0009736523087689334,21.57707494194097,0.054106411705210744,23.464087134872813,0.005266726837468743
2019 GW120,nan,MBO,MBO,21164745331781719,745468904851636325,14.28537,3.0804744,2.3100793,226.59516230246703,-37.68751353768178,2025070100158,25,60858.00324718601,g,226.5951551222456,-37.6875326562003,14.541232109069824,3505.32,237.868,False,3400.32,3.50252,3898.4,239.853,False,416.846,4.92257,22.538180801892423,0.0736771223192929,22.571200503438508,0.0011183690908661687,22.422784031264968,0.06680101810933932,24.85006088233019,0.01282155187095782
2019 GW120,nan,MBO,MBO,21164745331781719,745468905518006343,14.285849,3.080475,2.310101,226.5950434813913,-37.6873324156873,2025070100163,16,60858.0055823245,g,226.59502288416294,-37.68734794372698,18.842321395874023,4233.49,222.701,False,4157.56,0.116299,4715.67,224.002,False,594.399,5.32733,22.333253594255407,0.05711470430384259,22.35290367100925,3.0371188088340483e-05,22.216141503495578,0.05157423742005746,24.464804848810235,0.009730964059633576
2019 GW120,nan,MBO,MBO,21164745331781719,745468905667952804,14.285937,3.0804753,2.3101053,226.5950213422681,-37.68729866084238,2025070100164,46,60858.00601772373,g,226.5950234588887,-37.68731816288336,15.566535949707031,3540.74,225.677,False,3364.76,0.914411,3989.96,227.658,False,508.576,6.37325,22.527264909843247,0.06920183133400871,22.58261476556239,0.00029506090625251627,22.397578656040743,0.06194962869092516,24.63411036969618,0.013605967304905556
2019 GW120,nan,MBO,MBO,21164745331781719,745468906482696350,14.286497,3.0804763,2.3101308,226.5948823281095,-37.68708665190641,2025070100170,64,60858.00874883383,g,226.5948768279898,-37.687058987363386,15.180267333984375,3721.67,244.559,False,3739.04,0.245053,3975.49,246.326,False,228.114,5.63012,22.473155368626415,0.07134608181342124,22.46809971057607,7.115807911333337e-05,22.401523339254414,0.06727348362187097,25.504620157621396,0.026797237114455072
2019 GW120,nan,MBO,MBO,21164745331781719,745468906588602672,14.286586,3.0804763,2.310135,226.59486013153585,-37.687052790469465,2025070100171,10,60858.0091840213,g,226.59488697146355,-37.687056762504795,15.363941192626953,4145.8,268.135,False,3981.28,0.102014,4348.17,269.642,False,250.297,4.99681,22.355979183137165,0.07022140517652367,22.399943186470985,2.7820271349020576e-05,22.30423373121441,0.06732949381647958,25.403860901984395,0.021675120136200293
2019 GW120,nan,MBO,MBO,21164745331781719,745473290948051342,14.476218,3.0807824,2.3192782,226.5561496667672,-37.61175324046497,2025070200069,16,60858.97067785703,i,226.55613141276504,-37.61174944673018,20.797996520996094,5961.09,284.747,False,5733.02,1.08064,5934.34,283.267,False,-51.6826,12.0801,21.96168583141405,0.05186302258020066,22.00404135419894,0.0002046547758643987,21.966568966062795,0.051826023408758345,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745473291077550191,14.476306,3.0807824,2.3192825,226.55613064362288,-37.61171992459532,2025070200070,7,60858.971113105494,i,226.55611182511316,-37.611725162858754,21.912925720214844,6404.57,286.554,False,5625.71,2.19648,6500.0,284.012,False,-60.868,23.3817,21.88377508799967,0.048578131758747124,22.024556655192143,0.00042391056674371836,21.86771660839286,0.04744032366597128,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745473291210719472,14.476394,3.0807827,2.3192866,226.5561116178767,-37.61168660507863,2025070200071,5,60858.97154963976,i,226.55608335159047,-37.61169752754164,23.29749870300293,6266.84,263.589,False,5416.57,1.08655,6226.63,260.583,False,-54.5954,32.9854,21.907378510124328,0.04566705324346652,22.065689135135024,0.00021779589457260806,21.914367371038303,0.04543780684761175,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745473291611275601,14.476659,3.0807831,2.3192992,226.55605382672616,-37.611585401411176,2025070200074,1,60858.97287310574,i,226.5560355412796,-37.61158892357395,21.32028579711914,6203.65,288.24,False,5483.21,2.45645,6206.54,285.974,False,-78.841,14.3292,21.918381798007797,0.050446527122421356,22.052412809907956,0.00048640426017599263,21.91787609646031,0.05002663680650516,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745473292708085814,14.477379,3.0807843,2.3193333,226.5558973180204,-37.61131135465476,2025070200082,45,60858.97645685562,i,226.5558573977061,-37.611317851512474,21.953407287597656,6499.57,293.48,False,6318.96,0.45363,6534.45,293.794,False,-23.9843,13.1794,21.867788465758387,0.04902507118445656,21.898385991159184,7.794360432606229e-05,21.861977369553237,0.04881555140804547,nan,nan
2019 GW120,nan,MBO,MBO,21164745331781719,745473292831293792,14.477469,3.0807843,2.3193376,226.55587760646893,-37.61127684207165,2025070200083,24,60858.976907764765,i,226.5558548817233,-37.611287239367826,23.934839248657227,7221.58,297.85,False,6912.44,0.264451,7250.43,297.268,False,5.9657,15.7834,21.753419421542322,0.044780578725920644,21.800921572574048,4.153728992730209e-05,21.749090563770537,0.04451523952685373,29.460846447781215,2.872522575841427
2019 GW120,nan,MBO,MBO,21164745331781719,745473292981764127,14.477557,3.0807846,2.3193417,226.5558585044646,-37.61124339708479,2025070200084,55,60858.9773442424,i,226.55585880252517,-37.611251033651186,20.63278579711914,6313.6,294.311,False,5787.86,3.42863,6219.44,293.115,False,-8.98707,21.7758,21.89930732427602,0.05061202931011829,21.993704981607294,0.0006431717310016072,21.915621804071943,0.05116948793669505,nan,nan
