provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2020 BP152,nan,MBO,MBO,21165806105014864,745306290618630186,7.709955,2.7717688,1.8043519,228.28797235550056,-38.54476280800956,2025052501003,166,60821.28609988717,g,228.2879737281641,-38.544788453361505,18.241390228271484,3193.94,174.527,False,3201.21,0.223391,3256.37,169.425,False,299.261,6.00511,22.63918313639951,0.05932806447974681,22.63671460104533,7.576625576861635e-05,22.61816559828,0.05648954301405605,25.209874742536968,0.02178688638729097
2020 BP152,nan,MBO,MBO,21165806105014864,745306291020759565,7.7101727,2.7717702,1.8043561,228.28758984349,-38.54464499538907,2025052501006,165,60821.287567510604,g,228.28756613060332,-38.54469450719624,17.905128479003906,2969.54,164.533,False,3155.96,4.52308,3077.57,161.362,False,57.798,8.57557,22.718277036611717,0.06015727614259645,22.652171288097456,0.0015560626988204774,22.67948012628778,0.05692691345787372,26.99521796701947,0.16109219846703846
2020 BP152,nan,MBO,MBO,21165806105014864,745306292965343510,7.7112613,2.7717779,1.8043773,228.28567625848763,-38.54405442196359,2025052501021,34,60821.29491702103,g,228.28565551950138,-38.54408109523339,17.5704402923584,3064.93,173.89,False,3258.96,0.868427,3509.46,169.078,False,208.351,6.46577,22.683948623948474,0.06159966857110119,22.61730243793711,0.000289320096946076,22.536899270109828,0.05230836403670601,25.603011037726404,0.03369372068485383
2020 BP152,nan,MBO,MBO,21165806105014864,745306293366948262,7.7114778,2.7717795,1.8043815,228.28529568370652,-38.543936731986655,2025052501024,32,60821.29638096117,g,228.28528108443467,-38.54395309770244,16.171947479248047,3149.81,194.061,False,3087.32,2.67444,3780.56,190.829,False,424.513,4.96232,22.654289086154378,0.06689262360220193,22.67604586011671,0.0009405361835720675,22.45610964568495,0.05480403572686595,24.83027251293836,0.012691649762288747
2020 BP152,nan,MBO,MBO,21165806105014864,745306294170157703,7.711911,2.7717826,1.80439,228.284534338905,-38.54370105742941,2025052501030,28,60821.299308234506,g,228.28452596086515,-38.543764923307585,17.465255737304688,3083.4,176.362,False,3112.82,1.85649,3296.48,170.361,False,150.163,6.32052,22.677425364214976,0.062101126703629675,22.66711495574398,0.0006475345120695441,22.604873893459388,0.05611048708242303,25.958592700197357,0.04569979003599286
2020 BP152,nan,MBO,MBO,21165806105014864,745315055950626883,8.016705,2.7737434,1.809966,227.8160232579453,-38.39507284378717,2025052700774,118,60823.17480608987,i,227.8160339980063,-38.3951168566488,15.56373405456543,5736.47,368.66,False,6203.14,9.75837,5048.29,368.387,False,-72.7728,6.19546,22.003388142591326,0.06977592460717051,21.918471018667383,0.0017080084938649422,22.142139253889866,0.07922902468170345,nan,nan
2020 BP152,nan,MBO,MBO,21165806105014864,745315058592514371,8.018524,2.773754,1.8099986,227.81346033910137,-38.39424204442104,2025052700794,37,60823.18484059785,i,227.81344529877447,-38.3942781333762,17.680288314819336,5368.24,302.76,False,5468.67,5.64763,6055.26,298.694,False,750.548,6.77259,22.075420143177716,0.061233754378306984,22.055295722480565,0.0011212665388065234,21.94466805311997,0.05355722178099221,24.21155385809163,0.00979717032811501
2020 BP152,nan,MBO,MBO,21165806105014864,745315058995691765,8.018794,2.7737556,1.8100035,227.81308016207777,-38.39411849405511,2025052700797,38,60823.18632997041,i,227.81306401822383,-38.39415704636714,19.978565216064453,5691.38,282.62,False,5716.25,2.41507,6822.32,279.88,False,1145.76,6.95685,22.011956063872738,0.053915002548671945,22.007221964028155,0.00045871489137462476,21.815169812791492,0.04454142610119419,23.752265849790117,0.006592396233085978
2020 BP152,nan,MBO,MBO,21165806105014864,745315059246301282,8.018972,2.7737565,1.8100067,227.8128286911813,-38.39403672608415,2025052700799,4,60823.187314538976,i,227.8128195056353,-38.394077296347355,17.908035278320312,5398.11,301.118,False,5460.2,1.66335,7955.3,298.747,False,2385.45,7.03929,22.06939570212971,0.06056466712295281,22.056978584572576,0.000330749649549007,21.648358622046025,0.04077287493860408,22.956074227219666,0.0032039288655745873
2020 BP152,nan,MBO,MBO,21165806105014864,745315059785269444,8.019334,2.7737586,1.8100132,227.81232019002803,-38.39387127343431,2025052700803,8,60823.18930601212,i,227.81230960044866,-38.3939250265887,15.73550033569336,4906.22,311.494,False,5036.96,9.19596,9218.16,307.608,False,4658.12,6.7618,22.173132406149044,0.06893296378200914,22.144578753396228,0.001982224761690635,21.48838937679166,0.03623078126954677,22.229473291672136,0.0015760716084736515
2020 BP152,nan,MBO,MBO,21165806105014864,745315060118716750,8.019576,2.77376,1.8100176,227.81197817044085,-38.39375990709831,2025052700805,132,60823.19064699408,i,227.8119289110662,-38.39380961022315,15.506046295166016,4842.38,311.075,False,5023.28,1.2685,7378.02,307.713,False,2858.21,6.81636,22.18735285831289,0.06974781229939052,22.14753157990198,0.00027417472299808335,21.730150426730695,0.045282495530518344,22.759764678954188,0.002589302022710248
2020 BP152,nan,MBO,MBO,21165806105014864,745315060252934201,8.019665,2.7737606,1.8100193,227.81185285753384,-38.39371908685399,2025052700806,132,60823.19113763813,i,227.81179795254502,-38.393748879015185,16.57529067993164,5123.59,308.106,False,5326.68,7.35736,6861.99,307.414,False,1790.13,6.9188,22.126064109752864,0.06529051617833653,22.083858445790483,0.001499649263000421,21.808874760861396,0.04864048181939008,23.267788570101928,0.004196338533864078
2020 BP152,nan,MBO,MBO,21165806105014864,745319428203741675,8.218585,2.7748847,1.8136469,227.5485323228761,-38.30381859215742,2025052800582,73,60824.26899681099,g,227.54850663194736,-38.30387631057373,15.541744232177734,2729.16,173.563,False,2840.94,9.02574,2726.73,172.437,False,-7.12978,4.05451,22.80992754144819,0.06904822099791698,22.766344868342745,0.0034494120031881405,22.810894666879125,0.06866139714506822,nan,nan
2020 BP152,nan,MBO,MBO,21165806105014864,745319428341629353,8.218679,2.7748852,1.8136487,227.54841067245556,-38.30377548494382,2025052800583,80,60824.269487192854,g,227.54842087293355,-38.30381186261281,14.587510108947754,2536.54,172.253,False,2709.59,0.605491,2390.24,171.319,False,-5.64698,3.77983,22.889395694980216,0.07373087831942779,22.81774101269617,0.0002426210091069116,22.953896229635998,0.07781948335229356,nan,nan
2020 BP152,nan,MBO,MBO,21165806105014864,745319428475847022,8.218774,2.7748857,1.8136505,227.54828928098016,-38.30373246008189,2025052800584,80,60824.26997758447,g,227.5482531145116,-38.3037638184929,14.728438377380371,2560.26,172.292,False,2719.17,6.40145,2583.21,173.475,False,-23.5885,3.69719,22.879289818095017,0.07306432532687088,22.81390913087784,0.0025560323180526616,22.86960073333678,0.07291242198480413,nan,nan
2020 BP152,nan,MBO,MBO,21165806105014864,745319428898422798,8.219058,2.774887,1.8136559,227.5479249265059,-38.30360326527329,2025052800587,118,60824.27144834303,g,227.54789407417067,-38.30366114304787,17.644805908203125,2876.05,162.567,False,2991.2,0.43401,2482.54,161.124,False,-14.566,4.10262,22.753008901650603,0.061370586763165404,22.710386387358067,0.00015753556327676143,22.912759345899502,0.07046740427776338,nan,nan
2020 BP152,nan,MBO,MBO,21165806105014864,745319429932318819,8.219812,2.7748914,1.81367,227.54695843649523,-38.30326015234056,2025052800595,42,60824.27535262045,g,227.54694624067383,-38.303311381636306,19.79608154296875,2738.75,138.079,False,2787.41,0.488765,2791.59,136.247,False,103.759,4.93562,22.80611902357809,0.05473933864636896,22.786997899820015,0.0001903809896138379,22.785370880986072,0.052990693310272625,26.359935528177452,0.051646421079930664
