provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2021 MK11,nan,MBO,MBO,21165810583155019,745187468137464404,15.232504,2.5413473,1.6981053,252.77394653617145,-41.82126675126503,2025042800443,45,60794.34329274918,r,252.77389973298574,-41.82127601442965,59.08000946044922,19093.6,323.746,False,17950.4,0.262096,37271.0,297.372,False,20333.9,10.4742,20.69778047195453,0.018409454629952936,20.76481464967798,1.5852966891002288e-05,19.971572386866697,0.008662701745434317,20.62944827061419,0.0005592738337187494
2021 MK11,nan,MBO,MBO,21165810583155019,745187468416910158,15.232236,2.5413442,1.6980942,252.77381393734936,-41.821260126832215,2025042800445,66,60794.34429107039,r,252.77377068371936,-41.821268234021545,56.92428207397461,17909.8,312.529,False,17342.4,1.353,40715.7,280.831,False,25000.4,11.9251,20.767273112441213,0.018946276704520208,20.80222697818555,8.470575587088198e-05,19.87559525645532,0.007488717695559962,20.405132589715244,0.0005178922324280306
2021 MK11,nan,MBO,MBO,21165810583155019,745187468540641997,15.232103,2.5413425,1.6980888,252.77374797388728,-41.82125681826837,2025042800446,46,60794.34478811812,r,252.77371305977275,-41.821268901980176,59.164817810058594,18981.1,318.141,False,18250.3,0.245891,45816.0,292.305,False,28726.7,11.9615,20.704196579290944,0.01819795478048842,20.746824933969354,1.4628403637646474e-05,19.747457074736815,0.0069269712192172065,20.254285682099574,0.00045208931581582155
2021 MK11,nan,MBO,MBO,21165810583155019,745187468810126265,15.231836,2.5413392,1.6980777,252.77361552447888,-41.82125014860972,2025042800448,48,60794.34578663916,r,252.7735742436956,-41.821261816294154,59.61723327636719,17873.6,298.261,False,17399.8,0.65662,47981.5,277.832,False,30213.5,14.6263,20.769469937557865,0.018117936979714994,20.798639310342224,4.09726607542032e-05,19.69731544805156,0.0062868451806545765,20.199497405399935,0.0005256029025958775
2021 MK11,nan,MBO,MBO,21165810583155019,745187469213303905,15.231439,2.5413342,1.6980612,252.7734185973324,-41.82124016718009,2025042800451,49,60794.34727013678,r,252.77338700875984,-41.82124996370609,57.664527893066406,18411.5,311.119,False,17717.5,1.04802,41056.8,278.903,False,24276.5,11.661,20.73727706931772,0.018346856546158707,20.77899389641611,6.422312758486349e-05,19.86653723660868,0.007375516245494488,20.43703481584683,0.0005215237022239769
2021 MK11,nan,MBO,MBO,21165810583155019,745187469481214031,15.231172,2.541331,1.6980501,252.7732861776244,-41.82123341177447,2025042800453,48,60794.348268700356,r,252.77324339798747,-41.82124523525232,58.46223449707031,17597.3,302.086,False,16829.5,0.135364,30020.7,259.706,False,15664.3,11.4937,20.786384856843757,0.018638409926458755,20.834821966517154,8.732855480514128e-06,20.206447991815118,0.009392592685680132,20.912722533356394,0.0007966603296698139
2021 MK11,nan,MBO,MBO,21165810583155019,745187469883867386,15.230779,2.541326,1.6980339,252.7730914190239,-41.82122341253603,2025042800456,48,60794.34973683863,r,252.77305720340323,-41.821237897830194,68.5442886352539,18516.3,267.186,False,17385.2,0.0578763,22501.4,239.579,False,5008.07,12.2838,20.731114432736653,0.01566692624342301,20.799550820819924,3.6144765204703797e-06,20.519476131055455,0.011560151101043005,22.150824061683807,0.00266309516360188
2021 MK11,nan,MBO,MBO,21165810583155019,745187470170652906,15.230513,2.541323,1.698023,252.7729595618893,-41.82121659982916,2025042800458,83,60794.35073060077,r,252.77291925797033,-41.821231298693576,68.71015930175781,18730.1,270.6,False,17567.6,0.263162,19611.6,241.884,False,2326.33,11.4685,20.718649782444594,0.015685993655223354,20.788218938268052,1.6264287861015517e-05,20.66871745474021,0.013391167691490532,22.983321660242154,0.0053525361385551055
2021 MK11,nan,MBO,MBO,21165810583155019,745187470451672218,15.230251,2.5413196,1.6980121,252.77283023819268,-41.821209884385496,2025042800460,107,60794.35170598488,r,252.77279653729906,-41.821219672833344,67.14742279052734,19141.2,283.142,False,17622.5,0.108211,17345.4,247.904,False,467.869,10.6344,20.695077141610767,0.01606051507634827,20.784831201900218,6.666965752596214e-06,20.80203917679434,0.015517563711264773,24.72468935095794,0.024678176563028013
2021 MK11,nan,MBO,MBO,21165810583155019,745187470576976359,15.230118,2.541318,1.6980066,252.77276392350572,-41.82120642792944,2025042800461,90,60794.3522058767,r,252.77272664875392,-41.821210861555144,67.82610321044922,18508.9,271.257,False,17837.6,0.378745,16950.7,248.395,False,-27.6844,10.2908,20.731548454531733,0.015911995149363492,20.771658971668558,2.3053390401238356e-05,20.827030955955856,0.01591034362295463,nan,nan
