provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2021 NU64,nan,MBO,MBO,21165810600260693,745200689656365400,15.266049,2.8368042,2.0600421,269.56546237545285,-23.18397495847337,2025050100647,43,60797.28074399984,g,269.5654613191972,-23.184035170113255,7.109907627105713,1214.81,164.757,False,1325.66,6.21116,2646.68,164.496,False,1495.68,4.51948,23.688729051981408,0.1472515334644401,23.5939195914307,0.005087036879977323,22.84324643908416,0.06748049244202864,23.46290324507015,0.0032807573374491893
2021 NU64,nan,MBO,MBO,21165810600260693,745200690327453749,15.265442,2.8368018,2.0600147,269.56533521257825,-23.183939185611827,2025050100652,43,60797.28320126145,g,269.5653187128257,-23.183999577936234,7.077486515045166,1044.93,146.385,False,1168.46,7.81926,1836.74,146.4,False,907.601,5.71553,23.85228194925087,0.15210155723337873,23.730965411948805,0.007265677978661128,23.239880795678914,0.08654016060787102,24.005262569925556,0.006837319121440565
2021 NU64,nan,MBO,MBO,21165810600260693,745200690728534300,15.265073,2.8368003,2.059998,269.5652580358063,-23.183917446578597,2025050100655,40,60797.284691791996,g,269.5652066439471,-23.183989002836707,7.023381233215332,921.979,129.94,False,1064.37,21.3875,1600.52,131.243,False,611.166,6.96806,23.988197422397064,0.15301928189173822,23.832268442072355,0.021816834384793815,23.38934722317235,0.08903060934794392,24.43460200763227,0.012378756088471738
2021 NU64,nan,MBO,MBO,21165810600260693,745200690996969787,15.264823,2.8367994,2.0599866,269.56520559193655,-23.18390266199196,2025050100657,40,60797.28570343807,g,269.5651916838769,-23.18392854055073,5.827709674835205,853.943,146.97,False,942.116,21.7543,1688.84,148.009,False,718.174,5.71103,24.071427801558045,0.1868633534276293,23.964739019174587,0.025070617114591933,23.331028755370948,0.09515332186480202,24.259425787162343,0.008633941005180865
2021 NU64,nan,MBO,MBO,21165810600260693,745200691399098494,15.264454,2.836798,2.05997,269.5651283397417,-23.1838808652954,2025050100660,39,60797.28719301775,g,269.56510173739133,-23.18390175246819,8.459643363952637,1068.05,126.83,False,980.928,2.95886,1480.14,125.285,False,389.237,8.92915,23.828520989475116,0.12893021725770812,23.92090719531536,0.0032750022538431387,23.474243000848674,0.09190107898104218,24.924464709806543,0.024906935981528888
2021 NU64,nan,MBO,MBO,21165810600260693,745200691667009901,15.264204,2.836797,2.0599587,269.5650760011215,-23.1838660854138,2025050100662,38,60797.28820217203,g,269.56507441042464,-23.18391075976462,8.467120170593262,1125.3,132.667,False,1087.72,5.61301,1538.36,130.791,False,402.072,6.54276,23.77182915571263,0.12800263655134064,23.808707244204292,0.005602773013679263,23.432355062899994,0.09230903410535381,24.889240448878148,0.017667759647500957
2021 NU64,nan,MBO,MBO,21165810600260693,745200692069662820,15.263835,2.8367958,2.059942,269.5649984684561,-23.18384417213731,2025050100665,38,60797.28969674934,g,269.5649487925262,-23.183889593476184,6.5570387840271,992.255,154.568,False,993.603,28.792,1752.02,154.023,False,701.625,5.09334,23.908441754641046,0.16912997712200972,23.906967734855424,0.031461776734076755,23.29115233913805,0.09544887624983905,24.284737361930677,0.007881736760137663
2021 NU64,nan,MBO,MBO,21165810600260693,745200692345438292,15.263578,2.8367946,2.0599303,269.5649446791698,-23.18382895614654,2025050100667,52,60797.29073289838,g,269.5649335764357,-23.183857734426347,7.906737804412842,1151.02,144.647,False,1099.96,3.97464,1707.95,143.214,False,510.227,6.02015,23.74729280670236,0.13644288160995396,23.796557807696207,0.003923243195661406,23.318812149469327,0.09104050714447487,24.630591430036013,0.012810563033500586
2021 NU64,nan,MBO,MBO,21165810600260693,745200692746518868,15.263203,2.8367932,2.0599134,269.56486577612867,-23.18380661587917,2025050100670,49,60797.292251945415,g,269.56481771158917,-23.183869487694427,5.753601551055908,958.16,164.638,False,1076.81,5.93512,1826.15,164.005,False,791.672,4.66234,23.946404939062944,0.18655907449616446,23.819652240779075,0.005984318893537235,23.246158866430967,0.09750905959653428,24.15363679150611,0.006394152545354664
2021 NU64,nan,MBO,MBO,21165810600260693,745200693411840117,15.262573,2.8367908,2.059885,269.5647336921131,-23.183769163978365,2025050100675,38,60797.29479243902,g,269.5647326901221,-23.18380289891583,5.217880725860596,826.927,154.544,False,784.564,7.06443,1688.94,155.726,False,673.849,5.21397,24.106332066651287,0.2029127390007904,24.163429022954585,0.009776267354990174,23.330964484094395,0.10010856503770768,24.328593531057958,0.008400986286032077
2021 NU64,nan,MBO,MBO,21165810600260693,745200694085550162,15.261935,2.8367884,2.0598562,269.56459956830145,-23.1837310629326,2025050100680,43,60797.29737012891,g,269.5645803236182,-23.18378854411323,7.988609313964844,1022.73,125.958,False,1041.84,4.71113,1675.59,126.447,False,587.497,7.13792,23.87559753221891,0.1337177590267262,23.855497466744026,0.004909625977632143,23.33958062262999,0.08193417671349788,24.477485849694403,0.013191383007494908
2021 NU64,nan,MBO,MBO,21165810600260693,745200694352413080,15.261679,2.8367875,2.0598447,269.5645456891218,-23.1837157368528,2025050100682,40,60797.29840548485,g,269.5646441352014,-23.183692871446897,6.924009323120117,1115.46,164.01,False,1100.72,34.8387,1703.29,162.362,False,712.507,4.71742,23.781365034889134,0.15963960627380255,23.795807884784246,0.03436445073023367,23.32177848338294,0.10349517528078864,24.268027132450857,0.007188523986429042
2021 NU64,nan,MBO,MBO,21165810600260693,745200694755066024,15.261311,2.836786,2.059828,269.56446819678285,-23.183693673135004,2025050100685,40,60797.29989384275,g,269.56445299294256,-23.183763802323934,6.493977069854736,925.491,142.667,False,939.081,1.06828,1728.25,143.79,False,652.412,6.56822,23.984069467890677,0.16736924567684353,23.96824237295732,0.001235112051778092,23.305983586113822,0.09033299672656313,24.363695169767436,0.0109307531805275
2021 NU64,nan,MBO,MBO,21165810600260693,745200695424582088,15.260667,2.8367836,2.0597992,269.56433275970585,-23.18365505156193,2025050100690,37,60797.30249235105,g,269.5643056954202,-23.18367261792438,7.20157527923584,858.963,116.471,False,870.57,9.14901,1069.33,114.75,False,354.384,17.4385,24.06506384166802,0.14722028814317425,24.050490747833884,0.011410238108808701,23.82722066685814,0.11651055765394051,25.026314727277082,0.05342681968368126
2021 NU64,nan,MBO,MBO,21165810600260693,745200695697211597,15.260404,2.8367827,2.0597873,269.564277387047,-23.183639239170745,2025050100692,45,60797.30355416398,g,269.5642798626297,-23.183675965472958,6.5046234130859375,849.256,130.918,False,875.572,1.78188,1371.93,129.767,False,404.62,5.7868,24.077403464104666,0.16737287080086471,24.04427031142485,0.0022095859666215307,23.556670075184194,0.10269672848571312,24.882381648732036,0.015527997245030331
2021 NU64,nan,MBO,MBO,21165810600260693,745200696096194584,15.260025,2.8367813,2.05977,269.564197582691,-23.183616427033986,2025050100695,38,60797.30508495514,g,269.564189744715,-23.18358153377517,6.894060134887695,882.82,129.013,False,951.347,12.0849,963.245,126.887,False,251.565,7.00297,24.035319582489013,0.15866664139065267,23.954152634767823,0.013792037567384756,23.940658097102315,0.14302260757964452,25.39837444447176,0.03022430876095885
2021 NU64,nan,MBO,MBO,21165810600260693,745200696371970163,15.259748,2.83678,2.0597577,269.56413924611275,-23.183599734172187,2025050100697,52,60797.306202946434,g,269.5641535696895,-23.183632343532743,7.710035800933838,951.475,121.17,False,947.796,0.397602,1233.14,120.73,False,220.522,7.96024,23.95400657363908,0.13826811773108766,23.958212797740853,0.0004554681264114712,23.672469023561504,0.10629850145813642,25.541370177846005,0.03919210110440039
2021 NU64,nan,MBO,MBO,21165810600260693,745200697035719048,15.259093,2.8367777,2.0597281,269.5640012642748,-23.183560192097456,2025050100702,38,60797.30884537083,g,269.5640170255061,-23.183512996429137,6.006821155548096,862.146,143.735,False,952.591,5.14037,1164.38,142.47,False,237.278,5.91565,24.061047960933998,0.1810114467394925,23.952733811061652,0.005858847792702595,23.734763152542914,0.1328473846756071,25.46185631790529,0.02706881912578299
2021 NU64,nan,MBO,MBO,21165810600260693,745200697438371876,15.25871,2.8367763,2.059711,269.5639204556876,-23.183536995465587,2025050100705,38,60797.31039287135,g,269.56395245814997,-23.183567123741337,6.898015022277832,909.606,129.789,False,1262.7,18.0577,1028.02,129.763,False,193.194,6.84138,24.00286668741144,0.154920498623503,23.64674959081579,0.015526964883198721,23.869996069657073,0.13704829185370843,25.685015912468526,0.038448057789970354
2021 NU64,nan,MBO,MBO,21165810600260693,745205073341579596,15.042379,2.8359368,2.0499086,269.52169571772845,-23.169683896477032,2025050200540,43,60798.198914899374,r,269.5216834045223,-23.169731614478057,6.795761585235596,1649.55,236.485,False,1864.74,4.32231,267.513,220.304,False,-834.36,14.7261,23.35658625758648,0.1556547661147444,23.223454288564017,0.00251664492000049,25.33163776865708,0.8941323574712255,nan,nan
2021 NU64,nan,MBO,MBO,21165810600260693,745205073742136655,15.042009,2.8359354,2.0498922,269.5216133213332,-23.16966381795137,2025050200543,39,60798.200385421536,r,269.5214869324857,-23.169721079193636,5.151197910308838,1364.14,255.635,False,1602.4,17.4147,-136.484,222.535,False,-233.481,16.5017,23.5628526290587,0.2034631091814628,23.388072642743992,0.011799656461037738,nan,nan,nan,nan
2021 NU64,nan,MBO,MBO,21165810600260693,745205074010572351,15.041747,2.8359344,2.0498805,269.5215548471062,-23.16964956683084,2025050200545,39,60798.201428851826,r,269.52155539180336,-23.169724556916098,6.807234764099121,1866.26,276.075,False,2135.9,15.7291,814.155,244.407,False,-350.858,15.62,23.222569624758965,0.16061247329618336,23.07604776028659,0.007995530860959431,24.123232225008223,0.32593488528506187,nan,nan
2021 NU64,nan,MBO,MBO,21165810600260693,745205074413224571,15.0413685,2.835933,2.0498638,269.52147028409206,-23.169628954211205,2025050200548,39,60798.202935686815,r,269.5214748211429,-23.169702703076382,6.249793529510498,1499.85,236.514,False,1958.56,10.3643,2561.7,223.986,False,-148.971,17.9055,23.45988044908357,0.1712116712533776,23.170157766039665,0.005745494222864113,22.87867935000444,0.09493293749350427,nan,nan
2021 NU64,nan,MBO,MBO,21165810600260693,745205074681136254,15.041116,2.835932,2.0498526,269.5214138408413,-23.169615193606877,2025050200550,38,60798.2039408542,r,269.52145551339976,-23.16966017392577,8.31743049621582,1970.38,230.7,False,2059.87,11.9034,1516.72,210.774,False,-141.523,16.5552,23.16362502075267,0.12712235127416127,23.115400406804152,0.006274159078832472,23.447736487064994,0.1508814873511002,nan,nan
2021 NU64,nan,MBO,MBO,21165810600260693,745205075083264383,15.040735,2.8359306,2.049836,269.5213289058065,-23.169594483062824,2025050200553,37,60798.20545123017,r,269.52134723721,-23.169629803680134,5.546221733093262,1378.15,243.208,False,1401.48,15.2375,620.445,209.372,False,118.17,17.1278,23.551758757180018,0.19160448291134177,23.53353275391737,0.01180459646776855,24.418241764559106,0.366386628121512,26.218731928001567,0.15736881478170076
2021 NU64,nan,MBO,MBO,21165810600260693,745205075760120946,15.040079,2.8359282,2.0498068,269.52118204457537,-23.169558660681577,2025050200558,48,60798.20806020977,r,269.5211875977002,-23.16963720459478,7.2508649826049805,1875.87,254.805,False,1750.84,14.4615,1930.34,226.2,False,367.183,18.9701,23.216993157908963,0.14747877327391393,23.29188387113839,0.008967909468522108,23.185915493960348,0.12722812072044423,24.98779354425686,0.05609334864265392
2021 NU64,nan,MBO,MBO,21165810600260693,745205076023313420,15.039819,2.8359272,2.0497954,269.52112365605075,-23.16954441404108,2025050200560,38,60798.20909645736,r,269.5211195403308,-23.16958626521756,7.754083156585693,1799.37,225.394,False,1837.03,4.56442,1498.53,202.863,False,311.504,14.4514,23.262198814376543,0.1360022806598953,23.239709360934803,0.0026977002068901508,23.460836374326277,0.1469811792601494,25.166340938222092,0.050369844645343255
2021 NU64,nan,MBO,MBO,21165810600260693,745205076425441748,15.039443,2.8359258,2.0497787,269.5210395528835,-23.169523888212293,2025050200563,37,60798.2105870055,r,269.52104808236106,-23.169548974369704,7.122598171234131,1601.53,223.952,False,1566.87,9.46685,1078.43,194.766,False,97.5438,21.1082,23.38866228434295,0.15182530803279123,23.41241758978808,0.006559894647851064,23.81802004428137,0.1960855077737097,26.42700082022536,0.2349502167603061
2021 NU64,nan,MBO,MBO,21165810600260693,745205076717469833,15.039161,2.8359246,2.0497663,269.5209763220103,-23.16950845237785,2025050200565,82,60798.211707410024,r,269.5210346487885,-23.169561689312935,6.932740211486816,1598.16,240.248,False,1974.66,15.0081,515.441,211.404,False,181.487,18.0772,23.39094933526909,0.16321641596265102,23.16126915894024,0.008251970855985549,24.61955264195697,0.44530604576457067,25.75288619850548,0.10814587548352102
