provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2021 PL83,nan,MBO,MBO,21165810633945932,745297388308005571,6.1238947,3.693298,2.7393458,228.1341577036109,-40.95263971975096,2025052300212,68,60819.08126372041,i,228.1341649141311,-40.9526156196533,11.832440376281738,3326.21,275.363,False,3126.0,1.83859,3842.15,249.957,False,427.058,93.5876,22.5951258505103,0.0898835579289467,22.66252756579208,0.0006385872542638404,22.438564237616887,0.0706342470298714,24.823782810024092,0.2379335900370537
2021 PL83,nan,MBO,MBO,21165810633945932,745297390232667268,6.1243954,3.69329,2.739345,228.1325286840973,-40.95214568304656,2025052300226,155,60819.08813322199,i,228.13226060953716,-40.95205345088422,12.534029960632324,576.686,246.386,False,3021.01,0.24415,1693.77,210.797,False,999.709,80.272,24.497651527905422,0.46387499310384506,22.699619589350085,8.774631370938082e-05,23.327863896508305,0.13512456173765033,23.900316012184682,0.0871795906973587
2021 PL83,nan,MBO,MBO,21165810633945932,745297390772160235,6.1245384,3.6932876,2.7393448,228.132062366754,-40.95200412554864,2025052300230,160,60819.090099383415,i,228.13207220943448,-40.95196199146112,5.85265588760376,1502.2,250.4,False,1562.91,0.597517,3427.48,209.826,False,1866.8,171.616,23.45818064118074,0.18098012773368927,23.41516505140731,0.0004150884186436738,22.562562682992617,0.06646740187293985,23.222255491068626,0.09981235093546481
2021 PL83,nan,MBO,MBO,21165810633945932,745297392871409242,6.1255393,3.6932714,2.7393434,228.12880445013928,-40.951013346815714,2025052300246,68,60819.10382878358,z,228.12877641959426,-40.95097352549819,8.515830993652344,3826.9,430.609,False,3889.05,33.158,3569.23,402.141,False,30.969,144.765,22.442882242941682,0.12216880578741125,22.425391169522698,0.009256975778795466,22.518563669316062,0.12232863557805652,27.672682049663955,5.075288246831173
2021 PL83,nan,MBO,MBO,21165810633945932,745297394104533487,6.1258717,3.6932662,2.7393432,228.12772206871296,-40.95068345318231,2025052300255,116,60819.108387760905,z,228.12773200130536,-40.95067204304438,6.40261173248291,2579.41,395.123,False,2852.92,13.2641,3128.96,358.735,False,609.143,198.823,22.871199088993066,0.1663168498517661,22.761776045774837,0.005047920751047877,22.661499985435217,0.12447956073968713,24.43820184578738,0.3543820177111581
2021 PL83,nan,MBO,MBO,21165810633945932,745297394662900866,6.1260185,3.6932638,2.739343,228.12724478973675,-40.95053786556048,2025052300259,157,60819.110397827186,z,228.1272394305916,-40.950514593647554,5.821909427642822,2216.94,381.735,False,2452.51,18.3186,2716.93,341.851,False,598.322,237.862,23.035615180237187,0.18695296452465146,22.925973028496838,0.008109718955915453,22.814803904225993,0.13661008233015065,24.457662531198636,0.4316327585024009
2021 PL83,nan,MBO,MBO,21165810633945932,745297397188396004,6.1276045,3.693238,2.7393415,228.1220796477832,-40.948957339564,2025052300278,110,60819.13214026288,r,228.12208835881202,-40.94892040015461,14.948111534118652,2260.17,150.478,False,2234.18,1.46533,3359.73,138.235,False,1058.96,78.1473,23.01464727231008,0.07228633900150162,23.027204633812115,0.0007121010333506566,22.584239063002087,0.04467226408072254,23.83780115042211,0.08012328777845643
2021 PL83,nan,MBO,MBO,21165810633945932,745297397748859300,6.127758,3.6932356,2.7393415,228.1215796720181,-40.9488038423979,2025052300282,155,60819.13424434215,r,228.12180421862786,-40.94885108041311,11.956809043884277,355.688,140.254,False,2498.76,4.26756,1144.86,125.272,False,771.941,108.135,25.022327002141353,0.4281247843435347,22.90568863283262,0.0018542974857537402,23.753119059090555,0.11880260558380329,24.18103975911143,0.15209205109489202
2021 PL83,nan,MBO,MBO,21165810633945932,745297400093475948,6.12863,3.6932213,2.739341,228.11873755248303,-40.94792949236388,2025052300300,19,60819.146203793265,g,228.11872815024566,-40.94791917660454,16.081119537353516,1825.26,113.461,False,1722.08,1.46314,1941.89,104.245,False,7.42553,40.5907,23.246688153000626,0.06749104964691931,23.309866720377794,0.0009224798632648072,23.179438428582834,0.05828474980214854,29.22318136374464,5.935036410093836
2021 PL83,nan,MBO,MBO,21165810633945932,745297401865568940,6.1291165,3.6932135,2.7393408,228.1171515742244,-40.94744021669673,2025052300313,71,60819.15287667574,g,228.11712751673008,-40.947421544720015,17.911548614501953,2103.49,115.71,False,1923.64,0.124245,2018.92,96.9067,False,-179.268,73.9378,23.09264887574014,0.05972480774417375,23.18969049379041,7.012606144831151e-05,23.137202200611355,0.05211455160642033,nan,nan
