provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2021 QP8,nan,MBO,MBO,21165810650200144,745200689642209570,14.822415,2.950811,2.184841,270.28916408626054,-22.23040717607619,2025050100647,16,60797.28074399984,g,270.28912574183045,-22.230443899772283,8.860461235046387,1476.8,171.312,False,1696.34,30.522,4442.11,168.106,False,2947.24,4.71432,23.476695754897207,0.12594774560955024,23.32621776450853,0.019535494307467774,22.281026761459643,0.04108830693137804,22.726461246572278,0.0017367123546939923
2021 QP8,nan,MBO,MBO,21165810650200144,745200690312250062,14.821854,2.9508066,2.1848109,270.2890509293445,-22.23043546908278,2025050100652,14,60797.28320126145,g,270.28904683750557,-22.230421279801327,9.008399963378906,1468.96,162.949,False,1412.22,2.35074,3270.27,159.217,False,1868.51,6.41798,23.482475103752545,0.1204387043216207,23.525244128214055,0.0018072846518546902,22.613540967622214,0.05286036171681115,23.22126142813991,0.0037292995069478515
2021 QP8,nan,MBO,MBO,21165810650200144,745200690714903103,14.821512,2.9508038,2.1847925,270.288982248363,-22.230452587109745,2025050100655,14,60797.284691791996,g,270.2890122841597,-22.23044431413738,9.682929039001465,1474.08,148.864,False,1522.83,14.7262,2430.11,139.599,False,1215.03,6.77967,23.478697397821357,0.10964604192484377,23.44337147158453,0.010499378835827626,22.93593512056966,0.062370707781854516,23.688532471014444,0.006058231269226649
2021 QP8,nan,MBO,MBO,21165810650200144,745200691385991757,14.82094,2.9507995,2.184762,270.2888668218341,-22.23048126383018,2025050100660,14,60797.28719301775,g,270.2889143836939,-22.230463657211157,10.205217361450195,1435.95,140.925,False,1347.92,3.22885,3345.61,137.212,False,1840.5,8.23071,23.507151741997298,0.10655481261312374,23.575839671399407,0.002600806508303487,22.58881168119367,0.04452881161897749,23.237660445543284,0.004855408785658681
2021 QP8,nan,MBO,MBO,21165810650200144,745200691658096731,14.820709,2.9507976,2.1847496,270.2888202389668,-22.23049280438069,2025050100662,21,60797.28820217203,g,270.2888208426498,-22.230517867522007,7.475832939147949,1137.42,152.163,False,1121.24,8.48892,5146.0,150.123,False,4070.35,6.06655,23.760197806883305,0.14524877850305518,23.775753552635248,0.00822012066419342,22.12132554531418,0.031673917112267795,22.37592058692392,0.0016182079118250707
2021 QP8,nan,MBO,MBO,21165810650200144,745200692059177476,14.820367,2.950795,2.1847312,270.28875122987256,-22.23050986662162,2025050100665,18,60797.28969674934,g,270.28882510622907,-22.230451509541112,8.066812515258789,1489.82,182.177,False,1586.9,1.78205,6475.05,180.434,False,4729.69,5.568,23.467165538798447,0.13276514869295677,23.398626082944283,0.0012192552704174682,21.871892216835782,0.030255169999882724,22.212918322124814,0.0012781766012217963
2021 QP8,nan,MBO,MBO,21165810650200144,745200692347535411,14.820129,2.9507933,2.1847184,270.2887033519749,-22.230521680322592,2025050100667,56,60797.29073289838,g,270.2887309526811,-22.23047428715795,7.912832736968994,1197.68,149.26,False,1256.61,2.01203,5234.69,145.674,False,4560.65,5.46464,23.704147957925514,0.1353090747866659,23.651998733972103,0.0017384341347098232,22.102772592854066,0.03021449852591525,22.25243316258772,0.0013009456488871519
2021 QP8,nan,MBO,MBO,21165810650200144,745200692734460433,14.819782,2.9507904,2.1846998,270.28863311744635,-22.230538975120695,2025050100670,26,60797.292251945415,g,270.288672723717,-22.230489463020945,6.38041353225708,1238.68,190.452,False,1200.19,35.9611,9155.77,186.786,False,7851.43,4.98124,23.667602139329297,0.16693626941265086,23.701875043262554,0.0325317423094786,21.49576286976823,0.02215000248159661,21.662628068048733,0.0006888314956222406
2021 QP8,nan,MBO,MBO,21165810650200144,745200693002371112,14.81955,2.9507887,2.1846874,270.28858602482194,-22.23055054793724,2025050100672,25,60797.2932699156,g,270.2886138384893,-22.230641292823297,6.357367992401123,1435.23,232.894,False,1483.96,76.4571,18160.7,231.261,False,16247.9,4.45492,23.507696255607552,0.17618183013430566,23.471444541743704,0.05593967739910854,20.75216858598573,0.013825923723922686,20.873006880201885,0.000297691862715977
2021 QP8,nan,MBO,MBO,21165810650200144,745200694071918896,14.81861,2.9507813,2.184637,270.288396131495,-22.23059702389605,2025050100680,17,60797.29737012891,g,270.2883557649635,-22.23054595381154,7.173482894897461,1026.38,140.918,False,1035.82,8.95113,3894.02,138.55,False,2911.25,6.90433,23.871729542824156,0.14906737561041825,23.861789325591438,0.009382485687028697,22.424004550151416,0.038630709068812365,22.739801246143156,0.002574935442927333
2021 QP8,nan,MBO,MBO,21165810650200144,745200694741434868,14.818032,2.950777,2.184606,270.28827916721986,-22.2306255007218,2025050100685,14,60797.29989384275,g,270.2882547867747,-22.230574812906134,6.134134769439697,1032.25,166.212,False,973.86,4.59896,4836.73,159.198,False,3692.51,6.0266,23.86553777113315,0.1748243082217694,23.928758695997075,0.0051272845866059125,22.188620393098905,0.035736340648016646,22.48169579679014,0.001772046025164686
2021 QP8,nan,MBO,MBO,21165810650200144,745200695412523638,14.817437,2.9507723,2.1845744,270.2881585741848,-22.230654742583518,2025050100690,14,60797.30249235105,g,270.28817904084826,-22.230665625123557,8.518470764160156,1115.6,129.347,False,1021.15,0.830058,2536.69,124.315,False,1452.83,22.5399,23.781228759775484,0.1258844783818012,23.87727611983471,0.0008825578787643236,22.889331532936524,0.05320843384998233,23.49446303491691,0.016844631535008453
2021 QP8,nan,MBO,MBO,21165810650200144,745200695685153081,14.817194,2.9507706,2.1845613,270.2881092678288,-22.23066666418248,2025050100692,22,60797.30355416398,g,270.2881382932594,-22.23069041305863,7.754456996917725,1162.87,149.688,False,1123.73,0.325078,3296.0,148.796,False,2065.05,6.3404,23.736172087983583,0.13975911799582155,23.773345080637103,0.000314086988484113,22.605031992437304,0.04901493022519581,23.112673545652747,0.0033335763819824665
2021 QP8,nan,MBO,MBO,21165810650200144,745200696087806052,14.816843,2.9507678,2.1845427,270.28803820376095,-22.230683811581997,2025050100695,22,60797.30508495514,g,270.28806528570175,-22.230664135570958,8.25781536102295,1215.96,148.563,False,1258.18,1.75018,2452.89,145.083,False,1229.37,6.70964,23.687701813131458,0.132652584634998,23.650643010228386,0.0015103035466052044,22.925804865846644,0.06421888654148016,23.675793476968387,0.005925717339903451
2021 QP8,nan,MBO,MBO,21165810650200144,745200696377737768,14.8165865,2.9507658,2.1845288,270.2879862543648,-22.230696320735152,2025050100697,63,60797.306202946434,g,270.28799381402047,-22.23066602871475,8.90567684173584,1176.08,132.143,False,1103.49,1.47579,1932.04,126.605,False,779.356,7.36982,23.723907879125584,0.121992084295222,23.793079004932054,0.0014520463924862852,23.184959694071857,0.07114740536891151,24.170660266726635,0.010267041427954718
2021 QP8,nan,MBO,MBO,21165810650200144,745200696780390688,14.816231,2.950763,2.18451,270.28791392312667,-22.230713701374288,2025050100700,63,60797.30775836383,g,270.2878837303116,-22.230711074241302,6.843551158905029,1114.71,159.877,False,1152.21,4.88765,2472.12,154.925,False,1357.1,5.31804,23.782095295104988,0.15572144512757488,23.746170936466033,0.00460566976087433,22.917326078128415,0.06804187372049093,23.568470393293623,0.004254652240255067
2021 QP8,nan,MBO,MBO,21165810650200144,745200697028903209,14.815981,2.950761,2.1844966,270.2878633735934,-22.23072582302423,2025050100702,25,60797.30884537083,g,270.28790571570465,-22.23084273606892,7.076968669891357,1089.12,152.126,False,1373.87,13.6768,2279.79,150.725,False,1107.48,6.00696,23.807310671716333,0.15165336630731902,23.55513590304283,0.010808443835894006,23.005262870520085,0.07178187170090121,23.789160289061407,0.005889021901471107
2021 QP8,nan,MBO,MBO,21165810650200144,745200697431556114,14.815627,2.9507585,2.1844776,270.2877914048225,-22.23074304562027,2025050100705,25,60797.31039287135,g,270.28782912736995,-22.23075738493378,8.414647102355957,1273.09,145.615,False,1186.18,4.39113,2450.96,142.811,False,875.955,7.75981,23.63785226211734,0.12418563311675392,23.71462345787209,0.004019296036811494,22.926659458391565,0.0632629992514354,24.043795488949844,0.00961819552719913
2021 QP8,nan,MBO,MBO,21165810650200144,745205072656335753,14.616095,2.9491904,2.1737454,270.2504497936104,-22.24024523398849,2025050200535,16,60798.19634901412,r,270.25050152861684,-22.240266520769964,7.885274410247803,2313.02,289.517,False,2558.42,15.8048,791.269,267.796,False,-280.902,10.6182,22.989551520824932,0.1358998557224577,22.880070429563418,0.006707203715343462,24.154189646148524,0.36745507338216926,nan,nan
