provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2021 RT213,nan,MBO,MBO,21165810668811092,745284205497286859,5.985878,3.3435895,2.3751955,226.155866834212,-37.52622817283131,2025052000296,172,60816.27380867624,i,226.1558863108846,-37.526213316165034,11.554211616516113,5535.47,463.559,False,4837.4,17.2451,5623.43,463.672,False,51.8282,36.7701,22.04211370433521,0.09092322051593951,22.188470021242413,0.0038705978058164122,22.024996732440187,0.089522846130441,27.113584657896794,0.7702877474981769
2021 RT213,nan,MBO,MBO,21165810668811092,745284205638844454,5.9859223,3.3435898,2.3751965,226.1557492796686,-37.52617814930191,2025052000297,186,60816.27435135268,i,226.15576142024443,-37.52615805847979,18.634462356567383,5557.98,290.511,False,5686.46,4.40553,5454.51,283.336,False,-73.2051,30.75,22.03770755465031,0.05675052750187082,22.01289503606967,0.0008411636464215251,22.058110690897752,0.05639886349816924,nan,nan
2021 RT213,nan,MBO,MBO,21165810668811092,745284205771489711,5.9859767,3.34359,2.3751976,226.1556040271734,-37.52611632633314,2025052000298,183,60816.275022669506,i,226.1556227795042,-37.52611431621373,11.85125732421875,5722.19,473.661,False,5798.95,2.09941,5439.95,471.938,False,-169.81,27.7623,22.006094325984563,0.0898730928912049,21.991626553010406,0.0003930720959518575,22.06101269101189,0.09419206828753621,nan,nan
2021 RT213,nan,MBO,MBO,21165810668811092,745284206297350521,5.9861403,3.3435912,2.375201,226.15516922045944,-37.52593117615192,2025052000302,162,60816.277031280464,i,226.1551648602975,-37.52591070642777,11.030539512634277,5966.58,526.772,False,5237.06,4.41302,5819.13,524.609,False,-122.322,20.9481,21.960686315717595,0.09585648644214306,22.102281113954373,0.0009148979920361518,21.987854873144993,0.09788181491994268,nan,nan
2021 RT213,nan,MBO,MBO,21165810668811092,745284207242641917,5.9864354,3.343593,2.375207,226.15438261209007,-37.52559589346106,2025052000309,173,60816.28066749245,i,226.15438351846757,-37.5255976737822,15.877408027648926,5531.15,342.99,False,5295.77,2.52452,5931.8,338.796,False,443.598,24.0572,22.042961428371232,0.06732716647388279,22.09017720838144,0.0005175758514903869,21.967033786551255,0.06201205105886897,24.78252607115104,0.05888162916177107
2021 RT213,nan,MBO,MBO,21165810668811092,745284207360082120,5.986475,3.3435931,2.3752077,226.1542772875778,-37.525550968044655,2025052000310,141,60816.281154310185,i,226.15424019713058,-37.52554335146198,9.434629440307617,5596.17,574.206,False,5222.52,11.1074,5921.76,578.324,False,436.362,23.6719,22.030272767700218,0.11140409333542603,22.105299716399152,0.0023091737726266283,21.968873037697634,0.10603389907134275,24.800382692189913,0.0588993511629687
2021 RT213,nan,MBO,MBO,21165810668811092,745284207487484151,5.98652,3.3435934,2.3752086,226.1541579148348,-37.52550004129623,2025052000311,128,60816.281706903814,i,226.15415333418503,-37.525494950041946,13.322881698608398,5615.6,416.138,False,4887.6,2.83828,5829.09,414.03,False,308.483,48.4972,22.02650956770711,0.08045731274460852,22.17726083797249,0.0006304982512883164,21.985998127122485,0.07711793291582798,25.176921904582343,0.17069065585767093
2021 RT213,nan,MBO,MBO,21165810668811092,745284207624323155,5.986561,3.3435936,2.3752096,226.15404871488371,-37.52545344593503,2025052000312,133,60816.28221123776,i,226.15404291358365,-37.52542550633407,11.772199630737305,5747.03,486.774,False,5983.78,9.2472,5723.05,479.377,False,241.538,21.9056,22.001391380101424,0.09196196309719658,21.95756099434766,0.0016778725498553457,22.0059311865977,0.09094398926534453,25.442536360482215,0.09846774883946394
2021 RT213,nan,MBO,MBO,21165810668811092,745284208165912711,5.986727,3.3435948,2.375213,226.15360508219703,-37.52526406512995,2025052000316,142,60816.28426395198,i,226.15363799664277,-37.52524532203147,10.530905723571777,6865.7,636.139,False,7586.61,47.4082,6531.26,635.008,False,16.318,16.5715,21.80828791210825,0.10059849672920315,21.699880621716922,0.006784690305838765,21.862507607113947,0.10556174396376539,28.368332625222898,1.1026031062139452
2021 RT213,nan,MBO,MBO,21165810668811092,745284208446931238,5.9868073,3.3435953,2.3752146,226.15339239589412,-37.52517322451866,2025052000318,166,60816.28524772648,i,226.15339776646027,-37.525166418274836,13.9222993850708,4844.04,347.554,False,4517.54,3.29665,4808.7,343.344,False,-70.9855,13.3894,22.186980689487182,0.0779002531412337,22.26274497396968,0.0007923100084495967,22.194930746845632,0.07752219726406002,nan,nan
2021 RT213,nan,MBO,MBO,21165810668811092,745284208568566006,5.986848,3.3435955,2.3752153,226.15328433613544,-37.525127059185415,2025052000319,142,60816.285747094415,i,226.15327105562142,-37.525128786496566,18.074491500854492,6532.27,360.123,False,6381.67,0.408489,6429.05,358.519,False,-106.381,12.1581,21.862339678650162,0.059856460728482754,21.887664156269572,6.949768475925467e-05,21.87963302456144,0.06054659455718569,nan,nan
2021 RT213,nan,MBO,MBO,21165810668811092,745284209126932680,5.987262,3.343598,2.3752239,226.15218131600875,-37.52465536980471,2025052000323,183,60816.29085395938,r,226.1521479477082,-37.52462416621486,6.312445640563965,4545.94,707.501,False,5100.49,24.7079,3558.74,691.7,False,-110.863,8.90105,22.255940765614813,0.16897702896576655,22.130970199043478,0.005259545525382156,22.521759353488193,0.21103079970598063,nan,nan
2021 RT213,nan,MBO,MBO,21165810668811092,745284209654366227,5.9874244,3.343599,2.3752272,226.1517492968637,-37.52447039680635,2025052000327,165,60816.29285474647,r,226.15175283569388,-37.52445372607295,16.24503517150879,5498.33,334.854,False,5624.42,2.95356,5360.97,335.782,False,-156.082,8.21309,22.049422979890277,0.06612246085328062,22.024805655361284,0.00057015429024531,22.07689151419048,0.06800460993897774,nan,nan
2021 RT213,nan,MBO,MBO,21165810668811092,745284210598084998,5.9877114,3.3436007,2.3752332,226.15098491901347,-37.524142808734666,2025052000334,173,60816.29639670024,r,226.15096024923065,-37.52414427600071,18.809663772583008,4684.38,246.986,False,4353.3,3.03223,4482.06,245.312,False,-185.643,35.6054,22.223369731949955,0.05724591957946532,22.302953556642528,0.0007562543200967141,22.27130582078469,0.059424486181839195,nan,nan
2021 RT213,nan,MBO,MBO,21165810668811092,745284210715525424,5.987752,3.343601,2.375234,226.15087748439728,-37.52409673366098,2025052000335,141,60816.29689451413,r,226.1508899648329,-37.52408654402517,24.383060455322266,5561.7,226.171,False,5304.12,0.376202,5327.07,224.068,False,-185.607,29.0525,22.036981063954137,0.044152334761296506,22.088466623630648,7.700732804931706e-05,22.08377902672848,0.04566839567217389,nan,nan
2021 RT213,nan,MBO,MBO,21165810668811092,745284210842927449,5.987792,3.3436012,2.3752348,226.15076984302152,-37.52405056200555,2025052000336,128,60816.297393490124,r,226.1507781431869,-37.52404431443855,24.15505027770996,5151.01,209.974,False,4826.86,0.893763,5063.0,207.658,False,-121.723,42.1063,22.120269066886095,0.044258579030267586,22.1908382743367,0.00020103978182176515,22.138980181532897,0.0445312688083298,nan,nan
2021 RT213,nan,MBO,MBO,21165810668811092,745284210980290719,5.987833,3.3436015,2.3752356,226.15066177922296,-37.524004201193456,2025052000337,134,60816.2978940647,r,226.15067223307292,-37.524003600952454,22.798494338989258,4900.54,210.669,False,4601.37,0.320402,4906.68,209.255,False,-156.17,47.3193,22.174390145305523,0.04667464515927678,22.242782080722296,7.560184003472563e-05,22.173030622532966,0.046303351082370915,nan,nan
2021 RT213,nan,MBO,MBO,21165810668811092,745284211521880150,5.98799,3.3436024,2.375239,226.15024319841407,-37.5238245491526,2025052000341,143,60816.299835672995,r,226.15028358331273,-37.52382830275003,7.211594581604004,4834.1,664.039,False,5445.84,26.8854,4552.95,667.881,False,-197.255,20.4575,22.189210902709995,0.14914279197722255,22.059837837346166,0.005360137983344529,22.254267751024635,0.15926872267813083,nan,nan
2021 RT213,nan,MBO,MBO,21165810668811092,745284211802374372,5.988071,3.343603,2.3752406,226.15002824650637,-37.5237322467611,2025052000343,166,60816.30083288025,r,226.15006492540292,-37.523756642526315,8.3037109375,6002.77,704.095,False,5468.07,47.3358,5708.14,715.456,False,-237.352,12.7135,21.95412073796289,0.1273514392177552,22.055414870922895,0.009398964109622251,22.00876343338516,0.13608574012096405,nan,nan
2021 RT213,nan,MBO,MBO,21165810668811092,745284211924533363,5.9881115,3.3436031,2.3752413,226.14992067632505,-37.52368604326288,2025052000344,143,60816.30133184301,r,226.14988755763417,-37.523664187211715,7.4045586585998535,6126.34,803.564,False,5787.18,80.6498,6199.16,814.338,False,-177.835,9.88966,21.93199728858708,0.14241106076216062,21.993832490682863,0.01513075600542673,21.919167858597945,0.14262516873397418,nan,nan
2021 RT213,nan,MBO,MBO,21165810668811092,745284212188250228,5.98819,3.3436036,2.375243,226.1497103050941,-37.523595661882005,2025052000346,134,60816.30230706303,r,226.1497158115577,-37.52360290375949,9.028105735778809,5018.04,556.137,False,4886.85,17.905,4995.82,562.268,False,-158.067,12.2704,22.148664694403593,0.12032947066629376,22.17742745648072,0.003978044569247936,22.153483082449416,0.12219710711925072,nan,nan
2021 RT213,nan,MBO,MBO,21165810668811092,745284212342915175,5.9884634,3.3436053,2.3752487,226.1489841918469,-37.52328347142168,2025052000347,173,60816.305677086275,z,226.14902665737156,-37.52327366625964,7.178467273712158,5589.24,801.671,False,5990.8,55.3108,5272.06,798.268,False,-316.373,33.7964,22.031618058300005,0.1557283664276168,21.956287982601538,0.010024193523541912,22.095049127404952,0.16439654800947698,nan,nan
