provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2022 QG165,nan,MBO,MBO,21165814946673991,745284180992065594,16.621555,3.5379763,3.3850842,148.8032623050529,2.2718697872525158,2025052000114,24,60815.99953748862,g,148.80324645894652,2.2718453466954753,5.87274694442749,844.753,148.723,False,953.694,9.16394,863.073,147.413,False,11.3967,11.2998,24.08317565498788,0.19114931248925363,23.951477408577897,0.010432719738818506,24.059881176099527,0.18544390267977565,28.758052218229253,1.0765047759933044
2022 QG165,nan,MBO,MBO,21165814946673991,745284181391048759,16.62158,3.5379748,3.3851116,148.8035235917467,2.2718598392026466,2025052000117,17,60816.00153897185,g,148.80353420413553,2.271830999501649,5.515541076660156,880.444,159.251,False,1006.26,1.4608,884.333,157.966,False,14.0539,8.25288,24.03824569183925,0.1963834042553924,23.893224466151853,0.0015761766229792547,24.03346041150012,0.19394210949570168,28.530507870638715,0.6375775310802849
2022 QG165,nan,MBO,MBO,21165814946673991,745284181529460764,16.621586,3.5379744,3.3851187,148.80359319769926,2.2718571876974165,2025052000118,25,60816.002071902825,g,148.80357535244477,2.2717804974734697,5.24766731262207,790.42,154.17,False,877.456,30.115,764.584,152.375,False,18.4042,7.32983,24.155355221791485,0.21177089688855288,24.04193663784821,0.03726334516411156,24.191437008306238,0.21637787029407388,28.23770766325132,0.43241554443109415
2022 QG165,nan,MBO,MBO,21165814946673991,745284181663154215,16.621592,3.5379739,3.385126,148.80366293756444,2.2718545305129565,2025052000119,24,60816.00260581951,g,148.8037000527905,2.2718597601730397,5.160928726196289,741.408,137.84,False,724.846,26.7916,743.858,136.827,False,38.3041,10.9477,24.22485680098805,0.20185629295436178,24.24938562098193,0.040130743608561316,24.22127494680781,0.1997128873194328,27.441886842625532,0.31031439833923874
2022 QG165,nan,MBO,MBO,21165814946673991,745284181797371967,16.6216,3.5379734,3.385135,148.80374796210842,2.2718512901802925,2025052000120,24,60816.003256159864,g,148.80377247171157,2.271793679208195,5.18541145324707,654.107,122.457,False,883.077,6.45785,691.207,121.333,False,37.6086,10.1766,24.360878016894535,0.20326338093466342,24.035003533617633,0.007939875365545277,24.30097972757225,0.19058782218266077,27.461782064998793,0.2937919352378429
2022 QG165,nan,MBO,MBO,21165814946673991,745284181947842586,16.621607,3.537973,3.3851423,148.80381784014082,2.2718486264486337,2025052000121,55,60816.003791225885,g,148.80386655858587,2.271803458949396,6.349031925201416,706.606,111.127,False,653.785,8.59313,751.675,110.438,False,48.8026,20.638,24.27705667014742,0.17075230460603322,24.361412664097784,0.01427055202812266,24.20992475197629,0.15951912830928505,27.17889258078698,0.45914406053787093
2022 QG165,nan,MBO,MBO,21165814946673991,745284182198976569,16.621618,3.5379722,3.3851554,148.80394271483144,2.2718438648234858,2025052000123,22,60816.00474765939,g,148.80394519603485,2.2717885142669543,6.352625370025635,919.312,141.034,False,915.984,7.26079,900.541,138.946,False,28.0295,7.21508,23.991342663400467,0.1665655558057607,23.995280270402674,0.00860637561647164,24.013741255545447,0.16752007866501217,27.780961659813265,0.27947960564885416
2022 QG165,nan,MBO,MBO,21165814946673991,745284182334242824,16.621624,3.5379717,3.3851619,148.80400515633235,2.2718414831637905,2025052000124,24,60816.00522575411,g,148.80404677641573,2.2718061345449883,5.820395469665527,867.652,146.773,False,1102.1,0.513499,835.713,146.795,False,21.241,6.76792,24.05413609760865,0.18366437082177692,23.79444751807561,0.0005058746857214551,24.094857088701453,0.1907121724423057,28.082062642433645,0.3459430376554604
2022 QG165,nan,MBO,MBO,21165814946673991,745284182468460553,16.621634,3.537971,3.3851738,148.80412024942953,2.271837092054304,2025052000125,24,60816.00610655401,g,148.8040945238877,2.271747436007916,5.131103515625,777.437,144.767,False,798.075,6.45417,773.771,144.283,False,16.0662,8.98154,24.17333696900399,0.20217557040566494,24.144890716934754,0.008780535889480003,24.17846888333363,0.20245432148641462,28.3852170602427,0.6069626109271361
2022 QG165,nan,MBO,MBO,21165814946673991,745284182737944635,16.621649,3.53797,3.385191,148.80428251944332,2.2718308983875968,2025052000127,26,60816.0073481772,g,148.80428119882512,2.271762928018655,5.921469211578369,765.148,135.415,False,929.089,76.654,699.173,133.957,False,11.875,8.0872,24.19063636695592,0.19215231420264003,23.979856716919276,0.08957809561069552,24.288538419001156,0.20802000515023342,28.713415954257737,0.7394160853931585
2022 QG165,nan,MBO,MBO,21165814946673991,745284182886842380,16.621656,3.5379696,3.3851998,148.80436732040977,2.271827660408217,2025052000128,54,60816.00799732409,g,148.804364774958,2.2718468768340028,5.4665045738220215,795.641,144.287,False,822.808,11.6159,788.636,143.328,False,2.56109,7.01033,24.148207125589323,0.19689486123731276,24.111753757899443,0.015327759912870281,24.15780852368848,0.19732348591013216,30.37893790216008,2.971925753441648
2022 QG165,nan,MBO,MBO,21165814946673991,745284183021584435,16.621662,3.537969,3.3852062,148.8044296505606,2.27182527990611,2025052000129,55,60816.0084747443,g,148.80453936785804,2.2718464115156674,5.041939735412598,844.163,158.008,False,970.277,46.8507,789.266,157.299,False,-37.005,10.4482,24.083934185632163,0.20322496533174622,23.932760683287775,0.05242575346695361,24.156941525412883,0.2163848649256092,nan,nan
2022 QG165,nan,MBO,MBO,21165814946673991,745284183408508997,16.621681,3.537968,3.3852289,148.80464619514777,2.2718170061817533,2025052000132,25,60816.01013182878,g,148.80465824515588,2.2718293134410676,6.76919412612915,1126.5,171.485,False,1186.84,9.06812,1026.88,169.157,False,-52.6324,17.4542,23.770672009850376,0.16527960384876042,23.71401959403472,0.008295630817646373,23.871200756298798,0.17885232529290815,nan,nan
2022 QG165,nan,MBO,MBO,21165814946673991,745284183811162167,16.6217,3.5379665,3.3852508,148.80485506298652,2.271809020660345,2025052000135,25,60816.011729216334,g,148.80494832599499,2.2717745031913337,6.401596546173096,859.126,139.261,False,1195.51,11.8212,838.328,138.9,False,6.221,6.49722,24.06485787355774,0.17599364407391108,23.706116958180893,0.010735757226141144,24.09146506681506,0.17989229953797087,29.415349462689058,1.1339441900680245
