provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2022 QH269,nan,MBO,MBO,21165814947330376,745262191998402577,19.748096,2.9735117,2.6858754,150.1076316730081,1.7197913631419677,2025051500123,83,60811.04255635306,i,150.1076080191405,1.7197848094560226,7.140934467315674,2266.84,313.936,False,2133.2,5.06641,2277.42,313.225,False,-40.8372,11.4942,23.011447789225215,0.15036423964537202,23.077421087324986,0.0025786541164933637,23.0063922116275,0.1493267561663311,nan,nan
2022 QH269,nan,MBO,MBO,21165814947330376,745262192132620302,19.748116,2.9735117,2.6858819,150.10770877518055,1.7197918253756777,2025051500124,83,60811.0430310299,i,150.10770519058588,1.7197500108622668,6.170106887817383,1823.18,295.719,False,2073.86,3.84008,1789.21,293.84,False,-35.9655,10.8564,23.247926097874736,0.17610592970212438,23.10805135591349,0.0020104123200085982,23.268346731692017,0.17830927023392998,nan,nan
2022 QH269,nan,MBO,MBO,21165814947330376,745262192402628614,19.748154,2.9735117,2.6858947,150.1078636416995,1.7197927518879574,2025051500126,86,60811.043985125616,i,150.1078737215106,1.719700647353258,6.014623165130615,1801.08,299.51,False,nan,nan,1740.32,298.002,False,-46.1295,11.5885,23.261167517364594,0.18055215161148905,nan,nan,23.298427255537092,0.1859149960065937,nan,nan
2022 QH269,nan,MBO,MBO,21165814947330376,745262193072144444,19.748247,2.973512,2.6859267,150.1082497464293,1.71979505063847,2025051500131,83,60811.046363020694,i,150.10824799036487,1.7197792701843777,7.760811805725098,2506.41,324.801,False,2396.44,9.03282,2543.22,324.96,False,63.8053,10.9047,22.902369751542043,0.14069853369608668,22.951083626614444,0.004092428632123859,22.886540186927025,0.13872996904908944,26.887858084202556,0.18555868534453193
2022 QH269,nan,MBO,MBO,21165814947330376,745262193480040462,19.748304,2.9735122,2.685946,150.10848165617224,1.7197964237001713,2025051500134,93,60811.04779119583,i,150.1084426838533,1.7197671876676202,6.690850257873535,2366.26,345.103,False,2578.18,38.4271,2524.72,343.486,False,182.599,11.5673,22.96484383967361,0.15834727226861992,22.87171694108749,0.0161826156640269,22.894466961608472,0.14771348194566228,25.746254018808642,0.06877932681901718
2022 QH269,nan,MBO,MBO,21165814947330376,745262193592238156,19.748323,2.9735122,2.6859527,150.10856237921206,1.7197969002883415,2025051500135,51,60811.048288111924,i,150.10858558576788,1.7197797491621298,6.577661037445068,2102.82,318.406,False,2492.69,89.226,2284.3,316.009,False,180.977,10.7273,23.09299471731152,0.1644006225619067,22.908329346972383,0.038863997781441555,23.00311712738801,0.15020023985956796,25.755941508046845,0.06435633992659531
2022 QH269,nan,MBO,MBO,21165814947330376,745262193722785861,19.748343,2.9735122,2.6859589,150.1086395334882,1.7197973551571475,2025051500136,44,60811.048763050516,i,150.10863989781726,1.7197739700838337,6.192477703094482,2400.12,380.259,False,2709.36,6.35111,2523.15,381.4,False,173.731,9.28478,22.94941755725606,0.17201679342811985,22.81783317007443,0.0025451138918247862,22.895142367337847,0.16412016641709873,25.80030668377828,0.058025459740912465
2022 QH269,nan,MBO,MBO,21165814947330376,745262193857003573,19.748362,2.9735122,2.6859653,150.10871652971278,1.7197978084615555,2025051500137,44,60811.04923726723,i,150.1087390489073,1.7197467728786915,7.053099632263184,2676.66,379.942,False,2618.96,24.2995,2669.08,380.038,False,147.619,8.86596,22.831017013456744,0.154116243207753,22.854677852712047,0.010073787599231322,22.834095990628548,0.1545929674680531,25.97714432824536,0.06520904272862665
2022 QH269,nan,MBO,MBO,21165814947330376,745262194414321729,19.748436,2.9735124,2.6859908,150.10902504658117,1.7197996184808098,2025051500141,83,60811.051136607966,i,150.10908044204018,1.719804781014523,6.513899803161621,3438.59,534.211,False,3426.96,16.0148,3375.31,538.268,False,4.00885,9.29619,22.559048982644534,0.16867733788106595,22.562727424105873,0.0050738402002310015,22.579215815933274,0.17314470408618535,29.892450457389327,2.5177320397940215
2022 QH269,nan,MBO,MBO,21165814947330376,745262195089080341,19.748531,2.9735126,2.686023,150.1094132730933,1.7198018817703522,2025051500146,90,60811.05352545515,i,150.10940672823898,1.7197724855703718,6.934676647186279,2688.81,385.438,False,nan,nan,2576.41,386.289,False,0.113695,9.40333,22.82609968969851,0.15563910036284237,nan,nan,22.87246259667678,0.1627877429049582,33.76064655545598,89.79757583821674
