provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2022 QR271,nan,MBO,MBO,21165814947393874,745315083685462218,21.96643,1.7616526,0.8638404,288.44738480268,-19.369787147456176,2025052700981,26,60823.35139598178,r,288.44735888930745,-19.36974915346535,16.080066680908203,3835.43,238.871,False,3933.35,3.6174,3359.37,226.084,False,-127.019,10.5124,22.440464867114272,0.06761977144019714,22.41309349101006,0.0009985233896333261,22.5843553632768,0.07306952647552764,nan,nan
2022 QR271,nan,MBO,MBO,21165814947393874,745315083817058978,21.96621,1.7616516,0.86383647,288.4474071530236,-19.369830077010278,2025052700982,21,60823.351918416534,r,288.4474106532538,-19.369832749567497,14.306015014648438,3436.23,236.598,False,3339.94,2.08346,3583.49,225.994,False,-35.5207,10.7291,22.559794443369388,0.07475722633615889,22.59065335643693,0.0006772840510095869,22.514234510769725,0.06847231947215143,nan,nan
2022 QR271,nan,MBO,MBO,21165814947393874,745315084257985277,21.965551,1.761649,0.86382467,288.44747409855097,-19.36995857374645,2025052700985,94,60823.35348482716,r,288.4474902523366,-19.36994480708784,16.325634002685547,3802.65,230.402,False,3770.56,1.91855,3950.03,221.034,False,95.3557,9.375,22.449784142084496,0.06578459538830186,22.458985343124873,0.0005524482249340588,22.408499006814637,0.060755136237334986,26.45163338040076,0.10674534581989283
2022 QR271,nan,MBO,MBO,21165814947393874,745315084417368126,21.965324,1.761648,0.8638206,288.4474971486689,-19.370002785117773,2025052700986,142,60823.3540232592,r,288.4475187983745,-19.369994041412035,14.891496658325195,3630.41,243.728,False,3739.53,0.493889,3752.45,235.952,False,322.207,7.62245,22.500110839257886,0.07289102792075475,22.46795743735182,0.00014339587289447693,22.464212728774243,0.06827049735836085,25.12966256927035,0.0256852575496392
2022 QR271,nan,MBO,MBO,21165814947393874,745319434819731884,21.564417,1.7599924,0.85648125,288.5005259782905,-19.45280646938173,2025052800631,148,60824.32900047579,g,288.5005402266002,-19.452800526413046,18.19758415222168,2330.0,127.627,False,2361.74,1.27116,2109.49,122.172,False,-179.258,11.2229,22.981610197434954,0.059471782580188995,22.966919791596784,0.0005843761154189465,23.08955632763259,0.06288086743284556,nan,nan
2022 QR271,nan,MBO,MBO,21165814947393874,745319435064574174,21.563957,1.7599906,0.8564733,288.500561167138,-19.45289811473556,2025052800633,103,60824.330066121125,g,288.50057352221364,-19.45292439773482,16.085983276367188,2369.31,146.638,False,2493.51,2.89171,1798.13,140.474,False,-291.555,8.70039,22.963445254561748,0.06719685570320111,22.90797221010467,0.001259122391729399,23.262947279891108,0.08482017771392679,nan,nan
2022 QR271,nan,MBO,MBO,21165814947393874,745319435192500735,21.563732,1.7599896,0.85646945,288.5005783659828,-19.45294289378931,2025052800634,91,60824.33058773106,g,288.5005749539455,-19.4529522661607,15.958963394165039,2306.72,142.884,False,2551.83,3.59838,1970.64,136.593,False,-273.66,10.5915,22.992512811009767,0.06725321528697244,22.882870619733758,0.0015310155540482798,23.163481757325872,0.07525675254349873,nan,nan
2022 QR271,nan,MBO,MBO,21165814947393874,745319435495014767,21.563286,1.759988,0.85646176,288.5006124680808,-19.45303165513326,2025052800636,156,60824.331620986464,g,288.5006180058263,-19.45300488815554,18.08148956298828,2433.32,133.694,False,2471.72,0.0822278,2245.06,129.218,False,-243.139,14.7458,22.934501905252155,0.05965364701153964,22.91750183362152,3.611966426460564e-05,23.021930091254124,0.0624912740697464,nan,nan
2022 QR271,nan,MBO,MBO,21165814947393874,745319435625038507,21.563059,1.759987,0.8564579,288.5006298336932,-19.45307684020963,2025052800637,148,60824.33214602829,g,288.50063697523746,-19.453083108629055,19.03261947631836,2377.85,123.11,False,2536.06,1.32098,2209.8,118.288,False,-217.778,17.5699,22.959538818167072,0.056212536257942515,22.889601164429422,0.0005655369854778485,23.03911755291299,0.05811818424177493,nan,nan
2022 QR271,nan,MBO,MBO,21165814947393874,745319435779178899,21.562836,1.7599862,0.856454,288.5006469689611,-19.45312141613502,2025052800638,186,60824.33266572036,g,288.50064318843954,-19.45311948002204,17.472726821899414,2478.73,141.093,False,2590.73,0.791446,2230.37,136.352,False,-240.042,15.0813,22.91442695090968,0.06180172187498865,22.86644462278762,0.0003316831745485922,23.029057655704126,0.06637566890101831,nan,nan
2022 QR271,nan,MBO,MBO,21165814947393874,745319436254707733,21.561914,1.7599826,0.85643816,288.50071746778366,-19.45330470538156,2025052800642,69,60824.33480056905,g,288.500751721761,-19.45330320472697,19.453031539916992,2483.07,126.755,False,2477.68,0.0621248,2034.1,120.511,False,-210.577,10.8994,22.912527562901264,0.05542432789380916,22.914886991974374,2.7223510044053003e-05,23.12906926351565,0.06432484099356357,nan,nan
