provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2023 UP78,nan,MBO,MBO,21165819307702352,745297377809137668,20.257069,2.9206576,2.7936065,148.47938856154042,2.689161152006913,2025052300134,11,60819.02753780842,g,148.47937970146472,2.6890937825608106,7.648109436035156,1262.55,161.367,False,1488.08,1.61169,1205.7,157.713,False,-33.0031,37.3193,23.646878492431057,0.13876835939068388,23.468434332693697,0.0011759248721392955,23.69690189169062,0.1420209987661762,nan,nan
2023 UP78,nan,MBO,MBO,21165819307702352,745297378215985304,20.257051,2.9206583,2.7936282,148.47972248756474,2.689113200430925,2025052300137,19,60819.02910952353,g,148.4797763023787,2.6891599458745357,6.564023971557617,1082.39,164.247,False,1118.06,0.733469,1134.9,159.948,False,6.61928,17.5192,23.814040557200986,0.16475476077498583,23.778837167297304,0.000712263936496082,23.762605986612535,0.1530190577339483,29.347973141661537,2.873610035226719
2023 UP78,nan,MBO,MBO,21165819307702352,745297378351775761,20.257046,2.9206586,2.7936356,148.47983338194842,2.68909727602781,2025052300138,22,60819.029631473495,g,148.4798343392146,2.6891055317536083,11.141707420349121,1396.35,124.531,False,1386.03,1.50456,1412.54,121.766,False,34.649,49.9907,23.537514295584455,0.09682945948863882,23.545568400831723,0.0011785857614261836,23.524998082669615,0.09359434054501534,27.55077329196859,1.5664727802899356
2023 UP78,nan,MBO,MBO,21165819307702352,745297378620211218,20.257036,2.9206593,2.7936502,148.48005646159814,2.6890652418201024,2025052300140,22,60819.030681123004,g,148.4800705024407,2.689117656685136,7.127248287200928,831.825,117.447,False,879.436,2.63048,1027.99,114.863,False,184.84,47.009,24.099920062355647,0.1532972159345515,24.03948943286443,0.0032475444618502583,23.870027785353656,0.12131530243027211,25.733010121894285,0.2761273157039812
2023 UP78,nan,MBO,MBO,21165819307702352,745297378754428990,20.25703,2.9206595,2.7936573,148.480167797117,2.689049254046992,2025052300141,22,60819.03120546072,g,148.48024677687468,2.689041071817537,7.313005447387695,918.285,123.747,False,884.397,0.52887,1080.79,121.614,False,180.947,44.4729,23.992556306096883,0.14631253243680775,24.033381881766935,0.0006492709832162936,23.81564666644204,0.12217055700940768,25.756121494783535,0.2668507155321804
2023 UP78,nan,MBO,MBO,21165819307702352,745297379313319958,20.257008,2.9206607,2.7936864,148.48061276833369,2.6889853562520463,2025052300145,64,60819.03329943505,g,148.48062127164118,2.6889671812818103,7.6176066398620605,855.442,110.071,False,835.433,8.09841,947.499,109.389,False,75.9531,40.1924,24.06952355596588,0.13970329554415842,24.095220956310346,0.01052476588264705,23.958553072439102,0.12534851719966256,26.698636209455863,0.5745432993580817
2023 UP78,nan,MBO,MBO,21165819307702352,745297379447537693,20.257002,2.920661,2.7936938,148.4807239186036,2.688969395121351,2025052300146,64,60819.033822497426,g,148.48079040131412,2.6889557369239934,6.294576644897461,730.791,115.515,False,777.75,8.12371,865.268,112.458,False,102.025,41.3095,24.24051700130255,0.17162063346207346,24.172899950548146,0.011340669514695246,24.057123386753318,0.14111202720494462,26.37823347514853,0.439610104081375
2023 UP78,nan,MBO,MBO,21165819307702352,745297379984408677,20.256979,2.9206622,2.7937229,148.48116878769682,2.688905512350729,2025052300150,64,60819.03591508551,g,148.4812188573455,2.6888899216684066,8.451135635375977,1142.94,132.367,False,1220.41,5.67455,1088.77,128.881,False,-20.0484,12.7692,23.754941475195402,0.12574208300892536,23.683735575642427,0.005048356101193027,23.807659616029543,0.12852187488336686,nan,nan
2023 UP78,nan,MBO,MBO,21165819307702352,745297380120723564,20.256973,2.9206624,2.79373,148.48128102865732,2.6888893947377706,2025052300151,68,60819.03644384879,g,148.48121291960825,2.688941647834423,5.428284168243408,729.187,142.776,False,nan,nan,724.722,140.351,False,-32.0198,15.0343,24.24290268900697,0.21258891195202279,nan,nan,24.249571409764926,0.21026567843066163,nan,nan
2023 UP78,nan,MBO,MBO,21165819307702352,745297380254416958,20.256968,2.9206626,2.7937374,148.48139242497152,2.6888733984543585,2025052300152,67,60819.03696702246,g,148.48139956502226,2.6888943897748336,7.143263339996338,838.304,115.817,False,884.867,8.0005,987.619,115.652,False,111.545,39.6747,24.091496133089255,0.15000132298946028,24.03280499726099,0.00981665285836343,23.913526388654063,0.1271417030833643,26.28137474826276,0.38617832036986655
