provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KD32,nan,MBO,MBO,21165827729601092,745288589781238135,9.134555,2.4352984,1.4688276,227.7893095864938,-40.71624162372993,2025052100194,34,60817.2715550652,i,227.7893798579055,-40.71635840316472,5.433063983917236,2176.18,402.786,False,2527.67,22.9895,2952.46,396.573,False,589.121,12.1321,23.05576299751734,0.20095735112454333,22.893199098588546,0.00987491773074255,22.72453995813185,0.14583556339651302,24.47448879215573,0.02235917741393946
2025 KD32,nan,MBO,MBO,21165827729601092,745297388064736323,9.372176,2.4301364,1.4655594,227.23270838448133,-40.63936955346112,2025052300210,116,60819.0802794506,i,227.23275584702657,-40.63947847008503,8.451966285705566,1967.22,235.932,False,2338.56,60.8157,19922.8,231.329,False,17922.1,53.4419,23.165367688507143,0.13021417304515417,22.97762868029534,0.028235241443380788,20.651624019406974,0.012606774899230812,20.76652778309221,0.003237556154126409
2025 KD32,nan,MBO,MBO,21165827729601092,745297388219401200,9.372254,2.430135,1.4655585,227.2325513364194,-40.63934787624903,2025052300211,155,60819.08077430007,i,227.23257776371636,-40.6393691873626,5.417080402374268,1051.34,197.912,False,nan,nan,5570.93,194.743,False,4560.04,51.8002,23.845642064816126,0.20438700470374396,nan,nan,22.035180712028982,0.03795407857269363,22.252578360078186,0.01233352198870038
2025 KD32,nan,MBO,MBO,21165827729601092,745297388304859532,9.372331,2.4301336,1.4655577,227.2323961844042,-40.63932645277499,2025052300212,62,60819.08126372041,i,227.23239846133615,-40.63939450268588,6.38623571395874,1233.7,194.644,False,nan,nan,5952.82,191.045,False,4713.52,51.3099,23.6719761311366,0.17129937841844628,nan,nan,21.963193155426325,0.03484474205083083,22.216636610045825,0.011818983286153177
2025 KD32,nan,MBO,MBO,21165827729601092,745297388996395557,9.372716,2.4301267,1.4655536,227.23161777162468,-40.63921884888168,2025052300217,101,60819.08371626666,i,227.23167990490282,-40.639280007944905,9.422405242919922,2159.58,223.271,False,2400.5,1.00338,2769.61,219.208,False,492.099,34.1795,23.064076718745977,0.11225025012356314,22.949245724237038,0.00045382459031754346,22.793953411376123,0.08593341468899443,24.669868795904126,0.07541149507257945
2025 KD32,nan,MBO,MBO,21165827729601092,745297390207501029,9.373411,2.430114,1.4655463,227.23021565671652,-40.6390245159314,2025052300226,107,60819.08813322199,i,227.23027613314596,-40.63907087875093,8.149764060974121,1686.26,202.416,False,1892.76,5.11424,1596.95,199.877,False,-123.868,36.8382,23.332688648269595,0.13033006698087807,23.207261120983077,0.0029336607299566635,23.391771736376526,0.13589260831021413,nan,nan
2025 KD32,nan,MBO,MBO,21165827729601092,745297390765867153,9.37372,2.4301083,1.465543,227.2295913935982,-40.63893777866676,2025052300230,148,60819.090099383415,i,227.22959738461492,-40.63898781955768,8.822402000427246,1830.63,204.401,False,1931.71,3.83471,1653.2,204.03,False,-186.313,56.4197,23.243498559064335,0.12122906674593821,23.185145201815153,0.00215533565526052,23.35418654054361,0.13399634833911808,nan,nan
2025 KD32,nan,MBO,MBO,21165827729601092,745297395577782483,9.377893,2.4300325,1.4654995,227.2211558539128,-40.63775216682016,2025052300266,110,60819.11663625539,r,227.22117087676125,-40.63776567295381,9.63952922821045,1592.04,163.795,False,1483.87,4.51381,1384.04,159.681,False,-127.89,13.7894,23.395115035394674,0.11170457733904637,23.47151036704352,0.0033027199996150864,23.547128364849197,0.1252647595111094,nan,nan
2025 KD32,nan,MBO,MBO,21165827729601092,745297395713573072,9.37797,2.4300313,1.4654987,227.220999960144,-40.63773001002261,2025052300267,113,60819.11712660639,r,227.22099099834105,-40.63776842945563,7.26648473739624,1261.59,168.707,False,1515.2,23.2189,1001.88,163.485,False,-84.1911,11.5985,23.64770443467307,0.14519083351479006,23.44882513084043,0.016637804854765327,23.897960726955176,0.17716850644037507,nan,nan
2025 KD32,nan,MBO,MBO,21165827729601092,745297395818954876,9.378047,2.4300299,1.465498,227.22084374430747,-40.63770779821896,2025052300268,58,60819.11761797484,r,227.22085716104112,-40.63773613957232,9.034932136535645,1390.71,149.345,False,1522.29,12.5535,1348.9,146.098,False,-18.7928,50.372,23.541908586771296,0.11659460231064785,23.44375648592424,0.008953477515589467,23.575050593674725,0.11759499814027345,nan,nan
2025 KD32,nan,MBO,MBO,21165827729601092,745297396115702374,9.3782015,2.430027,1.4654963,227.22053098335692,-40.637663299964814,2025052300270,112,60819.11860076864,r,227.22056101240355,-40.63771374377776,8.811339378356934,1295.92,142.566,False,1540.48,4.02995,1245.95,139.18,False,13.9449,42.4038,23.6185544821677,0.1194433732710134,23.430859853118406,0.002840324332619308,23.66124850648432,0.12128316782222133,28.538961523702792,3.3015183602792915
