provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KH31,nan,MBO,MBO,21165827729600840,745284205764149335,7.078909,2.7548623,1.78038,227.73705789602647,-37.652090631540325,2025052000298,169,60816.275022669506,i,227.73731534653336,-37.652201162713006,8.535101890563965,4409.83,497.179,False,4546.37,6.31731,4280.42,487.737,False,97.9573,20.6213,22.288945361678714,0.1224095294700546,22.255838028814715,0.0015086611628593125,22.321284058303902,0.12371536635078664,26.422408003712775,0.2285617520516736
2025 KH31,nan,MBO,MBO,21165827729600840,745284207461269992,7.079588,2.7548532,1.7803775,227.7352222492605,-37.65178136103408,2025052000311,78,60816.281706903814,i,227.73546100388265,-37.651907193123535,10.134618759155273,4740.97,444.576,False,4310.82,2.34357,5001.16,431.65,False,388.409,63.7963,22.210331932821376,0.10181296757822636,22.31360032153775,0.000590258673430448,22.152323093653877,0.09370986161507985,24.92677679809004,0.17833251068453376
2025 KH31,nan,MBO,MBO,21165827729600840,745284210592317707,7.0810785,2.7548332,1.7803721,227.73119452656255,-37.65109781510345,2025052000334,162,60816.29639670024,r,227.73140666306014,-37.65122527980233,13.46153736114502,3530.32,260.404,False,3197.46,10.3637,3760.68,254.734,False,278.797,21.5436,22.530464796289024,0.08008623472567139,22.63798721278611,0.0035191196600693753,22.46183406862254,0.0735435943461914,25.286779770864914,0.08389856001350698
2025 KH31,nan,MBO,MBO,21165827729600840,745284210706612323,7.0811286,2.7548325,1.7803719,227.7310581516168,-37.651074553558274,2025052000335,124,60816.29689451413,r,227.73128474455052,-37.65119381581818,12.806418418884277,3293.9,251.368,False,3187.81,11.1835,3530.57,242.611,False,430.536,25.1587,22.60572400663172,0.08285598904047657,22.64126890840477,0.003808988282709135,22.53038791248371,0.07460878358313895,24.81497629396045,0.0634458251968319
2025 KH31,nan,MBO,MBO,21165827729600840,745284210837160004,7.081179,2.7548318,1.7803718,227.730921514236,-37.65105123963538,2025052000336,117,60816.297393490124,r,227.73110883828144,-37.65117192492051,14.590582847595215,3315.38,225.398,False,3068.29,4.13174,3914.57,220.38,False,511.584,62.2322,22.59866675520914,0.07381439602585976,22.682758974575965,0.001462045553308419,22.41828982232427,0.061124094326487445,24.627707585192237,0.13207557576221587
2025 KH31,nan,MBO,MBO,21165827729600840,745284212179337579,7.0816774,2.754825,1.78037,227.72957656385557,-37.65082135107899,2025052000346,117,60816.30230706303,r,227.72986729578258,-37.65091989004668,5.977082252502441,4020.86,657.089,False,4593.93,30.1323,6759.86,662.264,False,2557.91,12.8889,22.3892025911992,0.1774310188181533,22.24453902508548,0.00712151190039286,21.825155767998908,0.10636965729081174,22.88028688787909,0.005470851451626153
2025 KH31,nan,MBO,MBO,21165827729600840,745284213545107869,7.082742,2.754811,1.7803664,227.72670248029533,-37.650327663776416,2025052000356,162,60816.31282288865,z,227.7268916515126,-37.65040373434042,5.3370280265808105,4689.72,869.025,False,5635.15,86.125,6094.2,839.905,False,2049.05,72.9522,22.22213266547987,0.20119151860290693,22.02273631666012,0.01659388521251262,21.937708208114238,0.14963658390603513,23.12111858415267,0.03865539878020612
2025 KH31,nan,MBO,MBO,21165827729600840,745284215538450816,7.0837364,2.7547977,1.7803631,227.72401975135725,-37.64986393326621,2025052000371,124,60816.3226558567,z,227.72422723351295,-37.649994957069545,5.8060832023620605,3848.76,656.878,False,4170.42,22.9678,3696.54,593.841,False,142.791,63.9683,22.43669792146069,0.18530545288008057,22.34955053368588,0.005979487107583355,22.48051146345398,0.17442112636883664,26.01324790952392,0.4863940930655072
2025 KH31,nan,MBO,MBO,21165827729600840,745288582312231149,7.1844425,2.7535772,1.7800195,227.4848615644337,-37.609738266260194,2025052100138,124,60817.222943721055,g,227.4850731457001,-37.60985066451507,13.4823637008667,2103.68,154.942,False,2063.52,6.00022,2203.51,150.71,False,134.056,6.06915,23.09255084011737,0.07996755493329018,23.113478283492,0.003157059701633801,23.042212430758873,0.07425939069184936,26.081784360346866,0.04915479999128086
2025 KH31,nan,MBO,MBO,21165827729600840,745288582602162262,7.1846123,2.7535753,1.7800193,227.4844856230498,-37.60967242859034,2025052100140,165,60817.224314639956,g,227.48470556428256,-37.609761927478736,13.59001636505127,2230.96,163.37,False,2470.62,0.692876,2424.26,161.487,False,122.505,6.77749,23.02877055983494,0.07950690356421797,22.91798506657608,0.0003044905742913746,22.938552006282247,0.07232404167100144,26.179615487731922,0.06006747958280873
2025 KH31,nan,MBO,MBO,21165827729600840,745288584057585718,7.1854434,2.7535663,1.7800181,227.4826430750046,-37.609348818391545,2025052100151,125,60817.23103663155,g,227.48282839755285,-37.6094855316395,11.390341758728027,1899.39,165.782,False,2017.36,2.32102,2094.74,162.33,False,149.168,5.02057,23.20346462367827,0.09476490641251528,23.138041494301998,0.001249164919786884,23.097174690472514,0.08413815601367769,25.96581083813909,0.03654278684828288
2025 KH31,nan,MBO,MBO,21165827729600840,745288584188133539,7.185525,2.7535653,1.780018,227.48246195458023,-37.60931692454915,2025052100152,118,60817.23169760447,g,227.48260241959028,-37.6093547640219,12.857245445251465,2159.2,167.691,False,2298.45,2.1998,2060.29,163.339,False,156.718,4.94391,23.064267845681677,0.08432205807715082,22.996412371470633,0.0010391361873021703,23.115179092890543,0.086076750113068,25.91220278229878,0.0342512164077909
2025 KH31,nan,MBO,MBO,21165827729600840,745288584300331100,7.1856008,2.7535644,1.7800179,227.4822939971184,-37.60928733527509,2025052100153,76,60817.23231028124,g,227.48246337360703,-37.6093903414242,11.483625411987305,1980.77,170.738,False,2157.21,5.33623,2152.45,168.9,False,136.424,4.9332,23.157914864973193,0.09358806598295315,23.065268957550867,0.0026857552101837647,23.067667344961706,0.08519633093303783,26.06277308443495,0.03926108218424153
2025 KH31,nan,MBO,MBO,21165827729600840,745288584993964133,7.185968,2.7535603,1.7800173,227.4814801131115,-37.60914377079021,2025052100158,119,60817.23528171837,g,227.48167246788142,-37.609230588006554,13.257901191711426,1978.63,146.728,False,2092.04,8.10351,2070.25,142.127,False,76.9953,6.86474,23.159088523403483,0.08051424370027481,23.098575019663073,0.004205595458486564,23.10994301671444,0.07453806466892078,26.683839457170123,0.09680196858437597
2025 KH31,nan,MBO,MBO,21165827729600840,745288585555476941,7.1877055,2.7535412,1.7800151,227.47763012094427,-37.60846058387044,2025052100162,166,60817.24934808076,r,227.4778358214609,-37.608564952341865,14.097044944763184,3465.04,243.947,False,3345.6,7.68302,3727.51,240.46,False,247.307,8.24318,22.55072935671165,0.07643839427989306,22.588814929623958,0.002493344349934183,22.47145295407364,0.07004035788009706,25.416908946995314,0.03618950947400028
2025 KH31,nan,MBO,MBO,21165827729600840,745288587014046104,7.1885667,2.753532,1.780014,227.47572241640464,-37.60811957996245,2025052100173,132,60817.25632777852,r,227.47586905903557,-37.60822374549745,14.424698829650879,3673.7,252.248,False,3890.85,2.32889,3676.1,247.614,False,174.054,8.79322,22.48724079377702,0.07455012412847996,22.42488875222142,0.0006498734772509241,22.48653167896842,0.0731327971872731,25.798289973622907,0.05485146444608242
2025 KH31,nan,MBO,MBO,21165827729600840,745288587254693987,7.1886873,2.7535305,1.7800139,227.4754543961957,-37.60807154023254,2025052100175,79,60817.257308527915,r,227.4756488668439,-37.60817517048206,14.866629600524902,4351.06,293.132,False,4695.72,9.72835,4437.4,291.609,False,79.6392,7.7187,22.303512305020426,0.0731463157090098,22.22074446890778,0.0022493719776764012,22.28217857630695,0.07135044518045107,26.647182801239865,0.10523049137228963
2025 KH31,nan,MBO,MBO,21165827729600840,745288587408834953,7.1887617,2.7535298,1.7800138,227.4752899400654,-37.60804204732613,2025052100176,117,60817.257910516,r,227.47547100412854,-37.60815375301962,14.66211223602295,4288.94,285.982,False,4522.12,9.34146,3881.4,282.986,False,-56.9527,8.36621,22.319125088003666,0.07239574573658913,22.261644765116582,0.0022428332976522345,22.427529023506857,0.07915910371330535,nan,nan
2025 KH31,nan,MBO,MBO,21165827729600840,745288587950424488,7.189021,2.753527,1.7800136,227.47471553862917,-37.60793894158704,2025052100180,126,60817.260013441,r,227.47493104573576,-37.60803662622,14.51154613494873,3839.01,263.829,False,4471.29,2.05849,3773.94,260.44,False,-74.5246,8.48849,22.439451888773753,0.07461525427243816,22.273917894621526,0.0004998506341069781,22.458012538728855,0.07492677260586308,nan,nan
2025 KH31,nan,MBO,MBO,21165827729600840,745288588353077705,7.189203,2.7535248,1.7800133,227.4743130346402,-37.60786660387051,2025052100183,126,60817.26148726863,r,227.47449713353512,-37.607932381382234,13.281875610351562,3315.15,249.378,False,3429.47,0.115564,3564.37,245.052,False,324.598,8.74711,22.598742072907577,0.0816731483463306,22.561932488949896,3.658641823162799e-05,22.520043015020534,0.07464483816818279,25.12163542793047,0.029257896376420657
2025 KH31,nan,MBO,MBO,21165827729600840,745288588616794208,7.189322,2.7535236,1.7800132,227.47404847420827,-37.607819017938944,2025052100185,117,60817.26245622433,r,227.47423926180394,-37.607931729940255,13.415820121765137,3755.66,277.683,False,4078.72,1.83455,5507.78,270.538,False,2083.28,7.72454,22.463284353702086,0.08027630528602384,22.37369027663931,0.0004883486470764684,22.04755858062537,0.05333054456131612,23.103130873373033,0.004025773241619397
2025 KH31,nan,MBO,MBO,21165827729600840,745288588774605215,7.189933,2.753517,1.7800125,227.47269537340463,-37.60757515216589,2025052100186,162,60817.267414719,i,227.47288603966987,-37.60771254199972,12.281898498535156,5387.87,434.969,False,5707.88,4.80516,15412.7,430.905,False,10325.8,9.94052,22.071457205381467,0.08765274117859147,22.0088129369929,0.0009140234795235864,20.930303173289012,0.030354782228764057,21.365190748135397,0.0010452248710411196
2025 KH31,nan,MBO,MBO,21165827729600840,745288588912492879,7.1899996,2.7535162,1.7800125,227.4725477846944,-37.60754850356261,2025052100187,169,60817.26795555525,i,227.4727952740116,-37.607607099482564,11.04649543762207,4924.75,443.823,False,5344.97,9.9467,9818.05,434.226,False,4811.12,8.95063,22.16903952782772,0.09784754504975658,22.080136776449066,0.0020204962755916147,21.419936922888677,0.04801920064981933,22.194384500291655,0.002019908672781367
2025 KH31,nan,MBO,MBO,21165827729600840,745288590519435384,7.190766,2.7535076,1.7800117,227.47085120679785,-37.60724147995672,2025052100199,162,60817.27417764964,i,227.47106483897105,-37.60732123851356,13.965073585510254,5334.43,380.963,False,5490.94,7.1339,7693.8,371.309,False,2588.82,11.122,22.082279912825044,0.07753880394478206,22.050883266185718,0.0014106025149662306,21.684647795934282,0.05239850585520797,22.86724533358276,0.004664502541241995
2025 KH31,nan,MBO,MBO,21165827729600840,745288590744355253,7.190889,2.7535064,1.7800115,227.47057867798347,-37.60719204355539,2025052100201,79,60817.27517703292,i,227.4707698614981,-37.60729348691794,12.210027694702148,4957.82,400.489,False,5699.83,10.3997,9804.97,394.033,False,5092.83,10.2273,22.161773150742505,0.0877049665313216,22.010345228026075,0.0019809943161079807,21.421384357261566,0.04363255517376669,22.132602034458316,0.00218034950710558
2025 KH31,nan,MBO,MBO,21165827729600840,745288591441657980,7.1911964,2.7535028,1.7800113,227.46989726320535,-37.60706829370615,2025052100206,129,60817.27767844791,i,227.47006364139884,-37.6071921898005,12.41549301147461,5248.08,422.754,False,5620.23,5.11612,52396.3,415.705,False,47385.5,12.9713,22.099998867187658,0.08746042634407661,22.02561478171571,0.00098835040219493,19.601748433638058,0.008614080530309398,19.710886331119326,0.0002972092764374901
2025 KH31,nan,MBO,MBO,21165827729600840,745288592668491882,7.192355,2.7534902,1.7800102,227.46733282410824,-37.60660076784392,2025052100215,165,60817.287099503534,z,227.46753059679736,-37.606679735831754,7.357397079467773,5035.97,678.886,False,5375.52,6.24492,9200.61,633.203,False,4278.36,31.6785,22.144792117958914,0.1463652608760013,22.073948791001232,0.0012613357355144889,21.490458403504803,0.07472237155718434,22.321806721650425,0.008039177305467203
2025 KH31,nan,MBO,MBO,21165827729600840,745288592805331260,7.192567,2.7534878,1.78001,227.4668647778361,-37.60651513256075,2025052100216,170,60817.288820734655,z,227.46703064421715,-37.60650776591527,5.786608695983887,4038.87,699.467,False,4114.31,23.7182,5979.03,681.45,False,2047.81,32.4628,22.384350281840895,0.1880319500658923,22.364257456334478,0.006259058949654988,21.958423207728774,0.12374498481724955,23.121775820327112,0.017211574927389107
