provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KR29,nan,MBO,MBO,21165827729537362,745297388149670659,7.4883547,2.7794628,1.8100942,228.40903830227052,-38.7832043392299,2025052300211,22,60819.08077430007,i,228.40899452401865,-38.783219206783016,13.065887451171875,2896.84,218.467,False,2761.48,6.17037,3746.64,200.186,False,831.785,101.238,22.745188695424773,0.08188147052628743,22.797145252188454,0.0024260158551951245,22.46589511753358,0.05801176498244225,24.099972324436486,0.13214684602344554
2025 KR29,nan,MBO,MBO,21165827729537362,745297388552323340,7.488539,2.779459,1.810092,228.40865825227272,-38.78310500254649,2025052300214,22,60819.08224434325,i,228.40860044366678,-38.783131021704186,11.609424591064453,2620.24,228.039,False,2391.38,0.644209,3339.48,209.363,False,706.107,108.238,22.85414732355058,0.09449142098053642,22.953378571311866,0.0002924842971993778,22.590802889255425,0.0680683811620939,24.27782371600993,0.16643074647039077
2025 KR29,nan,MBO,MBO,21165827729537362,745297390634795886,7.489465,2.7794397,1.8100805,228.4067546010296,-38.78260669650517,2025052300229,154,60819.08960465375,i,228.40670694516115,-38.78262627492712,16.7237491607666,4124.08,244.834,False,4223.21,0.928183,3851.02,220.294,False,-325.466,142.904,22.361682276299767,0.06445683219589662,22.33589331667816,0.00023862462862759,22.436060559227805,0.06210852635660433,nan,nan
2025 KR29,nan,MBO,MBO,21165827729537362,745297391039021693,7.48965,2.7794356,1.8100783,228.4063750088141,-38.782507183302535,2025052300232,157,60819.091071095914,i,228.40633471723328,-38.782526274898856,17.85921859741211,4009.93,224.389,False,3779.08,0.990648,3920.57,206.645,False,-153.664,162.515,22.392158040125164,0.060755991655703535,22.456534763380695,0.00028461486571691085,22.416626950087583,0.05722687230658194,nan,nan
2025 KR29,nan,MBO,MBO,21165827729537362,745297391905669823,7.490826,2.779411,1.8100637,228.40395481036217,-38.78187148754912,2025052300239,18,60819.100420095594,z,228.40388709134993,-38.78192418047994,8.031639099121094,3147.59,405.762,False,nan,nan,3791.48,376.623,False,532.712,109.599,22.655054577503083,0.13996437733521805,nan,nan,22.45297808201361,0.10785055265407777,24.583768850959,0.22337699696572957
2025 KR29,nan,MBO,MBO,21165827729537362,745297392041460027,7.4908876,2.77941,1.810063,228.40382894913105,-38.78183836935174,2025052300240,21,60819.100906042106,z,228.40373172637072,-38.78186259286905,9.753963470458984,3953.74,396.455,False,4991.14,24.5789,4823.16,370.266,False,852.967,80.9053,22.407479736467963,0.10887047037528898,22.154500590587517,0.005346714418514783,22.191670792001847,0.08335016442019484,24.072669452238998,0.10298383341813647
2025 KR29,nan,MBO,MBO,21165827729537362,745297392442541374,7.4910707,2.779406,1.8100607,228.40345159704975,-38.78173903982975,2025052300243,18,60819.102363017635,z,228.40342040828835,-38.78174896840567,11.506032943725586,4152.08,356.452,False,4027.05,9.12062,4120.6,330.011,False,24.0744,135.005,22.354335697898726,0.09320938658942796,22.387532432192735,0.0024590176377866273,22.36259882877496,0.08695453752675128,27.946111322031722,6.088617865479279
2025 KR29,nan,MBO,MBO,21165827729537362,745297393541973055,7.4915757,2.7793956,1.8100545,228.40241283347044,-38.78146532727183,2025052300251,67,60819.10637334062,z,228.40238620123876,-38.78150133977959,10.423470497131348,4284.48,394.105,False,3981.01,7.33793,4089.49,369.657,False,-258.888,130.444,22.320254705249198,0.09987071496542327,22.400016826084645,0.0020012651234941805,22.370827126215076,0.09814182287999844,nan,nan
2025 KR29,nan,MBO,MBO,21165827729537362,745297394507187312,7.4920187,2.7793863,1.8100492,228.4015015461012,-38.781224858844894,2025052300258,116,60819.10989085356,z,228.40146968287883,-38.78128375467408,9.106698036193848,3535.39,382.261,False,3430.48,2.94243,3627.88,363.364,False,51.9949,231.908,22.528906710072313,0.11739429175669801,22.561612776944582,0.0009312699156372995,22.500867751587258,0.10874601086404614,27.110098137026966,4.842607989510369
2025 KR29,nan,MBO,MBO,21165827729537362,745297394929763191,7.492206,2.7793825,1.8100469,228.4011164484517,-38.78112314140365,2025052300261,154,60819.111376135515,z,228.4010280483482,-38.78113350295889,7.019643306732178,2431.53,347.904,False,2774.35,4.35889,3293.64,333.064,False,738.325,233.718,22.93530090635878,0.1553474376283735,22.79209683951367,0.0017058426587977754,22.605809714506,0.10979331379853027,24.229381046878636,0.3436915892410436
2025 KR29,nan,MBO,MBO,21165827729537362,745297395525878070,7.4928684,2.7793686,1.8100389,228.3997530464943,-38.780762540022174,2025052300266,11,60819.11663625539,r,228.39968749542032,-38.78078434217965,14.098905563354492,2569.6,177.195,False,2718.95,0.964619,2973.67,171.245,False,350.525,63.5188,22.87533614974072,0.0748704185253432,22.813996966439422,0.00038519346444455496,22.716768099844504,0.062524387698392,25.0382025239557,0.19674676776632347
2025 KR29,nan,MBO,MBO,21165827729537362,745297396062749322,7.493116,2.7793634,1.810036,228.3992438732496,-38.78062767552451,2025052300270,11,60819.11860076864,r,228.39917056905298,-38.780631066839454,18.970312118530273,2997.79,154.332,False,3008.4,1.27246,2856.79,147.245,False,-169.067,41.4926,22.70799696947129,0.05589578941971229,22.704161085229686,0.00045923278765870243,22.760304192731734,0.05596113819433087,nan,nan
2025 KR29,nan,MBO,MBO,21165827729537362,745297396626883529,7.494574,2.779333,1.8100184,228.3962426024894,-38.77983050690536,2025052300274,63,60819.13017313418,r,228.39619736957604,-38.779856030598296,22.2669620513916,2889.23,127.045,False,2876.67,1.39312,2929.66,121.511,False,-115.247,76.6992,22.74804471818869,0.047741908770818985,22.752774918903178,0.0005258027223855997,22.732956978864436,0.045032153102148094,nan,nan
