provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KS29,nan,MBO,MBO,21165827729537363,745306294157050226,7.480695,2.9070706,1.9426073,228.41024955221232,-39.14044905341772,2025052501030,3,60821.299308234506,g,228.410281368973,-39.14048720126743,13.981428146362305,3095.21,221.971,False,3044.29,3.02443,31249.6,216.881,False,28206.7,9.72075,22.67327471411872,0.07786287411623904,22.691284933331374,0.0010786531990381175,20.162888856884003,0.00753531415407409,20.274119331310906,0.00037417246070395094
2025 KS29,nan,MBO,MBO,21165827729537363,745315055926510055,7.7487574,2.9031703,1.9419036,227.9911517113769,-38.93212674276631,2025052700774,72,60823.17480608987,i,227.99123353515094,-38.93208529282821,13.492425918579102,4925.56,365.344,False,5588.4,1.84628,5628.33,363.918,False,944.72,7.27886,22.168860952749384,0.08053240584029488,22.031781309022147,0.00035870250019340153,22.024051102318207,0.07020180797562256,23.961742259681635,0.008365359235021425
2025 KS29,nan,MBO,MBO,21165827729537363,745315056064397454,7.748836,2.9031692,1.9419035,227.99103928136304,-38.93207062098127,2025052700775,79,60823.17529632947,i,227.99107209223365,-38.932049848561476,16.34395980834961,5307.65,325.126,False,5876.43,0.37274,5917.57,321.97,False,757.873,7.72082,22.08774432835409,0.06650798064872565,21.977216049507966,6.886788430797884e-05,21.969641522304126,0.059073994486831094,24.20100893239402,0.011060921693833775
2025 KS29,nan,MBO,MBO,21165827729537363,745315056197566809,7.748915,2.9031682,1.9419035,227.990927083984,-38.93201460669787,2025052700776,77,60823.175785560736,i,227.99096131038826,-38.932014347722316,15.213025093078613,4945.24,322.875,False,5391.95,6.67386,5906.07,320.611,False,983.444,7.58301,22.164531515005624,0.07088777501131568,22.070635319928527,0.0013438646954013929,21.971753557288825,0.05893918840902175,23.91812594582258,0.008371751685946052
2025 KS29,nan,MBO,MBO,21165827729537363,745315057652466062,7.7498093,2.9031568,1.941903,227.9896564322919,-38.93137963023262,2025052700787,36,60823.181324098354,i,227.989680792556,-38.93139075357502,16.6987361907959,5112.35,304.0,False,5577.44,3.2502,5460.69,298.058,False,570.516,7.53425,22.128448532530037,0.064562050708888,22.033912743895065,0.0006327024380021208,22.056881205135767,0.05926217754520285,24.50933044517253,0.01433826201305272
2025 KS29,nan,MBO,MBO,21165827729537363,745315057769382294,7.7498875,2.9031556,1.9419029,227.98954542350532,-38.93132410295963,2025052700788,3,60823.18180886337,i,227.9895486614393,-38.931323713960204,14.673775672912598,4664.34,313.393,False,5261.93,2.90881,5164.59,313.239,False,304.118,7.54548,22.228024536012605,0.07294968712566922,22.097137297920593,0.000600198048243412,22.117410407853217,0.06585129665192134,25.192394644703867,0.026938228793797692
2025 KS29,nan,MBO,MBO,21165827729537363,745315058579407363,7.7503767,2.9031494,1.9419026,227.9888500961873,-38.9309760984798,2025052700794,12,60823.18484059785,i,227.98886401793774,-38.93096097958388,15.399099349975586,4748.32,307.119,False,4739.01,0.858948,4070.13,301.833,False,-315.136,7.49146,22.208650091808607,0.07022488307965474,22.210780990884604,0.00019679025353271895,22.37597932921659,0.08051610975781023,nan,nan
2025 KS29,nan,MBO,MBO,21165827729537363,745315058723062202,7.7504573,2.9031484,1.9419026,227.9887354455748,-38.9309186840965,2025052700795,30,60823.18534069705,i,227.98873663884208,-38.93090774474952,14.854413032531738,4626.54,309.464,False,4882.68,1.44763,4494.5,307.534,False,-290.3,7.80823,22.236859187508365,0.07262365706753346,22.178354304609325,0.00032190196724050517,22.268296538091064,0.07429097658984851,nan,nan
2025 KS29,nan,MBO,MBO,21165827729537363,745315059787890969,7.7510967,2.90314,1.9419023,227.9878261869548,-38.930463015654496,2025052700803,13,60823.18930601212,i,227.98786700214617,-38.930485527602606,14.967157363891602,4740.49,314.651,False,4921.81,11.293,4326.04,310.523,False,-370.838,7.40227,22.210441859382954,0.07206596084649051,22.16968787626626,0.002491201215525695,22.309773663315227,0.07793410869960628,nan,nan
2025 KS29,nan,MBO,MBO,21165827729537363,745315059956187407,7.7512345,2.9031384,1.9419023,227.98763066135808,-38.93036495171496,2025052700804,78,60823.19015996641,i,227.98763439197285,-38.930411638886156,13.97998046875,4851.16,345.608,False,5185.99,3.95763,4297.65,340.802,False,-277.617,7.17287,22.1853859683372,0.07735038795330512,22.112920763440886,0.0008285673312045353,22.316922415383353,0.08609846790283342,nan,nan
2025 KS29,nan,MBO,MBO,21165827729537363,745315060111900990,7.751313,2.9031372,1.9419022,227.98751903651367,-38.93030895496447,2025052700805,119,60823.19064699408,i,227.987538185012,-38.930309383118896,14.866729736328125,4715.19,314.298,False,4929.01,6.84937,4335.0,312.278,False,-205.456,7.43915,22.216252019860043,0.07237136285702367,22.168100803490827,0.001508743002221114,22.307527245469426,0.07821258292593833,nan,nan
2025 KS29,nan,MBO,MBO,21165827729537363,745315060225671764,7.7513924,2.9031363,1.9419022,227.9874064993344,-38.930252491391016,2025052700806,80,60823.19113763813,i,227.98744051261406,-38.93022845546207,16.606096267700195,4992.25,302.682,False,5143.61,3.67314,4775.08,297.838,False,-132.303,7.56654,22.154259185867225,0.06582859699546796,22.121829948892355,0.0007753428510966644,22.202548352244463,0.06772106608597214,nan,nan
2025 KS29,nan,MBO,MBO,21165827729537363,745319428181721427,7.9294834,2.900897,1.9419264,227.75102933899137,-38.80584917994963,2025052800582,31,60824.26899681099,g,227.75104467346557,-38.805892664942036,11.997124671936035,1976.99,167.714,False,1963.92,1.68251,2030.44,167.036,False,-196.991,3.54777,23.159988823930007,0.09210626641921203,23.167190493485954,0.0009301611068237102,23.13102463006378,0.0893190801144978,nan,nan
2025 KS29,nan,MBO,MBO,21165827729537363,745319428338483600,7.929569,2.900896,1.9419266,227.75091987363575,-38.80579040553461,2025052800583,74,60824.269487192854,g,227.75097491918882,-38.805803207081716,12.723594665527344,2163.86,169.629,False,2227.14,0.486544,2081.61,170.791,False,-209.707,3.40101,23.06192704899982,0.08511287012481482,23.030631257295212,0.00023719140944320364,23.10400153006574,0.08908199085087969,nan,nan
2025 KS29,nan,MBO,MBO,21165827729537363,745319428476371210,7.929654,2.9008949,1.9419267,227.75081064154543,-38.80573174558924,2025052800584,81,60824.26997758447,g,227.75083219322931,-38.80575105761744,12.034035682678223,2028.18,168.065,False,2122.54,3.12725,1928.35,168.62,False,-214.251,3.30666,23.132233731751555,0.08996945688797557,23.08286027146162,0.001599672296499703,23.187035358302357,0.09493963018265954,nan,nan
2025 KS29,nan,MBO,MBO,21165827729537363,745319428875354675,7.9299097,2.900892,1.9419271,227.75048278481572,-38.80555561490389,2025052800587,74,60824.27144834303,g,227.75045343908374,-38.80557740360443,13.246867179870605,2206.92,166.164,False,2347.63,3.16393,2149.63,168.451,False,-192.783,3.54358,23.040533562336858,0.08174753897032525,22.973425927549876,0.0014632601627426172,23.069090773105472,0.08508132272617723,nan,nan
2025 KS29,nan,MBO,MBO,21165827729537363,745319429930221944,7.9305882,2.900884,1.9419283,227.7496131206024,-38.80508794448217,2025052800595,38,60824.27535262045,g,227.7496143342438,-38.80511197182918,16.467060089111328,2270.41,137.203,False,2310.46,0.981089,2168.7,134.553,False,-161.205,4.37657,23.009739314621136,0.06561205837226854,22.99075388294063,0.0004610354046311267,23.05950132577869,0.06736250292279303,nan,nan
2025 KS29,nan,MBO,MBO,21165827729537363,745319430047137999,7.930674,2.9008827,1.9419284,227.749503569422,-38.805028983707295,2025052800596,5,60824.27584403583,g,227.74952675325582,-38.805045360473144,14.154433250427246,2415.83,169.414,False,2481.26,11.0841,2387.32,169.728,False,-201.578,3.56965,22.942334039704974,0.0761390118654737,22.91331930970461,0.0048501198462205216,22.955223377908588,0.07719108700907847,nan,nan
