provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KT31,nan,MBO,MBO,21165827729600852,745288582398738486,8.072624,2.596112,1.6259979,228.5353702852288,-39.507696747631286,2025052100139,33,60817.223832008545,g,228.53528570287557,-39.507696087867565,6.075402736663818,1122.72,180.272,False,1863.25,37.7194,4247.39,171.293,False,3142.64,9.90168,23.774321380369948,0.17433362339454891,23.22432217524428,0.021979507082548796,22.329694614510373,0.04378665602639749,22.656763452185764,0.00342088588685159
2025 KT31,nan,MBO,MBO,21165827729600852,745288582531384021,8.0726595,2.596111,1.6259972,228.53525340725568,-39.5076477579555,2025052100140,30,60817.224314639956,g,228.5350860544678,-39.50759759747624,5.31687593460083,987.652,178.901,False,1036.47,19.7408,3895.62,172.065,False,2816.37,10.0889,23.913490155891388,0.19666775164234512,23.86110819014057,0.020679134762983796,22.423558500282496,0.047955703354696226,22.775775680918386,0.0038893622356428142
2025 KT31,nan,MBO,MBO,21165827729600852,745288582935609890,8.072794,2.5961075,1.6259947,228.5348157757752,-39.50746422978962,2025052100143,33,60817.22611979296,g,228.5346515936983,-39.507306117527776,6.720473766326904,1224.94,183.166,False,1390.91,21.6091,2397.37,172.897,False,1000.92,9.05172,23.679713010402235,0.16235078256165786,23.541752399539824,0.01686793683041989,22.950662280952926,0.07830269289425895,23.899001600431568,0.009818746677042151
2025 KT31,nan,MBO,MBO,21165827729600852,745288585908847341,8.07465,2.5960577,1.625959,228.52877002274977,-39.50491338341407,2025052100165,72,60817.25109657977,r,228.52871612603792,-39.50487378819105,7.020199298858643,2023.1,286.54,False,2207.64,19.408,1210.12,263.073,False,-559.316,17.4628,23.13495663789199,0.15377730470231535,23.040179416828117,0.009545021069760042,23.69292890761094,0.23603269066395086,nan,nan
2025 KT31,nan,MBO,MBO,21165827729600852,745297390723400440,8.243611,2.5923882,1.6236173,228.10694500170692,-39.31513701463656,2025052300230,67,60819.090099383415,i,228.10694982012632,-39.31515559560338,5.448209762573242,1234.5,216.813,False,nan,nan,1437.24,212.469,False,175.733,76.9547,23.67127226433012,0.19068588708446568,nan,nan,23.506176768369805,0.16050574774878124,25.787866681716487,0.4754513920110093
2025 KT31,nan,MBO,MBO,21165827729600852,745297395667436072,8.246771,2.5923345,1.6235875,228.1005215205796,-39.31230483537099,2025052300267,25,60819.11712660639,r,228.10049783172397,-39.312278294088124,8.222336769104004,1435.23,173.147,False,1420.28,6.62478,1326.47,165.976,False,-44.7781,14.9713,23.507696255607552,0.13098386505958942,23.519065048921764,0.0050643278364306335,23.593256443370258,0.13585392360770768,nan,nan
2025 KT31,nan,MBO,MBO,21165827729600852,745297396069564904,8.246943,2.5923314,1.6235858,228.1001708175916,-39.312149644831685,2025052300270,24,60819.11860076864,r,228.1001360665434,-39.312111751783746,6.333216190338135,946.29,146.158,False,972.167,10.5511,1164.59,140.656,False,183.664,54.8009,23.95993939853175,0.167695992844345,23.930647821335608,0.011783686465602166,23.73456739030045,0.13113226325166352,25.739939894989696,0.3239574449647797
2025 KT31,nan,MBO,MBO,21165827729600852,745297397614117781,8.248713,2.5923014,1.6235696,228.0965682810408,-39.31055168676844,2025052300281,154,60819.133735245785,r,228.09650478553235,-39.31052245702891,8.793791770935059,1178.91,133.543,False,1246.65,7.64767,1264.68,126.994,False,50.9916,61.1642,23.7212983395738,0.12298857842675585,23.660638625322115,0.006660531675120649,23.64504832749052,0.10902519317905306,27.13125340084357,1.3023357992654396
2025 KT31,nan,MBO,MBO,21165827729600852,745297398018343670,8.248889,2.5922983,1.623568,228.0962092154866,-39.31039202269061,2025052300284,157,60819.13524325666,r,228.09615460023664,-39.310385579105706,7.9666523933410645,1227.46,151.237,False,1245.12,3.36917,1203.02,143.538,False,-53.6487,72.2575,23.67748166354712,0.13377502411031517,23.66197198144866,0.0029378933834250114,23.699317863696084,0.12954430909855766,nan,nan
2025 KT31,nan,MBO,MBO,21165827729600852,745297398823650098,8.249244,2.5922923,1.6235648,228.09548698878623,-39.31007064658898,2025052300290,157,60819.13827605197,r,228.0954453872188,-39.310041766665236,10.105303764343262,1356.25,134.674,False,1514.51,4.4572,1368.43,127.093,False,-4.08091,78.5273,23.569150622018487,0.10781230102555067,23.449319629909013,0.0031953195656118523,23.559443490818627,0.10083779847958554,nan,nan
2025 KT31,nan,MBO,MBO,21165827729600852,745297399150281000,8.249746,2.5922837,1.6235603,228.09446344692336,-39.30961466272448,2025052300293,12,60819.142574563484,g,228.09445328994533,-39.30961367134164,8.055665969848633,736.188,91.2438,False,700.633,3.68979,793.119,89.2936,False,33.1926,38.4357,24.232528182062175,0.13456711569275662,24.286273534688434,0.005717884580701066,24.151654089640996,0.12223801758051649,27.597396810971652,1.257238967343512
2025 KT31,nan,MBO,MBO,21165827729600852,745297399285023349,8.249804,2.5922828,1.6235597,228.09434627477185,-39.309562422805065,2025052300294,13,60819.143066219345,g,228.09428340020406,-39.30954367744362,9.6250581741333,890.7,90.6111,False,1051.4,6.93204,903.406,90.8926,False,-16.1798,36.9086,24.025671354330733,0.1104521720589896,23.845580043082617,0.007158423871977965,24.01029256641875,0.10923702856145315,nan,nan
2025 KT31,nan,MBO,MBO,21165827729600852,745297399688724496,8.2499895,2.5922797,1.623558,228.0939680788738,-39.30939375125432,2025052300297,15,60819.14465413257,g,228.09388569529568,-39.30938776353973,9.636709213256836,870.281,90.2293,False,877.497,3.67261,974.45,86.6228,False,123.926,38.684,24.050851237449727,0.11256734164894866,24.04188588760138,0.004544158725433698,23.928101086541552,0.09651548248567388,26.167093897931803,0.33891690559231585
2025 KT31,nan,MBO,MBO,21165827729600852,745297400783962210,8.250466,2.5922716,1.6235539,228.09299754958445,-39.30896050151895,2025052300305,56,60819.14872900977,g,228.09293200592748,-39.30895327071317,9.250741004943848,879.121,96.0599,False,851.326,4.95123,899.522,93.3826,False,101.327,32.8298,24.039878399010444,0.11863635705725746,24.07476027130904,0.006314537313961526,24.014970559154015,0.11271416549805542,26.38568700113261,0.3517769286903499
