provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 MU324,nan,MBO,MBO,21165827765515349,745328180923466219,10.483297,2.37577,1.4189864,227.90505986311405,-40.5332739060124,2025053000259,33,60826.2273462717,r,227.90535588520783,-40.53336538155629,13.454093933105469,4472.77,328.149,False,4261.2,4.22721,4524.1,325.291,False,8.12389,19.4712,22.273558579415365,0.07965605966447815,22.326170154362078,0.0010770756548522274,22.261169486721208,0.07806639817618835,29.125589924552862,2.6022740354749216
2025 MU324,nan,MBO,MBO,21165827765515349,745328181595079259,10.483817,2.3757687,1.418991,227.90441860451764,-40.53311165481686,2025053000264,34,60826.22954664577,r,227.90473103282397,-40.53319427468447,13.729909896850586,5295.17,379.528,False,5261.51,5.5104,5128.48,377.034,False,-255.803,18.772,22.09030024708359,0.07781946808762945,22.09722404798146,0.0011370957865818913,22.125028338640206,0.0798208167084135,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745328183338860696,10.485164,2.3757656,1.4190025,227.90275795804428,-40.53269039645079,2025053000277,32,60826.2352479729,r,227.90308203310934,-40.53276096441494,16.96645736694336,5017.67,297.64,False,5070.79,1.81268,4828.51,293.47,False,-175.55,19.0562,22.148744778350263,0.06440410487738717,22.13731092865119,0.00038812340779718115,22.190467214751163,0.0659895124587133,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745328183457349753,10.485267,2.3757653,1.4190034,227.9026310215555,-40.532658132117774,2025053000278,2,60826.23568348658,r,227.9029649983772,-40.53273000586382,14.725387573242188,5635.76,376.579,False,5574.79,3.02765,5586.98,373.254,False,-243.042,14.1929,22.022618819374706,0.07254841975582928,22.034428711548685,0.0005896597585348674,22.032057212054003,0.07253567766518808,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745328184008900741,10.485691,2.3757641,1.4190071,227.9021076555692,-40.532525008310095,2025053000282,30,60826.23748155938,r,227.90240444926394,-40.53260051116694,14.40199089050293,5765.52,392.07,False,5683.62,14.8114,6256.04,387.376,False,-78.2633,14.7284,21.997903788820977,0.0738328199901556,22.013437393065953,0.0028294068464376006,21.90925120106607,0.06722913426310322,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745328191259279567,10.496243,2.3757386,1.4190997,227.88911314892815,-40.52917052837087,2025053000336,35,60826.282326506625,g,227.88942204254462,-40.529251084072854,16.59009552001953,3751.1,224.52,False,4136.79,2.56612,3789.52,225.034,False,-56.073,6.38984,22.464603366496203,0.06498613499633667,22.358341302420726,0.0006735002900689649,22.453539485679922,0.06447453929026899,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745328191375671779,10.496345,2.3757384,1.4191005,227.88898713597183,-40.52913754286525,2025053000337,1,60826.282763064504,g,227.8893170862558,-40.529211096932364,15.312100410461426,3348.07,215.16,False,3339.36,1.48797,3287.3,216.542,False,-87.9937,7.438,22.588013654188423,0.06977363108362789,22.590841863240506,0.00048378816381037463,22.60790163453037,0.07151993850371308,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745328191660884495,10.496552,2.375738,1.4191024,227.88873226552985,-40.529070801076585,2025053000339,33,60826.28364791499,g,227.88906290907534,-40.529164290526204,16.8123836517334,3146.28,187.053,False,3066.03,2.89715,3137.37,185.38,False,-111.03,8.6931,22.655506565878962,0.06454931082363465,22.68355898973961,0.0010259327725536415,22.65858561083411,0.06415366227811863,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745332590399455548,10.728883,2.375184,1.4210994,227.6193789414099,-40.458957306722645,2025053100344,73,60827.25424223657,r,227.61970889419976,-40.45905240993018,6.193140029907227,5576.84,878.16,False,5289.91,67.0657,5764.91,877.119,False,169.841,109.216,22.034029568605394,0.1709660135714641,22.091379259881883,0.013765007886985252,21.99801864154285,0.1651924919062769,25.824893632573826,0.6981810438204867
2025 MU324,nan,MBO,MBO,21165827765515349,745332590644297942,10.729099,2.3751836,1.4211015,227.6191312096745,-40.458889074382505,2025053100346,28,60827.2551153291,r,227.61939233778364,-40.45896094404763,6.295305252075195,5797.39,897.081,False,5313.74,62.4281,5795.98,904.065,False,231.508,99.2397,21.99191868174387,0.1680054801279969,22.086499200432996,0.012755694861024165,21.99218280816907,0.16935464027016814,25.48858501283138,0.4654186361992937
2025 MU324,nan,MBO,MBO,21165827765515349,745337014394028144,10.930682,2.3747206,1.4229337,227.40051906718165,-40.39795470089807,2025060100537,157,60828.06622010711,i,227.4008004488641,-40.398034130072446,22.308866500854492,5045.68,210.661,False,5756.28,5.16919,6566.95,201.866,False,1528.98,47.809,22.14270070256799,0.04533031459753593,21.999645263125743,0.0009750006715628592,21.856590693628117,0.03337519172147145,23.438995502343744,0.033949404715591616
2025 MU324,nan,MBO,MBO,21165827765515349,745337014528246542,10.930798,2.3747203,1.4229348,227.4003963761488,-40.39792227131601,2025060100538,157,60828.066657298594,i,227.40066864930364,-40.39799411399084,26.536279678344727,4746.61,170.917,False,4961.5,0.353418,5758.25,165.553,False,888.194,72.177,22.20904115663578,0.03909543618254502,22.160967510771272,7.733925425172235e-05,21.999273709332783,0.031215539295268276,24.028730449340692,0.08822980885079795
2025 MU324,nan,MBO,MBO,21165827765515349,745337014929326470,10.931144,2.3747196,1.4229378,227.40002630921697,-40.3978244187294,2025060100541,154,60828.067975891696,i,227.40029138040558,-40.39789915054238,25.876176834106445,4902.24,181.415,False,4936.72,1.44149,5231.16,177.577,False,255.006,58.3173,22.174013524882955,0.04017935002767555,22.166403713545577,0.00031702787933219625,22.103504958719945,0.036856408094436265,25.383624016514336,0.24829691688047983
2025 MU324,nan,MBO,MBO,21165827765515349,745337015283745620,10.931497,2.374719,1.4229409,227.39964917956885,-40.39772464133288,2025060100544,62,60828.069318530775,i,227.39992866859723,-40.39780659885051,24.333768844604492,4474.08,178.344,False,4600.25,1.48182,4793.87,172.041,False,343.936,72.6838,22.27324061766565,0.04327918319709573,22.243046414997035,0.00034973438598829356,22.19828434177223,0.038964581483068986,25.05880589515406,0.22944801305108783
2025 MU324,nan,MBO,MBO,21165827765515349,745337016520016408,10.932555,2.3747165,1.42295,227.3985181023392,-40.3974250398295,2025060100553,116,60828.07334546283,i,227.39879509406117,-40.39750637126989,25.3181209564209,4625.8,180.008,False,4707.25,0.180341,5000.63,172.286,False,338.973,80.5549,22.237032916376137,0.04225024995174924,22.218081839724643,4.159599738364771e-05,22.15243822045974,0.037406716204302415,25.07458725830669,0.258018705615985
2025 MU324,nan,MBO,MBO,21165827765515349,745337017325323157,10.936254,2.3747087,1.4229825,227.3945630839821,-40.39637311560672,2025060100559,116,60828.08741744871,i,227.39486133473662,-40.39644488850282,22.310583114624023,4375.62,190.821,False,4178.61,2.13295,5808.19,188.639,False,1271.21,55.0174,22.297400974096696,0.04734900696396994,22.34742043737994,0.0005542085016353782,21.98989797407406,0.03526265535610608,23.63945678186473,0.046990177580017
2025 MU324,nan,MBO,MBO,21165827765515349,745337019335443281,10.941346,2.3746974,1.4230275,227.38911354191652,-40.3949119335344,2025060100574,110,60828.10679039168,i,227.3893787900814,-40.39498885978111,27.053131103515625,5529.71,203.493,False,5267.83,0.708848,5440.94,199.763,False,-155.322,35.3459,22.04324411824266,0.039955027472863565,22.0959206057842,0.00014609847420903307,22.06081516982438,0.03986258336554733,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745337019582906556,10.943286,2.3746934,1.4230448,227.38703652077544,-40.394351197909145,2025060100576,70,60828.11417181953,z,227.38730316492698,-40.39444119805849,16.800249099731445,5949.54,344.511,False,5934.1,3.59179,5903.74,326.678,False,-136.526,66.8262,21.96379152106457,0.06287007875188935,21.9666128304654,0.0006571740173264094,21.972181899498537,0.06007820934269151,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745337019717124854,10.9434,2.3746932,1.4230459,227.38691354257767,-40.39431792856518,2025060100577,70,60828.11460844806,z,227.3872004299763,-40.394393867106324,16.82097625732422,5890.99,340.381,False,6114.9,7.41557,5897.97,324.438,False,-199.375,73.5153,21.97452924300748,0.06273376349256991,21.934026619347474,0.0013166777412694697,21.9732435624894,0.05972462681980139,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745337019827749481,10.943522,2.3746927,1.423047,227.3867832470884,-40.39428267118928,2025060100578,25,60828.11507167827,z,227.38706127005355,-40.39435425513505,17.441173553466797,5808.88,328.389,False,5548.62,2.04631,5237.26,306.605,False,-291.11,147.456,21.9897690096491,0.06137910267632017,22.039537519671548,0.00040041537350573545,22.10223971190482,0.06356227796319627,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745337020118204881,10.943778,2.3746922,1.4230492,227.38650914687935,-40.39420847234175,2025060100580,67,60828.11604567485,z,227.3867848654767,-40.39428618724901,16.909494400024414,5967.3,347.696,False,5717.27,9.96547,5566.72,329.739,False,-410.193,111.834,21.96055535525963,0.06326247439290822,22.007028240286786,0.0018924892265744981,22.03600151481374,0.06431248049976575,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745337020514042055,10.944138,2.3746915,1.4230524,227.38612444752312,-40.39410426880743,2025060100583,54,60828.1174126019,z,227.38641081756754,-40.39417493979007,16.074655532836914,5869.95,360.645,False,5782.12,0.671979,5578.07,339.107,False,-175.288,55.1781,21.97841395897326,0.06670675365345166,21.994782226453324,0.00012618069589041242,22.033790134244878,0.06600504349313886,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745337021726720249,10.945231,2.374689,1.4230622,227.384953178788,-40.39378653213765,2025060100592,63,60828.12157495939,z,227.38524029853096,-40.39387915473286,16.32876205444336,6457.96,392.548,False,6522.56,4.2165,6066.23,372.175,False,-409.499,34.659,21.87476162979211,0.06599662784991187,21.863954783253995,0.0007018726473973103,21.942702822289235,0.06661202428085601,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745337022445519238,10.945862,2.3746877,1.4230679,227.3842777788824,-40.39360298434679,2025060100597,154,60828.123974499824,z,227.38454322371337,-40.39368461216515,16.876127243041992,6224.09,361.295,False,5751.23,5.02603,6755.72,340.378,False,501.909,50.0323,21.91481036750284,0.06302464882812862,22.000598163664566,0.0009488305675163088,21.825820862104838,0.05470337670562664,24.648437549094744,0.10823053351671298
2025 MU324,nan,MBO,MBO,21165827765515349,745337022914756795,10.946361,2.3746867,1.4230723,227.3837430967514,-40.39345750626096,2025060100601,25,60828.12587480736,z,227.384012963885,-40.39350410277231,14.93735408782959,6474.61,431.147,False,6313.61,3.86261,12497.2,408.867,False,6047.44,27.7265,21.87196598870704,0.07229963207104499,21.89930564490383,0.000664243708923192,21.157968182664312,0.035521693072393265,21.946071090071417,0.0049779187048499245
2025 MU324,nan,MBO,MBO,21165827765515349,745337023977488578,10.961074,2.3746545,1.423207,227.3679770339789,-40.38909531089976,2025060100609,4,60828.18196958663,g,227.36822822349265,-40.38927697763856,10.43415355682373,3257.46,323.981,False,nan,nan,17295.7,330.521,False,14108.2,5.96669,22.617802284280785,0.1079853296903822,nan,nan,20.805154689832854,0.020748430424985163,21.026320965809028,0.0004591834064446794
2025 MU324,nan,MBO,MBO,21165827765515349,745337024112230575,10.961188,2.3746543,1.4232081,227.36785447666355,-40.38906082578352,2025060100610,5,60828.18240609738,g,227.36810180302263,-40.389139903269324,11.927895545959473,4384.6,374.851,False,4787.02,11.4353,24560.6,378.376,False,19993.8,5.50604,22.295175027011144,0.0928224484192406,22.199836890688395,0.0025936217175001773,20.42440258691918,0.016726649040842097,20.64776159881921,0.00029899803157939624
2025 MU324,nan,MBO,MBO,21165827765515349,745337024260604280,10.961304,2.374654,1.4232092,227.3677305232145,-40.38902593845972,2025060100611,32,60828.18284814872,g,227.36796893687358,-40.389062141774914,12.076313972473145,2941.31,236.997,False,3334.2,8.46196,9431.64,237.245,False,6478.05,12.3931,22.728647979671926,0.08748354022486647,22.592520897977646,0.002755520453126468,21.463532001357045,0.02731078478375382,21.871389293401123,0.002077112330296771
2025 MU324,nan,MBO,MBO,21165827765515349,745337024514359640,10.961535,2.3746536,1.4232113,227.3674820733152,-40.38895598260226,2025060100613,4,60828.1837349714,g,227.36773796596773,-40.38903313582776,15.072847366333008,3472.45,224.921,False,3700.64,1.82699,6616.58,227.515,False,3146.54,9.26833,22.548410012706263,0.07032639261713312,22.47930793457052,0.0005360232974248038,21.84841606755456,0.037333678281857303,22.655416843937694,0.003198103599996358
2025 MU324,nan,MBO,MBO,21165827765515349,745337024936935537,10.9619,2.3746529,1.4232148,227.36709150142775,-40.38884593290615,2025060100616,42,60828.185127137534,g,227.36737202572112,-40.388906695861834,15.403014183044434,3802.66,241.138,False,3663.15,7.66097,4675.12,240.867,False,911.521,7.54043,22.44978128409049,0.06884976924688499,22.490363272251646,0.002270666760420013,22.225518065956436,0.055938247712896065,24.000583308244842,0.008981601038716222
2025 MU324,nan,MBO,MBO,21165827765515349,745337026126020630,10.96294,2.3746505,1.4232244,227.3659773275941,-40.38853148071588,2025060100625,6,60828.18910271475,g,227.36625054635465,-40.38860355311465,13.213533401489258,3673.54,273.951,False,3775.51,1.50226,3600.54,279.501,False,-154.02,9.06462,22.48728805570585,0.08096781406315504,22.45756093494386,0.0004320099890757979,22.50908088808515,0.08428301292608717,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745337026681241822,10.963412,2.3746495,1.4232289,227.36547156835917,-40.388388487622,2025060100629,41,60828.19090764866,g,227.3657488172617,-40.388479768273534,13.278203010559082,3124.62,232.924,False,3051.83,8.02053,2991.81,236.179,False,-174.671,7.93833,22.663006938630005,0.08093592369590887,22.68859912747037,0.002853428698434518,22.710164955096403,0.08571001735045074,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745337026801303695,10.963527,2.3746493,1.4232299,227.3653485777812,-40.38835369059024,2025060100630,14,60828.19134663328,g,227.36563745497338,-40.38843769309039,15.086974143981934,3141.57,207.402,False,3128.7,1.83955,3067.87,207.886,False,-166.397,11.1422,22.657133123761177,0.07167876177188376,22.661590211500634,0.0006383693184113585,22.68290757708045,0.0735720059075512,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745337027346039025,10.964007,2.3746483,1.4232345,227.3648337157921,-40.38820792167435,2025060100634,29,60828.19318470171,g,227.36512093669836,-40.38829067283744,10.840424537658691,3144.7,286.833,False,2955.18,4.61054,3024.79,290.621,False,-142.149,8.04983,22.65605196518656,0.09903169972882464,22.72354017787082,0.001693917197265251,22.698261914546322,0.10431723851036634,nan,nan
2025 MU324,nan,MBO,MBO,21165827765515349,745337027735585256,10.964714,2.3746467,1.4232411,227.36407592790383,-40.38799307516411,2025060100637,4,60828.19589091322,g,227.3643399299815,-40.38806060040364,19.17049217224121,3339.56,171.314,False,3297.46,5.58717,2661.62,167.881,False,4.08808,11.362,22.590776854460298,0.05569650010243666,22.604551172812197,0.00183965626806388,22.837134824052523,0.06848252875588061,29.871201553870563,3.017586612038661
