provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 MW119,nan,MBO,MBO,21165827764140375,745345747995066936,11.474623,2.2770503,1.3238376,228.27066805244888,-39.63607046013876,2025060300072,3,60830.14434140123,i,228.2708783395927,-39.63626041615491,10.586915016174316,2669.22,248.696,False,2681.18,11.3001,2500.03,233.495,False,-191.482,30.1179,22.83403908620748,0.10115998427047829,22.829185099790543,0.004575943560197451,22.9051369368403,0.1014043698906501,nan,nan
2025 MW119,nan,MBO,MBO,21165827764140375,745345748129808866,11.4747715,2.27705,1.3238391,228.2705315497652,-39.63607052670376,2025060300073,4,60830.144807851495,i,228.27071353239432,-39.63626209215967,10.578575134277344,2703.89,247.984,False,3062.77,2.74518,2550.26,235.885,False,-152.014,27.8793,22.820027494122012,0.09957698378006127,22.684714031815062,0.0009731521393582831,22.883538847885816,0.10042461463322763,nan,nan
2025 MW119,nan,MBO,MBO,21165827764140375,745350153457631815,11.779986,2.2767127,1.3269126,228.00216741922503,-39.63520824844426,2025060400127,68,60831.11643327834,i,228.0023986370327,-39.6353385243816,7.093358993530273,3100.5,441.477,False,3836.28,29.8979,3078.24,432.228,False,124.118,7.95874,22.671420660792574,0.15459685577647717,22.44022424753625,0.008461643004187154,22.679243810212398,0.15245256586655076,26.16541311090685,0.06961998002046964
2025 MW119,nan,MBO,MBO,21165827764140375,745350153701949860,11.78031,2.2767124,1.3269159,228.001884449378,-39.635206113313785,2025060400129,22,60831.11742234856,i,228.00204273171445,-39.63540374498964,11.35145092010498,4006.41,351.974,False,3791.7,3.45773,4556.65,344.634,False,549.518,8.40462,22.393111545831424,0.09538487629990065,22.45291509256628,0.0009901054290111966,22.253385844892946,0.08211770097016785,24.55004518255436,0.01660582604621159
2025 MW119,nan,MBO,MBO,21165827764140375,745350157730054331,11.785885,2.2767065,1.3269718,227.99699412112508,-39.63516244480447,2025060400159,25,60831.134517216386,z,227.99722958661124,-39.635307609580885,6.230072021484375,3626.01,574.822,False,3920.53,86.3359,4735.86,549.866,False,1081.99,18.4963,22.501427503372938,0.17211896225796178,22.416638038291847,0.023909525242113025,22.21150289277371,0.12606146959976522,23.814441892449974,0.018560340175967596
2025 MW119,nan,MBO,MBO,21165827764140375,745350158019985459,11.786221,2.276706,1.3269752,227.996698981252,-39.6351593994286,2025060400161,66,60831.13554982965,z,227.996950922612,-39.635308982041394,7.17529296875,4514.78,620.447,False,8006.67,63.9353,7585.65,607.635,False,2872.65,18.3398,22.263408570421525,0.1492081178742624,21.64137018771268,0.008669880171964352,21.700018012502802,0.08697096990691072,22.754293248581703,0.0069316433939807095
2025 MW119,nan,MBO,MBO,21165827764140375,745350158176747876,11.78638,2.276706,1.3269768,227.99655913738115,-39.63515794016673,2025060400162,109,60831.1360389287,z,227.99686415193233,-39.63522211021749,5.482166767120361,3785.24,703.585,False,4219.91,118.612,8740.38,650.943,False,5081.4,17.6297,22.454766450825645,0.2018122321047224,22.336741988152816,0.030517555450295993,21.546174228075344,0.08086060152850309,22.13504156274052,0.0037669153419924513
2025 MW119,nan,MBO,MBO,21165827764140375,745350158933295269,11.787632,2.2767045,1.3269894,227.9954610847846,-39.6351461180444,2025060400168,16,60831.139878965,z,227.9955731496378,-39.635396844105614,5.606070041656494,3721.87,652.285,False,3631.94,23.6882,13061.7,629.602,False,9562.45,18.1146,22.47309696649579,0.1902832148527185,22.4996533542124,0.007081377108972769,21.11000072201228,0.052334815884107495,21.448577034486604,0.00205676116630249
2025 MW119,nan,MBO,MBO,21165827764140375,745350159335948441,11.788147,2.276704,1.3269947,227.9950090555769,-39.63514106372629,2025060400171,16,60831.1414595869,z,227.9951353920574,-39.63527245828333,5.445030212402344,3450.4,634.659,False,3368.36,57.3636,8512.94,618.982,False,5499.44,18.0478,22.55532641788472,0.19970793814262275,22.58145371194371,0.01849022586600235,21.574801014060633,0.07894465692703968,22.049203841146927,0.003563117363693696
2025 MW119,nan,MBO,MBO,21165827764140375,745350159738601652,11.788651,2.2767036,1.3269998,227.9945662123472,-39.63513600609694,2025060400174,16,60831.14300832761,z,227.9946516190547,-39.635342439103944,7.704861164093018,4662.19,612.218,False,4640.9,25.991,5012.69,586.284,False,577.165,18.4972,22.228525092362375,0.14257404250872807,22.233494496496363,0.006080581233544635,22.149822894312578,0.1269876590812689,24.496750073671418,0.034796081717477716
2025 MW119,nan,MBO,MBO,21165827764140375,745416141482492405,16.764313,2.272227,1.3990742,224.84294812527983,-39.30634732903724,2025061900256,93,60846.18711265712,g,224.84296749674238,-39.30636617930251,7.7121357917785645,1114.94,146.711,False,1157.66,2.33295,1169.81,147.591,False,-20.4757,2.85069,23.781871315437208,0.14286818224928569,23.741047398924096,0.002188007125741649,23.72971162170559,0.13698368784766887,nan,nan
2025 MW119,nan,MBO,MBO,21165827764140375,745416141638205720,16.764467,2.272227,1.3990772,224.8428783520253,-39.30632878996565,2025061900257,134,60846.18758317418,g,224.84293168863513,-39.30632972129594,7.316413879394531,1181.22,161.344,False,1305.54,8.47449,1199.03,164.74,False,40.2171,2.37165,23.719173047738337,0.1483017729157469,23.610524511101524,0.007047704792252697,23.702924850020565,0.14917406901048955,27.388973170096538,0.06402715168001137
2025 MW119,nan,MBO,MBO,21165827764140375,745416141754073195,16.76462,2.2722268,1.3990802,224.84280903643497,-39.30631036236829,2025061900258,99,60846.188051312194,g,224.8429454509583,-39.30632255623409,6.081303596496582,987.198,162.636,False,1125.85,15.55,1090.46,165.076,False,34.7893,2.2285,23.91398933505503,0.17886968517902999,23.77129869315232,0.014995957327520449,23.80597569009889,0.1643609123954059,27.546385805008114,0.06954905907737692
2025 MW119,nan,MBO,MBO,21165827764140375,745416141998391706,16.764927,2.2722268,1.3990861,224.8426698526904,-39.306273329787125,2025061900260,53,60846.188991285606,g,224.84260604242775,-39.30628943135706,7.37740421295166,1116.72,151.786,False,1118.48,2.82311,1163.83,155.087,False,103.514,2.6334,23.780139292871837,0.14757464269920434,23.778429462199025,0.002740462863018965,23.735276171513036,0.14468056609815863,26.362502273221423,0.027621168958160955
2025 MW119,nan,MBO,MBO,21165827764140375,745416142117929138,16.76508,2.2722266,1.3990891,224.8426007250013,-39.30625492187322,2025061900261,25,60846.189458533816,g,224.84260298852396,-39.306209897557096,6.483338356018066,955.306,149.245,False,1050.95,7.47833,1149.53,151.856,False,117.634,3.00866,23.94964370201316,0.16962176458919637,23.846044914133557,0.007725861512267624,23.748699197812364,0.14342866733018744,26.22366781290662,0.027769276739481825
