provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2014 OS319,861834,MBO,MBO,21164723992410451,745350183405486100,23.595509,2.292093,1.6672642,321.3506514302352,-14.069116737691711,2025060400350,101,60831.29748852236,i,321.3506236567899,-14.069162561584783,13.11653995513916,4087.21,308.819,False,4569.13,5.01382,3918.66,292.624,False,-146.771,23.5335,22.371432629764058,0.08203541596511593,22.250416241112084,0.0011914054149927574,22.417156064769404,0.0810768146815334,nan,nan
2014 OS319,861834,MBO,MBO,21164723992410451,745350184324562953,23.594988,2.292085,1.6672177,321.35114605328374,-14.069042798876412,2025060400357,62,60831.30103390437,i,321.35115911752973,-14.069078274950789,13.827320098876953,4212.16,299.457,False,4131.99,2.95038,4199.29,283.506,False,-13.0045,26.538,22.338737810683803,0.07718873342957829,22.359601783927786,0.000775252189972322,22.34206032054122,0.073301138666626,nan,nan
2014 OS319,861834,MBO,MBO,21164723992410451,745350185261465638,23.594467,2.2920766,1.6671711,321.3516427841436,-14.068968378964064,2025060400364,57,60831.30459655767,i,321.3515919345425,-14.06899457968839,12.750958442687988,4161.56,322.644,False,4317.52,8.81656,3988.95,308.077,False,-125.097,22.4069,22.351859583391203,0.08417667428426912,22.311914100034265,0.002217119578789149,22.397853531728682,0.08385423541069353,nan,nan
2014 OS319,861834,MBO,MBO,21164723992410451,745350186481483866,23.593794,2.2920659,1.6671109,321.35228225602566,-14.06887232846681,2025060400373,80,60831.30918775888,i,321.35225235180724,-14.06888960643178,13.318747520446777,4038.14,302.068,False,3957.11,3.85853,4206.61,291.097,False,104.038,24.263,22.384546599858876,0.08121713590944117,22.406554663076122,0.0010586881973952736,22.340169410521376,0.07513283756613075,26.357019991886226,0.253207650629485
2014 OS319,861834,MBO,MBO,21164723992410451,745350187252187176,23.593328,2.2920587,1.6670694,321.35272357332013,-14.068805880322982,2025060400379,14,60831.31235878196,i,321.35273669388914,-14.068763073929784,11.96086597442627,4713.78,391.833,False,5462.5,17.8721,4732.37,376.241,False,190.485,17.4195,22.21657677595765,0.09025183657093654,22.056521375053805,0.0035522905128244644,22.212303241700333,0.08632006000861638,25.7003480408977,0.09928856413483875
2014 OS319,861834,MBO,MBO,21164723992410451,745350187466621006,23.593252,2.2920575,1.6670628,321.3527946634785,-14.068795164143172,2025060400380,167,60831.312869787,i,321.3527783760719,-14.068762079113734,9.426734924316406,3599.05,383.736,False,3791.38,2.93728,3654.21,370.919,False,193.243,19.5973,22.5095302848829,0.11576278584608271,22.453006746567976,0.0008411478861420943,22.493016257225463,0.11020718528205246,25.684740593588025,0.11010747132682579
2014 OS319,861834,MBO,MBO,21164723992410451,745350188084756525,23.592665,2.2920482,1.6670104,321.35335047133646,-14.068711263733777,2025060400385,66,60831.31686618617,g,321.3533407042084,-14.068758122180824,8.1024751663208,1555.87,190.322,False,1547.77,5.00197,1761.57,170.532,False,181.806,11.7731,23.42006673617111,0.13281282714482628,23.425733924812075,0.003508802763952064,23.285250269250746,0.1051066773372642,25.750979471956366,0.0703083551701304
2014 OS319,861834,MBO,MBO,21164723992410451,745350188897927247,23.592094,2.2920392,1.6669595,321.35389098105816,-14.06862947291401,2025060400391,81,60831.32075649434,g,321.353962703719,-14.068659595183387,8.728012084960938,1911.54,220.508,False,2087.81,32.0051,1937.59,200.058,False,41.1901,9.77088,23.196541502074986,0.12524640309649093,23.10077253603369,0.016643801449069018,23.181845308180293,0.11210329121499367,27.363017841395305,0.2575521174715357
2014 OS319,861834,MBO,MBO,21164723992410451,745350189720010829,23.591644,2.2920322,1.6669196,321.3543146352372,-14.068565227475798,2025060400397,113,60831.32380717937,g,321.354323425569,-14.06860015546125,7.60054349899292,2102.33,271.534,False,2878.6,36.3832,2122.0,254.412,False,156.851,9.24134,23.093247740448064,0.14023216143809197,22.752046660524783,0.013722836754345467,23.083136551086696,0.13017168808114257,25.91128178467161,0.06396935440404208
2014 OS319,861834,MBO,MBO,21164723992410451,745350189796556817,23.591568,2.292031,1.6669128,321.3543866786528,-14.068554290392484,2025060400398,3,60831.32432666166,g,321.3542912335909,-14.068431785239254,5.025846004486084,1452.3,280.259,False,1887.72,34.7111,2008.76,263.558,False,115.317,9.25467,23.494859120094823,0.20952099132037932,23.210156074086285,0.01996434864556275,23.142679865272623,0.14245329276350566,26.24526664839295,0.08713485713715403
