provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2006 GQ59,nan,Not a NEA or MBO,Not a NEA or MBO,21163632934336849,745284197532303399,10.138391,2.0374877,1.0592564,225.22153570628703,-37.795698427539016,2025052000237,84,60816.135274031665,u,225.22162384494757,-37.795715568709035,8.332067489624023,3187.21,368.052,False,3821.48,23.3812,3163.48,363.259,False,-343.61,9.21074,22.641473314901283,0.12537843086957323,22.444421028012986,0.00664292795948352,22.649587273882524,0.12467392028875361,nan,nan
2006 GQ59,nan,Not a NEA or MBO,Not a NEA or MBO,21163632934336849,745284205484704028,10.178297,2.0373335,1.0593464,225.15333898374556,-37.80945137165751,2025052000296,148,60816.27380867624,i,225.1534252913975,-37.809472316727614,28.864856719970703,11047.4,377.786,False,10436.5,0.335723,11222.0,380.36,False,-65.7214,21.8075,21.291849763958623,0.037128730290432704,21.35361280638469,3.4926137080766494e-05,21.274824339081405,0.03680008972887749,nan,nan
2006 GQ59,nan,Not a NEA or MBO,Not a NEA or MBO,21163632934336849,745284206033109265,10.178941,2.0373309,1.0593481,225.15223983661352,-37.809666648068365,2025052000300,170,60816.27605568517,i,225.15233193121625,-37.80969736728417,32.34237289428711,11639.4,356.051,False,10786.9,0.775063,11616.3,354.698,False,-56.2443,9.15999,21.235173480003606,0.03321283252573633,21.31775832912586,7.801258063013543e-05,21.23733046951947,0.033152420711397144,nan,nan
2006 GQ59,nan,Not a NEA or MBO,Not a NEA or MBO,21163632934336849,745284206286340205,10.17922,2.03733,1.0593488,225.1517625245484,-37.80976008843978,2025052000302,141,60816.277031280464,i,225.15185567465377,-37.809795435320986,25.210805892944336,12020.8,473.558,False,11548.8,2.05988,11912.6,473.442,False,-74.0177,19.3375,21.200166588901702,0.042772451843135786,21.24365786741336,0.0001936553019428915,21.209983637264724,0.04315037204301247,nan,nan
2006 GQ59,nan,Not a NEA or MBO,Not a NEA or MBO,21163632934336849,745284206412693743,10.179362,2.0373292,1.0593492,225.1515190038836,-37.80980775060798,2025052000303,126,60816.27752951379,i,225.15161334530987,-37.80983755902607,25.005489349365234,11874.8,471.07,False,10622.6,1.8215,11912.0,474.055,False,-89.2605,21.0245,21.213434258352983,0.04307085343246687,21.334422969471365,0.0001861755604655052,21.2100382881397,0.043208417444127394,nan,nan
2006 GQ59,nan,Not a NEA or MBO,Not a NEA or MBO,21163632934336849,745284206708392079,10.179682,2.037328,1.05935,225.1509743246177,-37.80991433086134,2025052000305,178,60816.2786430751,i,225.151059196775,-37.80995015745603,32.07892990112305,11855.0,368.556,False,11182.1,0.439358,11814.6,363.699,False,-207.102,11.1278,21.215246104214483,0.033754077808162364,21.278691608486774,4.265986708730977e-05,21.218952479489836,0.03342315360289514,nan,nan
2006 GQ59,nan,Not a NEA or MBO,Not a NEA or MBO,21163632934336849,745284206838415389,10.17982,2.0373275,1.0593504,225.15073672748343,-37.80996081197246,2025052000306,170,60816.27912987208,i,225.15082006612414,-37.809984751351095,29.931594848632812,12521.5,415.776,False,12041.2,0.365369,12642.8,420.094,False,-175.589,10.0567,21.155859105389467,0.036051835429445775,21.198325557566,3.2944751052538156e-05,21.145391847357462,0.03607676036053472,nan,nan
2006 GQ59,nan,Not a NEA or MBO,Not a NEA or MBO,21163632934336849,745284207231631783,10.180261,2.0373259,1.0593516,225.14998493730917,-37.8101078420086,2025052000309,152,60816.28066749245,i,225.1500778742997,-37.810135234188564,32.84547805786133,11908.0,359.294,False,11134.7,0.931843,12073.6,361.973,False,-91.1489,27.1907,21.210402935063282,0.032759364363809836,21.2833036799099,9.086330532438084e-05,21.195408076325272,0.03255095375138685,nan,nan
2006 GQ59,nan,Not a NEA or MBO,Not a NEA or MBO,21163632934336849,745284207363227789,10.1804,2.0373254,1.0593519,225.1497469221288,-37.81015437802712,2025052000310,147,60816.281154310185,i,225.14985431024672,-37.81017846593249,19.2288761138916,11028.1,563.711,False,10633.6,6.93447,10918.6,563.462,False,-22.7454,23.4753,21.29374829964958,0.05549835980894467,21.333299240887946,0.0007080391972834228,21.30458264879459,0.056030176785928296,nan,nan
2006 GQ59,nan,Not a NEA or MBO,Not a NEA or MBO,21163632934336849,745284207475425470,10.180557,2.0373247,1.0593523,225.1494771599298,-37.81020711342098,2025052000311,105,60816.281706903814,i,225.14955955329287,-37.810235620231026,26.952526092529297,12491.0,453.128,False,12385.6,4.9774,12549.9,452.007,False,39.0613,26.7517,21.158506979105265,0.039386555513321084,21.16770740896113,0.0004363247131457846,21.153399302981974,0.03910472091175446,27.420633312905107,0.7435822627734445
2006 GQ59,nan,Not a NEA or MBO,Not a NEA or MBO,21163632934336849,745284207627993129,10.180702,2.0373242,1.0593528,225.1492303861019,-37.810255347721785,2025052000312,140,60816.28221123776,i,225.14932602687207,-37.81027885358118,22.764389038085938,11425.6,496.692,False,11590.0,3.11739,11535.8,499.614,False,29.2094,20.269,21.25530249779304,0.04719896463570389,21.23979141009101,0.00029203305415362665,21.244880723550594,0.04702309612096917,27.736193403226245,0.753414518046674
2006 GQ59,nan,Not a NEA or MBO,Not a NEA or MBO,21163632934336849,745284207885418661,10.180998,2.037323,1.0593535,225.1487251686524,-37.81035407619666,2025052000314,119,60816.283245103754,i,225.1488038371813,-37.810380727368695,24.625423431396484,12281.9,493.058,False,12236.1,0.728917,12301.4,494.859,False,-106.223,13.8393,21.176836072949136,0.04358697919121569,21.180892490622078,6.467841921332785e-05,21.175113614226312,0.043676843695167986,nan,nan
2006 GQ59,nan,Not a NEA or MBO,Not a NEA or MBO,21163632934336849,745284208169582885,10.181289,2.0373218,1.0593542,225.14822784547584,-37.810451234566536,2025052000316,149,60816.28426395198,i,225.14828561024828,-37.810491614280735,20.202342987060547,12924.4,627.935,False,13402.2,3.34596,12857.8,622.365,False,-38.8901,12.4715,21.12147399062052,0.05275074591302596,21.082059747698857,0.00027106219517108413,21.12708335116419,0.052553641582213415,nan,nan
2006 GQ59,nan,Not a NEA or MBO,Not a NEA or MBO,21163632934336849,745284208572236289,10.181713,2.0373201,1.0593554,225.14750300528397,-37.81059279317542,2025052000319,149,60816.285747094415,i,225.14760714463074,-37.810618063927976,33.37900161743164,12476.7,370.258,False,11252.5,1.34169,12659.1,370.016,False,-85.6787,10.2064,21.15975065130946,0.03222025893361341,21.271877445973708,0.0001294575736992575,21.14399295708142,0.0317352553020171,nan,nan
