provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2016 AO93,nan,Not a NEA or MBO,Not a NEA or MBO,21164732345561935,745416141052051827,17.326138,2.1594777,1.2747136,226.29287142800504,-40.30918367394659,2025061900253,40,60846.18571192013,g,226.29290755271535,-40.30915844883911,9.797046661376953,1796.45,177.091,False,2152.83,2.31509,1793.38,179.818,False,-48.0802,3.03488,23.26396219417596,0.1070300421241396,23.067475618712223,0.001167568677055626,23.265819191686177,0.10886421445182222,nan,nan
2016 AO93,nan,Not a NEA or MBO,Not a NEA or MBO,21164732345561935,745416141204095180,17.326284,2.159478,1.2747165,226.2928134760172,-40.309071698275424,2025061900254,74,60846.186180225355,g,226.29271606265172,-40.30891316313208,8.633841514587402,1569.04,198.701,False,2035.87,57.9807,1510.65,204.363,False,-190.321,2.90814,23.410914934655924,0.13749609227578466,23.128124895658786,0.030921299930131124,23.452090344894703,0.14688002620328997,nan,nan
2016 AO93,nan,Not a NEA or MBO,Not a NEA or MBO,21164732345561935,745416141448937700,17.326576,2.1594782,1.274722,226.29269835566237,-40.30884915794074,2025061900256,29,60846.18711265712,g,226.29266696488767,-40.30884333559074,10.787517547607422,1897.12,178.079,False,2029.28,2.05329,1993.87,180.106,False,-158.528,3.10354,23.20476299648801,0.1019159633579872,23.131645046553018,0.0010985823250443106,23.150757905236258,0.09807440225359637,nan,nan
2016 AO93,nan,Not a NEA or MBO,Not a NEA or MBO,21164732345561935,745416141607272476,17.326723,2.1594784,1.2747247,226.29264019934087,-40.308736683019326,2025061900257,75,60846.18758317418,g,226.2926464715521,-40.30877456877111,11.174402236938477,1982.71,173.488,False,1931.98,0.870557,1823.42,173.228,False,-148.895,3.90211,23.156852028880436,0.09500240254957215,23.184993445340908,0.0004892365727425155,23.247783188819916,0.10314678093861183,nan,nan
2016 AO93,nan,Not a NEA or MBO,Not a NEA or MBO,21164732345561935,745416141704790370,17.32687,2.1594784,1.2747276,226.29258242780168,-40.30862491736057,2025061900258,5,60846.188051312194,g,226.2926001796431,-40.30865682721909,11.572059631347656,1910.09,164.785,False,1964.36,0.933828,1910.08,166.168,False,-159.911,3.43822,23.197365442169733,0.09366733906709812,23.166947302923585,0.0005161431062078037,23.19737113195064,0.09445395848751917,nan,nan
2016 AO93,nan,Not a NEA or MBO,Not a NEA or MBO,21164732345561935,745416141972701258,17.327164,2.1594787,1.2747331,226.292466434217,-40.30840040905304,2025061900260,4,60846.188991285606,g,226.29244510884195,-40.30836406772566,10.815398216247559,1865.28,168.09,False,1889.9,2.49562,1896.5,169.974,False,-137.254,3.46539,23.22313989884859,0.09784128485549909,23.208902923420993,0.0014337186971014528,23.205117882402973,0.09730921413512736,nan,nan
2016 AO93,nan,Not a NEA or MBO,Not a NEA or MBO,21164732345561935,745416142260535737,17.32746,2.1594791,1.2747387,226.2923497590051,-40.30817443880332,2025061900262,41,60846.189937692834,g,226.29235935884435,-40.30814373966533,12.243390083312988,1849.69,147.221,False,1875.86,1.63167,2018.32,148.17,False,-93.0824,3.90854,23.232252662805678,0.08641619261042896,23.216998951484193,0.000944400544317618,23.13752496951197,0.07970665491700464,nan,nan
2016 AO93,nan,Not a NEA or MBO,Not a NEA or MBO,21164732345561935,745416142644314312,17.327896,2.1594794,1.274747,226.2921768286751,-40.30783925192104,2025061900265,5,60846.19134019294,g,226.29210818248686,-40.307811548353335,12.626543998718262,1906.66,153.039,False,2033.8,3.22157,2099.51,154.149,False,-33.8315,3.67484,23.199316841640247,0.08714714823395411,23.12922936643773,0.0017198225574897312,23.094705126123554,0.07971629175469332,nan,nan
2016 AO93,nan,Not a NEA or MBO,Not a NEA or MBO,21164732345561935,745416142779580651,17.328043,2.1594796,1.2747499,226.292119296566,-40.30772766829718,2025061900266,7,60846.191807329466,g,226.29213062967904,-40.30766712828354,11.33647346496582,1857.91,163.713,False,1826.42,0.519779,1956.01,163.969,False,-12.6503,3.56465,23.227438299329155,0.09567154772636173,23.245998338377504,0.0003089885645007346,23.171572317665962,0.09101542042598333,nan,nan
2016 AO93,nan,Not a NEA or MBO,Not a NEA or MBO,21164732345561935,745416143049064969,17.328337,2.1594799,1.2747554,226.2920031680158,-40.3075023290429,2025061900268,9,60846.192750367045,g,226.29206279724966,-40.30750860412707,13.014620780944824,2153.68,163.518,False,2143.29,2.2555,2282.93,166.616,False,43.2668,3.41935,23.067047096897326,0.08243444903439608,23.072297636043217,0.0011425789557670434,23.00376854449913,0.07924072397884796,27.309613061607088,0.08580509765076964
2016 AO93,nan,Not a NEA or MBO,Not a NEA or MBO,21164732345561935,745416143182233699,17.328484,2.15948,1.2747582,226.2919456801404,-40.307390724380674,2025061900269,7,60846.19321768653,g,226.29197970252307,-40.30737385396666,10.945650100708008,1936.68,175.36,False,2047.4,1.70444,2277.9,177.063,False,139.044,3.09293,23.18235530078973,0.0983098375822298,23.12199323967632,0.0009038645072992434,23.00616341005284,0.08439515418075925,26.042119317902852,0.024151391010868137
2016 AO93,nan,Not a NEA or MBO,Not a NEA or MBO,21164732345561935,745424936797995382,17.887589,2.1600263,1.2857549,226.1056872773594,-39.87776216334634,2025062100250,146,60848.02981565961,r,226.10570406868428,-39.87776041952906,18.559036254882812,2651.7,139.794,False,2707.55,1.36007,2584.74,136.511,False,76.7295,17.2334,22.84118904844584,0.05723853252430078,22.81855876683141,0.0005453924037189241,22.868957844660926,0.05734230032060882,26.687594082155883,0.24385571038707027
