provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745315078391726539,20.761995,1.9232925,1.0486002,290.7400469551,-22.03311686571516,2025052700941,169,60823.31137196548,i,290.7399233397855,-22.033178334022406,29.687419891357422,13927.2,465.957,False,13869.5,1.17317,13534.0,449.17,False,-712.273,15.1831,21.04034045408349,0.03632506020312499,21.044847987755688,9.183843046399142e-05,21.07143456963137,0.03603370368480762,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745315078646006142,20.761543,1.9232919,1.0485919,290.7399116489636,-22.032889412793807,2025052700943,142,60823.312411398525,i,290.73980175333895,-22.032933001595516,37.468143463134766,14018.2,371.947,False,13449.4,2.4244,13372.3,360.687,False,-725.335,14.0291,21.03326935526364,0.02880800022234907,21.078242693028947,0.000195715710541147,21.084484737904727,0.029285235369296166,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745315079445545536,20.75389,1.9232817,1.0484514,290.73761717746555,-22.029030783489624,2025052700949,131,60823.33003026659,i,290.73750766689795,-22.029077781806407,41.46278762817383,13744.0,329.306,False,13063.9,2.2352,13510.2,319.889,False,-414.49,19.0763,21.05471713378208,0.026014220487413288,21.10981784914732,0.0001857666863987987,21.073345538792935,0.025707618836145706,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745315079707165360,20.753428,1.9232811,1.048443,290.73747851818274,-22.028797444767992,2025052700951,118,60823.3310941422,i,290.7373751215233,-22.02884255574854,42.73704528808594,13597.7,313.074,False,12162.3,0.622385,13070.3,299.267,False,-478.698,22.0982,21.066336346159805,0.02499803475974147,21.187460738224203,5.5560705279429134e-05,21.109286126299573,0.024859798152243963,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745315080114537196,20.752748,1.9232802,1.0484306,290.73727520805073,-22.02845526593904,2025052700954,127,60823.332654560734,i,290.7371720149192,-22.028496541447343,39.298255920410156,13177.7,331.838,False,13326.1,2.75308,12675.7,319.08,False,-420.117,19.7366,21.100400943178244,0.027340775640536157,21.088242362023557,0.00022430558078447767,21.142570103149986,0.027330773708529297,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745315081302048874,20.750706,1.9232775,1.0483931,290.73666220913515,-22.0274232137508,2025052700963,88,60823.337357576434,i,290.7365705438991,-22.02746696144348,40.716087341308594,13160.1,321.598,False,12470.3,1.03187,14328.9,310.643,False,894.705,16.8436,21.101852058788783,0.026532518263135036,21.160307763265095,8.984055261782083e-05,21.009467840930444,0.023538188450730038,24.02080031832073,0.020439927406530403
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745315082262020573,20.747114,1.9232727,1.0483274,290.73558455268864,-22.025607348066394,2025052700970,127,60823.34562419675,r,290.73547204880947,-22.025654103685156,52.327816009521484,11754.9,221.058,False,11480.5,0.21671,11491.2,215.239,False,-203.8,12.5154,21.224452616684736,0.020417924824351796,21.250097992712647,2.0494742761103627e-05,21.249086522931115,0.02033667234761893,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745315082503192835,20.746658,1.9232721,1.0483192,290.73544768003217,-22.025376557687974,2025052700972,75,60823.34667471629,r,290.73534289443126,-22.025417830958848,46.75608825683594,11667.2,249.041,False,11236.6,0.322416,11412.7,243.782,False,-226.346,12.2661,21.232583375227282,0.02317546849632466,21.27341273488681,3.1153440055355583e-05,21.256528978089463,0.023191964777877164,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745315084117475885,20.743929,1.9232684,1.0482694,290.7346289928321,-22.02399526371345,2025052700984,82,60823.35295503803,r,290.73451663162695,-22.024040083615375,47.33845138549805,11454.6,239.97,False,11303.2,1.06529,11517.6,235.193,False,-181.623,11.2193,21.252550216967357,0.022745807559081153,21.266996450937317,0.00010232711741655098,21.2465950577132,0.022171073526101745,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745315084633899144,20.74301,1.9232672,1.0482526,290.73435296814444,-22.02352920068553,2025052700988,43,60823.355073870465,r,290.73424853735014,-22.023567177073176,51.15652084350586,11868.5,230.353,False,11429.3,0.0526284,11664.5,222.932,False,-166.374,12.8082,21.214010414679095,0.02107280520105399,21.254950937632763,4.999480463785652e-06,21.232834681372935,0.020750598055738704,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745319434354164650,20.32801,1.922705,1.0405833,290.61576634882255,-21.80953647428913,2025052800628,28,60824.32742378176,g,290.61564078204054,-21.809604913963796,34.35990905761719,4801.0,139.766,False,5279.11,2.8717,4798.13,130.515,False,-114.362,35.3725,22.196670735077085,0.03160779283870883,22.093598249562703,0.0005906125829073503,22.19732000022367,0.029533352277296816,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745319434895229110,20.32707,1.9227039,1.0405668,290.61546703204937,-21.809067905758567,2025052800632,36,60824.32953995619,g,290.61536018814445,-21.80912746263812,32.92686080932617,4911.47,149.099,False,5020.18,0.91473,5187.16,139.751,False,277.704,19.7363,22.17197121336972,0.032960025053942646,22.148201739038168,0.00019783263892620334,22.112675856832197,0.02925159884555097,25.291044622621655,0.07716278540732306
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745319435428954213,20.326145,1.9227026,1.0405506,290.61517264283964,-21.80860694812327,2025052800636,30,60824.331620986464,g,290.6150615963227,-21.808638336260532,27.042339324951172,4816.17,176.725,False,4948.29,0.565993,5053.95,169.791,False,473.24,33.2302,22.193245497258246,0.0398401095736232,22.163862131402396,0.00012418817385990852,22.14092260548997,0.036476069057957396,24.71229640818564,0.07623876647078145
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745319435853627937,20.325449,1.9227017,1.0405384,290.6149513790241,-21.8082604191548,2025052800639,72,60824.333184273455,g,290.6148536172396,-21.808316072588326,30.28995132446289,4726.18,154.582,False,4658.45,0.065532,4629.31,145.078,False,22.2104,16.6751,22.21372431453737,0.03551182319692128,22.229396358260193,1.5273419434196228e-05,22.236209325950316,0.03402589982115318,28.033609067998775,0.8151478787409431
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745319436510036313,20.324274,1.9227002,1.0405178,290.61457744835013,-21.807674643459247,2025052800644,44,60824.3358271339,g,290.6144800544881,-21.80771640407958,36.96994400024414,4962.82,132.697,False,4969.74,0.793539,4936.13,121.696,False,-17.4931,63.2275,22.160678729077,0.029030661806227015,22.15916577752575,0.00017336399250905435,22.16653355343043,0.02676788402723462,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745319437293846640,20.321493,1.9226966,1.0404692,290.61369203432645,-21.80628677945901,2025052800650,3,60824.3420853516,u,290.61372195644054,-21.806356019089073,5.3002495765686035,1383.42,264.344,False,1446.84,22.393,2027.06,247.449,False,513.131,36.4261,23.547614840633184,0.2074625463213203,23.49894875825078,0.016804132472469195,23.132833459138897,0.13253891642662816,24.624429407599784,0.07707415616524038
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745323772751381111,19.948286,1.9221995,1.0338336,290.50159068005337,-21.61538182270826,2025052900183,176,60825.20101020817,g,290.5014847352097,-21.615425103990084,43.87534713745117,8117.75,182.506,False,8867.1,1.93123,7994.12,174.047,False,-68.7142,40.1804,21.62641081913599,0.02440988798707904,21.53054603205262,0.00023647036434809747,21.643073326129304,0.023638514718134315,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745328199177077215,19.442278,1.9215448,1.0252709,290.33769765850445,-21.362228806164318,2025053000395,33,60826.33125426245,z,290.33760194435365,-21.362269045010144,17.17098045349121,11088.7,634.442,False,11179.2,0.968356,10461.9,622.894,False,-504.678,52.9549,21.287798395918113,0.062120596202543635,21.278973166255362,9.404779987514401e-05,21.350973548184918,0.0646439482942598,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745328199312343573,19.442059,1.9215444,1.0252674,290.33762064561824,-21.36212240314316,2025053000396,35,60826.3317259303,z,290.3375000287533,-21.362176811589688,15.82664680480957,10988.8,679.06,False,10384.9,2.56679,10154.0,670.775,False,-578.877,33.8875,21.297624346435626,0.06709377162716443,21.3589941618832,0.0002683566371371618,21.383407102328533,0.07172392448826725,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745328199446560964,19.44184,1.9215442,1.0252639,290.3375434691649,-21.362015767231465,2025053000397,35,60826.33219766841,z,290.33744697058796,-21.36204531619419,15.38305377960205,11358.8,732.192,False,11626.7,11.6205,10562.5,722.006,False,-526.487,27.6186,21.26166888673372,0.06998691718566234,21.236358815137606,0.001085157175551797,21.340583195105626,0.07421614524090907,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745328199612760155,19.44162,1.921544,1.0252603,290.3374661291229,-21.36190889828304,2025053000398,96,60826.33267039025,z,290.3373567111015,-21.36195943698621,13.531058311462402,10387.5,777.177,False,11065.6,18.2017,9562.56,768.295,False,-535.631,34.8267,21.35872240801958,0.08123313680152945,21.290062620182876,0.0017859172213341194,21.448564615941585,0.08723246874919334,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745328199761658307,19.441387,1.9215436,1.0252566,290.3373838838548,-21.36179524348225,2025053000399,124,60826.33317378342,z,290.3372834407477,-21.361833250778062,12.704147338867188,10093.0,780.232,False,9799.7,32.5181,9532.51,777.356,False,-497.025,47.4186,21.389949316866893,0.08393204445449855,21.421968026460874,0.003602771368319724,21.451981852847535,0.08853949207005869,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745328199873331504,19.441168,1.9215434,1.025253,290.33730670746394,-21.361688585992013,2025053000400,81,60826.33364561732,z,290.3372003232404,-21.36173286565904,17.141401290893555,11260.0,651.864,False,11568.9,2.40818,10807.3,646.156,False,-417.538,46.6273,21.27115402371168,0.06285544939809085,21.241769795571912,0.00022600663187952652,21.31570700156646,0.06491491696928225,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745328200435368331,19.440287,1.9215423,1.025239,290.3369968591888,-21.36126030334902,2025053000404,129,60826.33554055706,z,290.33688613229845,-21.36130064005895,14.944698333740234,10205.5,670.037,False,10233.8,24.6928,9937.29,664.133,False,-286.636,45.6343,21.37791428238656,0.07128346633126866,21.374907707556204,0.002619737344399056,21.40683008567261,0.07256236209961285,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745328200922955811,19.439396,1.9215412,1.0252247,290.3366834198631,-21.36082693354616,2025053000408,35,60826.33745778985,z,290.3365847638819,-21.36085739633856,13.395279884338379,11711.3,866.471,False,10819.2,1.95902,11103.1,858.956,False,-232.216,44.356,21.228487252781058,0.0803291658291334,21.31451210768567,0.00019659299408630472,21.286389409940714,0.0839945288624534,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745328201054552418,19.439177,1.9215409,1.0252212,290.33660608330206,-21.360719986204145,2025053000409,30,60826.33793047303,z,290.3364896503493,-21.36075548814411,9.264910697937012,10642.9,1146.52,False,10759.4,18.3121,10170.8,1137.13,False,-310.435,29.5231,21.332350006231977,0.11696231750713343,21.320529826855026,0.0018478826554953133,21.38161223492405,0.12138899983549446,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745328201486041490,19.438519,1.92154,1.0252106,290.33637407791605,-21.36039910211177,2025053000412,85,60826.339349731425,z,290.3362647268104,-21.36045484416428,10.45689868927002,12210.7,1149.51,False,11773.6,5.88094,11452.8,1152.05,False,-337.13,64.9358,21.183148579236565,0.1022107344682431,21.222726843849912,0.0005423277200642504,21.252720826741033,0.10921542933057458,nan,nan
2020 QC76,nan,Not a NEA or MBO,Not a NEA or MBO,21165806355691075,745328201858809996,19.437855,1.9215392,1.0252,290.33614044515144,-21.360075892809068,2025053000415,28,60826.34077899776,z,290.33602680313595,-21.360112148220164,6.9707794189453125,10011.2,1494.66,False,10699.6,319.825,9646.85,1502.04,False,-210.589,37.4337,21.398784634734323,0.16209909713659998,21.326581184453453,0.032454073761426325,21.439036229761605,0.16905200323861258,nan,nan
