provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2003 SA451,624580,Not a NEA or MBO,Not a NEA or MBO,21163620254232897,745174274938504653,10.197131,4.640218,3.9856665,270.70823293184725,-22.65717770637692,2025042500450,47,60791.277617615146,i,270.70820492365436,-22.657175115772766,11.398180961608887,3420.51,298.216,False,3880.68,7.36433,9961.21,273.286,False,7236.12,40.6819,22.56477283580022,0.09465954223924301,22.4277304381477,0.0020603913862198256,21.404219764522352,0.029787196262329015,21.751235581521044,0.0061040738710159345
2003 SA451,624580,Not a NEA or MBO,Not a NEA or MBO,21163620254232897,745174275197501868,10.196997,4.640217,3.9856522,270.7081903638504,-22.657172511971165,2025042500452,29,60791.27868052027,i,270.7081916199456,-22.65716973881808,10.2401123046875,3607.17,343.771,False,3899.91,51.7752,16844.6,322.184,False,13626.3,26.394,22.507083497548635,0.10347297873085447,22.422363562642516,0.014414232712084762,20.83384826899502,0.020766704532489154,21.06405514995327,0.0021030595848972743
2003 SA451,624580,Not a NEA or MBO,Not a NEA or MBO,21163620254232897,745174275342729373,10.196929,4.6402164,3.9856448,270.70816889346906,-22.657169889679334,2025042500453,50,60791.279216819836,i,270.70816295617095,-22.657198585273484,11.113497734069824,3631.43,327.156,False,3607.56,0.532572,15158.4,292.023,False,12523.7,24.5573,22.499805827810164,0.09781411919053877,22.506966075119266,0.00016028358824653235,20.948366564401418,0.02091645204537625,21.155668343750847,0.002128983439525289
2003 SA451,624580,Not a NEA or MBO,Not a NEA or MBO,21163620254232897,745174276690674263,10.196256,4.6402125,3.9855726,270.7079561746353,-22.657143823058725,2025042500463,61,60791.284521776055,i,270.7080152799435,-22.657120540138507,9.735372543334961,3718.27,374.215,False,4582.38,13.0818,39312.2,335.12,False,36428.1,28.9889,22.474147687745464,0.109270915708994,22.24727227577002,0.0030995650179511886,19.91368165006237,0.009255445354569692,19.99640865317533,0.0008640114659045414
2003 SA451,624580,Not a NEA or MBO,Not a NEA or MBO,21163620254232897,745205072673636405,9.253218,4.6351438,3.8960514,270.36006439752816,-22.61932601046948,2025050200535,49,60798.19634901412,r,270.3600844800414,-22.619337346724908,10.284767150878906,2712.62,261.981,False,2684.62,1.75009,2924.9,254.846,False,-129.348,8.50948,22.816527554446814,0.10485885632779533,22.827792899381613,0.0007077858299921364,22.734722480025965,0.09459999675937987,nan,nan
2003 SA451,624580,Not a NEA or MBO,Not a NEA or MBO,21163620254232897,745205073074717373,9.252987,4.6351423,3.8960323,270.3599634207274,-22.619319160952887,2025050200538,46,60798.19787746796,r,270.35999478264074,-22.619233400053403,11.14207935333252,2942.13,272.846,False,2906.74,23.2681,2769.37,266.505,False,-84.3131,7.55382,22.728345397220007,0.1006885492263546,22.741484536033788,0.00869118650882131,22.794047495873933,0.10448373467840119,nan,nan
2003 SA451,624580,Not a NEA or MBO,Not a NEA or MBO,21163620254232897,745205073343152514,9.2528305,4.635142,3.8960192,270.3598948628095,-22.619314505154357,2025050200540,46,60798.198914899374,r,270.3598744971113,-22.619272288993514,11.339882850646973,2897.41,252.999,False,2910.28,1.95462,2785.27,247.159,False,-79.7639,8.20028,22.744975146203856,0.09480542094940396,22.740163052168164,0.0007292087645169191,22.78783173883071,0.09634594457235578,nan,nan
2003 SA451,624580,Not a NEA or MBO,Not a NEA or MBO,21163620254232897,745205073745805507,9.252608,4.6351404,3.8960009,270.3597975731342,-22.61930789065503,2025050200543,46,60798.200385421536,r,270.35981235173205,-22.619270348891835,12.813139915466309,3119.51,243.752,False,3109.46,6.8613,2895.76,236.7,False,-66.9973,8.90807,22.664784041209224,0.08483716011838084,22.66828757755375,0.0023957735125005614,22.7455935843928,0.08874829249874393,nan,nan
2003 SA451,624580,Not a NEA or MBO,Not a NEA or MBO,21163620254232897,745205074014241060,9.25245,4.63514,3.895988,270.3597285629286,-22.61930319340198,2025050200545,46,60798.201428851826,r,270.3597047792986,-22.619263804510673,11.557299613952637,2945.26,253.551,False,2907.59,7.338,2720.34,244.917,False,-70.6943,8.4617,22.72719089835354,0.0934686560688462,22.741167050855907,0.0027401152965246907,22.8134419962918,0.09775074202271723,nan,nan
2003 SA451,624580,Not a NEA or MBO,Not a NEA or MBO,21163620254232897,745205074416894082,9.252222,4.6351385,3.8959692,270.35962881169684,-22.61929639568724,2025050200548,46,60798.202935686815,r,270.3596246527809,-22.61927705449872,10.691733360290527,2617.04,238.556,False,2647.63,3.60834,2388.62,231.666,False,-63.7209,11.4317,22.855474082193872,0.09897016550422841,22.842856814590217,0.001479702820094462,22.95463228586779,0.10530270686377252,nan,nan
